GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13133000008,13,133,000008,4716.001746109873,1429.2058340093677,50.24513271085709,4874.088190407625,1214.669642126886,77.50829246518292,4879.616797623158,1099.3227107976224,123.79934317107463,4853.32633189241,1102.3931447154062,103.72258227240559
13135000001,13,135,000001,2405,2782,80,2373,2741,131,2338,2618,212,2309,2661,171
13135000002,13,135,000002,539.0004681241107,2202.0021374599496,26.000023011718927,520.0004622068116,2164.002098668766,71.00005522812542,523.0004569469901,2112.0020401532524,90.0000881020096,521.0004641792447,2123.0020434406406,61.00006706272373
13135000003,13,135,000003,1384.9440354544074,1967.397134477289,49.78231615580185,1385.9396817775234,1923.5886962601835,81.64299849551503,1352.0877067915783,1857.876038934525,137.39919259001312,1353.0833531146943,1861.8586242269891,116.49061980457633
13135000004,13,135,000004,553.5152158722104,686.1374710477086,26.183098778272928,552.694652674918,658.8225411490791,51.27831014297485,544.6909906993525,620.4819774214915,65.45408497011687,541.6690188459597,644.5442310061043,46.384507434373155
13135000005,13,135,000005,1062,1041,36,1100,990.9999999999999,43.99999999999999,1081,933.9999999999999,91,1086,945,66
13135000006,13,135,000006,1101,1622,36,1075,1591,73,1032,1495,151,1043,1513,110.00000000000001
13135000007,13,135,000007,1599.3108433902196,2464.5368803909228,72.87878521452633,1673.0920529004554,2345.1453698219375,105.41575352608004,1666.9944771961648,2199.0708293229186,170.09938733202532,1659.4090229704218,2181.7296162958573,175.2454489505053
13135000008,13,135,000008,2323.8939652422587,1433.700705125813,38.96468815324509,2371.8505045077914,1343.7821940029396,68.93752519420286,2334.88400549061,1252.8645883120346,127.88410470808647,2323.8939652422587,1269.8491959685773,104.90492964335218
13135000009,13,135,000009,2851.0015746244026,1562.001261628349,81.00005348111834,2893.001550952432,1467.001217791367,115.00009381114202,2887.001546568734,1360.0011441452368,169.00013501790534,2869.001534294379,1373.001153789373,152.00012625050888
13135000010,13,135,000010,949,762,36,950,725,58,923,706,74,933,710,57
13135000011,13,135,000011,529,1033,16,524,1004,41,495.99999999999994,964,73,502,961,57
13135000012,13,135,000012,1003.4688905051132,2575.5187555216853,41.79457085490793,962.7826311163561,2543.6054993649473,69.6571983275275,949.8538208840047,2420.240837591028,154.2177170219084,953.82091849861,2413.2885716952424,109.4707994826735
13135000013,13,135,000013,1570,891,40,1639,790,57,1628,743,81,1623,742,82
13135000014,13,135,000014,1321,1396,51,1388,1310,68,1389,1210,121,1370,1229,105
13135000015,13,135,000015,941,1313,25,917,1258,68,923,1176,92,903,1180,70
13135000016,13,135,000016,1056,2428,30,1026,2380,90,1020,2310,122,1003,2328,99
13135000017,13,135,000017,230.5875,679.696875,8.490625,215.840625,671.20625,22.34375,205.115625,643.053125,41.559374999999996,197.51875,651.096875,29.046875
13135000018,13,135,000018,943.6724512591389,2152.6849284118603,28.73358296100731,904.3120963647441,2108.873360073111,84.12416226645004,874.773895714866,2006.73403990658,149.23022694963444,861.370770714866,2038.7487789398863,101.52826716084483
13135000019,13,135,000019,682,1092,26,669,1065,42,681,1016,66,656,1037,58
13135000020,13,135,000020,359.62394755334327,1274.2421575812527,11.926154452269905,345.7235365338566,1233.5280528064013,52.63850672605691,323.88754422208285,1211.6543817217396,66.54242274767266,314.95694839139685,1216.6093006514914,59.58958848633251
13135000021,13,135,000021,532,1447,17,503,1414,63,488,1361,89,477,1359,72
13135000022,13,135,000022,741,889,19,793,813,47,791,764,67,782,768,62
13135000023,13,135,000023,327,935,15,300,910,47,283,872,66,266,878,52
13135000024,13,135,000024,1575.8332416366316,1366.282029265036,46.10291108880578,1576.8485459130532,1295.3721740324333,90.49007281161232,1534.0517813775657,1257.3936107705435,122.89923303060982,1534.0244567741734,1262.4152276979355,111.00334186494119
13135000025,13,135,000025,2087.0037023197733,1854.0029663909545,74.00012574694108,2069.0036466612914,1765.0028633196912,147.00022057250322,2043.003636354165,1681.002690159969,201.0003174594906,2014.0036074942113,1678.002712835647,202.00029684523795
13135000026,13,135,000026,1326,2110,51,1336,2059,73,1325,1931,149,1312,1965,120
13135000027,13,135,000027,1889.0559645455926,1630.602865522711,36.217683844198156,1844.0603182224766,1607.4113037398167,81.35700150448497,1832.9122932084217,1514.1239610654752,130.6008074099869,1828.916646885306,1525.1413757730109,107.50938019542369
13135000028,13,135,000028,2277,2139,66,2289,2066,102,2305,1939,168,2290,1950.9999999999998,148
13135000029,13,135,000029,639,531,25,641,497,46,638,469,58,633,464,58
13135000030,13,135,000030,663.0783923183252,1381.4956668569578,28.65763543551629,653.196449064699,1352.8380314214414,59.29165952175784,652.2082547393363,1291.5699832489584,82.02012900509835,655.1728377154242,1299.4755378518594,57.31527087103258
13135000031,13,135,000031,1192,1058,31,1193,1005,82,1180,971,95,1148,980,104
13135000032,13,135,000032,895.7592861929445,1293.8819991130165,49.01687302650988,932.7876635557112,1232.8329139449877,73.03834778752245,933.7899644229625,1152.7769261752048,112.06749210603951,924.7838287769589,1164.7776931309554,98.06442428303772
13135000033,13,135,000033,789,767,24,803,733,34,810,671,65,793,687,57
13135000034,13,135,000034,565.459090909091,875.55,28.077272727272728,544.4772727272727,869.4454545454545,49.14545454545455,538.4454545454546,822.3954545454545,63.18181818181818,525.4090909090909,832.440909090909,49.10909090909091
13135000035,13,135,000035,1160.4439192120842,1627.8035096402589,29.83146321881965,1147.5169518172625,1567.1462010953255,71.59551172516716,1146.5225697099684,1498.5338356920404,109.38203180233872,1158.4551549974963,1499.5282177993342,91.48315387104692
13135000036,13,135,000036,1050.2044758539457,1302.3762073027092,45.40565371024735,1075.2720848056538,1244.787043580683,72.73404004711425,1083.0789163722027,1153.159246171967,110.09140164899881,1068.9919905771496,1171.1785630153122,96.01413427561837
13135000037,13,135,000037,262.9288824383164,965.3381712626995,18.984034833091435,250.58925979680694,934.0145137880986,52.206095791001445,256.2844702467344,880.8592162554427,83.52975326560232,248.69085631349782,903.6400580551524,62.647314949201736
13135000038,13,135,000038,406.98230870773165,971.0520809232321,24.34630075448292,399.7800310546543,935.594634438288,44.518115380993805,393.4876529253206,902.0848461075617,66.18854962384688,389.0000371566538,902.0195410595721,54.304460491702905
13135000039,13,135,000039,3385.565547965597,2053.130096109045,67.97120084489536,3399.5596187277815,1943.1766829775968,125.94663685965905,3400.5591952107943,1821.2283520499905,181.9229199083964,3361.575712373281,1852.2152230233987,170.9275785952516
13135000040,13,135,000040,1484.9131963254902,1979.8842617673201,41.99754494657952,1511.9116180768626,1900.8888796058968,74.99561597603486,1499.912319520697,1768.8965954880755,156.9908227764996,1493.9126702426142,1786.8955433223239,134.99210875686273
13135000041,13,135,000041,1179,2998,46,1145,2945,96,1159,2878,127,1159,2869,113
13135000042,13,135,000042,1174,982,42,1164,951,75,1146,878,114,1152,888,93
13135000043,13,135,000043,342,1023,9,318,1018,26,309,965,64,294,974,51
13135000044,13,135,000044,642.1156256278309,2082.1621929329553,25.00297238117817,621.1143375959871,2047.1561490912266,66.00713371482762,607.1142385166144,1991.149312614517,110.01089873098663,596.1154274690857,1993.1494116938893,92.00911530227972
13135000045,13,135,000045,793.8438918086725,1628.9039381897376,18.320017280428118,779.1164287414907,1594.386882666796,56.09077859853948,787.0288143901612,1516.3883189961218,87.96464566777132,762.8173786420941,1538.3241795565084,66.29667151608649
13135000046,13,135,000046,753.0308662930196,657.1471165054701,18.080780252915876,746.9918319187292,639.9389854793604,38.20551366796441,734.0168986967055,600.7478181002849,57.316342250825535,739.0541358621268,595.7630473025765,55.24817384205611
13135000047,13,135,000047,1209,1133,25,1237,1062,54,1248,983,86,1236,1010,67
13135000048,13,135,000048,1148.5331741069308,1326.1839175909042,32.221516979315055,1152.3347953851573,1278.8263413531024,53.51889315229899,1138.2463170926842,1191.3146881109842,113.77700189390045,1132.2361622948977,1208.5621052425743,84.45528869648369
13135000049,13,135,000049,511.4660493224073,780.0449993000578,22.789849743515532,514.0982542854953,755.4389422428849,40.14077291525869,513.2531705284653,716.0705378156578,68.40348302274587,491.4344443415771,725.233985022143,61.95465141754697
13135000050,13,135,000050,433.61970726899176,1152.9888068857524,19.98247498935446,425.62671727325,1123.0150944017205,47.9579399744507,421.6302222753791,1076.0562781767376,59.94742496806338,422.6293460248468,1068.0632881809959,52.95355872178932
13135000051,13,135,000051,261.01112565445027,1181.9371727748692,14.774214659685864,258.05628272251306,1138.5994764397906,48.26243455497382,251.1616492146597,1115.9456806282722,61.06675392670157,251.1616492146597,1104.1263089005236,46.292539267015705
13135000052,13,135,000052,878.2663626483579,1011.5681721457778,31.074196396226004,884.2663626483579,959.4838580591573,64.11803972126864,898.2697352118228,899.3354652667053,86.21921662521319,884.3000882830061,909.3354652667053,77.17874586363537
13135000053,13,135,000053,713.4162194531641,1782.9176876088634,22.085063750114564,695.3833494809611,1728.7886717305132,65.1925199279666,684.3528038329412,1669.5984018969477,104.29181567049486,670.3816925692963,1696.5888912244384,78.26027596383277
13135000054,13,135,000054,2225,1595,69,2244,1499,135,2219,1407,185,2204,1426,165
13135000055,13,135,000055,1837.2110495864363,1474.821477582086,62.21206566989975,1810.2369213615261,1422.9645684764364,109.37259052299828,1804.1020684883038,1337.9847023860664,157.22360310228274,1790.1021096226125,1349.1136322894395,146.91412314828267
13135000056,13,135,000056,680.08680367451,887.1157382326799,31.00245505342048,713.0883819231374,829.1111203941033,58.004384023965144,699.087680479303,793.1034045119246,84.00917722350037,680.0873297573858,802.1044566776762,71.00789124313727
13135000057,13,135,000057,1204,2076,39,1174,2014.0000000000002,95,1142,1925,163,1146,1941.0000000000002,129
13135000058,13,135,000058,481.7361853832442,1668.8366013071895,22.65834818775995,475.825311942959,1608.7427213309566,61.07902554961378,446.27094474153296,1565.3963161021984,107.38086749851455,439.3749257278669,1576.232917409388,87.6779560308972
13135000059,13,135,000059,446.0776831995017,2085.6725750391993,40.89544975273978,430.5744264260257,2039.7913753338228,77.01335427303091,440.06622761328526,1950.1102570087232,124.21494318384923,426.14745731518866,1985.2140919847518,90.75568529207965
13135000060,13,135,000060,602.1601767421918,2037.260114871731,35.87749845323848,591.493893418256,1977.1410634095475,82.42128023041272,568.2220025296689,1924.7793089102265,116.35945444293561,560.4647055668065,1921.8703225491531,104.72350899864205
13135000061,13,135,000061,793.3502365530954,860.9061389407564,19.012444062689113,793.3471216297281,842.8787718882526,37.03545715071639,813.3309541069084,785.8520213991287,46.04914532395696,800.32411445605,786.8520180195006,46.042929418188336
13135000062,13,135,000062,1089,898,38,1167,815,49,1184,719,79,1183,738,60
13135000063,13,135,000063,1265,950,37,1385,835,40,1392,741,78,1384,750,74
13135000064,13,135,000064,530.7912275035108,1792.2037682941466,29.61755336429325,525.8316019906,1744.7938100479926,63.252060636768924,531.647586418004,1680.5258852259221,96.89340267576922,522.9159259015017,1703.0762529563817,64.36062275060381
13135000065,13,135,000065,447,768,10,430,749,29,423,698,62,409,721,39
13135000066,13,135,000066,487.11339635013354,1478.7659701946686,26.256969983091853,462.5105317785482,1457.9716993378393,49.43217678974539,435.3586858794485,1400.2358307498944,90.96947766348289,435.4287686021099,1403.1190262121252,65.92275584837529
13135000067,13,135,000067,1754,2112,42,1736,2052,80,1754,1930,138,1726,1969,114
13135000068,13,135,000068,1123,1606,41,1147,1565,50,1161,1449,113,1177,1467,71
13135000069,13,135,000069,943.7955241460542,1576.6237926972908,41.59434628975265,950.7279151943462,1516.212956419317,75.26595995288575,930.9210836277974,1451.840753828033,111.90859835100117,922.0080094228504,1453.8214369846878,103.98586572438163
13135000070,13,135,000070,1478,1443,59,1508,1371,84,1527,1260,129,1513,1264,124.00000000000001
13135000071,13,135,000071,681,2077,34,656,2040,60,649.0000000000001,1973,111,649.0000000000001,1988,80
13135000072,13,135,000072,474,2766,41,445,2687,113,423,2611,158,431,2631,110
13135000073,13,135,000073,649,972,26,683.0000000000001,919.0000000000001,39,663,877,70,664,895,51
13135000074,13,135,000074,197.2281014594908,954.2074890330615,10.235625085299164,179.3298230082696,934.502819790482,36.53927823339903,170.96901159124835,906.1460998546746,55.04658817600467,172.84382525952623,916.2034718205442,35.9509504248097
