GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13215000109,13,215,000109,1402,516,57.99999999999999,1466,369,41,1574,242.99999999999997
13215000110,13,215,000110,124.41592456783657,2389.5756940806705,31.597695128339446,241.91985332634889,1999.5416448402304,43.44683080146674,437.4305919329492,1480.154531168151
13215000112,13,215,000112,669.3344854547009,3137.4745467657926,65.72716768199659,761.9628756344853,2556.8883228322684,141.01187864315474,1066.8485603246875,1894.4245995300626
13215000113,13,215,000113,142.05280251440544,2942.0141435306446,55.01341016238869,270.1026715557884,2545.848611838659,77.01843897328445,625.1856469355683,1814.628182294395
13215000114,13,215,000114,179,2169,34,247,1893,51,517,1396
13215000115,13,215,000115,535,2721,61,616,2350,89,956,1748
13215000116,13,215,000116,483.0902934537246,3215.364559819413,72.0293453724605,583.196388261851,2785.9717832957112,79.04063205417607,937.4503386004515,2160.4288939051917
13215000117,13,215,000117,1629.5809867521098,1405.8065804084188,109.35566473528874,1649.1687761530745,1201.5700330746242,111.50744646367325,1903.729241419055,974.0521103917222
13215000118,13,215,000118,2045.7352020277322,1223.2843298046816,131.6317280453258,2116.9944833755776,994.6608021470106,140.53913821380647,2320.8752050096914,778.9035336215894
13215000119,13,215,000119,2079.00156593796,973.0011216656159,115.00010557570813,1971.001601333284,851.0009257708049,158.00010069359448,2183.001846659496,713.0007298759938
13215000120,13,215,000120,2565.99843406204,1837.9988783343842,172.99989442429185,2623.9983986667157,1516.9990742291952,164.99989930640555,3025.998153340504,1195.9992701240062
13215000121,13,215,000121,943.7281080067504,834.4436527282955,59.97656103506469,969.8777423588974,713.1912619538721,75.88993062066379,1095.6184136508532,556.3167072942059
13215000122,13,215,000122,209.45405843467884,607.1112744854669,33.370353284063,251.83571440544458,495.5235374049304,48.50909427631888,287.13650247211626,384.4122771223136
13215000124,13,215,000124,1216.2799149429732,793.2677363232167,88.24743862362266,1201.8917456021652,651.3044654939107,101.67639667504349,1303.5681422772086,605.262323603325
13215000125,13,215,000125,332.3221831398673,851.0363569094806,44.2959782188195,371.16016973836855,680.5530358334706,53.3537917928957,468.5996933885828,529.2248758515035
13215000126,13,215,000126,626.1437170805117,1117.9510910458991,44.37170805116629,643.4875846501128,973.9759217456734,52.51467268623025,806.7042889390519,768.0993227990971
13215000127,13,215,000127,2484.295066284239,1818.8411782695784,122.97508511746332,2503.138022874818,1535.2050948534938,112.06600498607546,2848.2616488496346,1173.221981402896
13215FTBEN1,13,215,FTBEN1,3.149383195305872,2.4909901704549777,0.1887113765496195,2.93551030188297,2.130341761937927,0.2600023410239202,3.1619639537425135,1.6438857690544633
13215FTBEN2,13,215,FTBEN2,0,0,0,0,0,0,0,0
13215FTBEN3,13,215,FTBEN3,15.366428854538247,55.25287356321839,1.1183115338882283,16.60899722552517,45.18806975822434,2.6093935790725324,21.993460166468488,34.95759017043203
13215FTBEN4,13,215,FTBEN4,0,0,0,0,0,0,0,0
13215FTBEN5,13,215,FTBEN5,2.7355512384652743,2.1636716852841182,0.16391452161243322,2.549781447304517,1.850412821758135,0.22583778533268575,2.7464788732394365,1.4278776104905293
13217000001,13,217,000001,310,552,17,306,500,19,386,296
13217000002,13,217,000002,497.33194182727925,1691.6851826411169,39.75988311384429,543.6784278204648,1476.75637890747,66.9525416096543,707.9057274444892,981.8192319017083
13217000003,13,217,000003,698.344578313253,1941.7144578313253,48.46867469879518,722.0843373493976,1760.698795180723,71.21927710843373,992.1240963855422,1157.3132530120483
13217000004,13,217,000004,1445.9308217510854,1040.1161830628091,79.32347840048811,1455.9398758367659,923.4737045299163,94.49381384494814,1612.549991962109,687.3485356340409
13217000005,13,217,000005,757.6331079382957,798.3981439297263,42.753574332476006,769.564337984568,699.9654960479793,65.62176525449806,860.0428325021336,505.0887386255305
13217000006,13,217,000006,1485.8627553693034,491.3567312729178,46.18753273965427,1417.072812991095,456.96176008381354,73.70350969093766,1497.6553169198532,361.6385542168675
13217000007,13,217,000007,1283,394,44,1262,350,61,1319,267
13217000008,13,217,000008,617.1074623704188,729.4629216242859,50.03547910687338,597.5143616175853,670.5198567052586,67.70114830232944,707.4317810186117,479.0490822485963
13217000009,13,217,000009,717.9375959079284,1639.7217391304348,41.763682864450125,713.9601023017902,1499.5150895140664,79.54987212276215,896.9248081841432,1029.1764705882354
13217000010,13,217,000010,1884,1619,83,1809,1483,128,1997,1126
13217000012,13,217,000012,2072.0120223576746,654.0568073976671,65.00161704226032,1997.0132175628235,601.0520265770714,99.00206231476679,2077.018842057642,509.0372154073826
13217000013,13,217,000013,617,2068,39,642,1879,66,885,1279
13217000014,13,217,000014,1068.0624040920716,277.2782608695652,27.23631713554987,1012.0398976982098,241.4849104859335,47.450127877237854,1056.075191815857,204.8235294117647
13217000015,13,217,000015,877,114,19,833,115,27,844,116
13217000016,13,217,000016,425,105,16,417,88,18,426,81
13217000017,13,217,000017,1009,417,49,989,385,54,1048,278
13217000018,13,217,000018,1050.2763197619176,753.4055828641008,35.663795413636116,994.9797878856482,677.7320546384008,80.95953498291614,1088.9902942358185,531.6234787543078
13217000019,13,217,000019,1357,1365,72,1339,1229,85,1501,899
13217000020,13,217,000020,726,1662,41,744,1514,56,942,1055
13217000023,13,217,000023,217,1155,19,238.00000000000003,1054,25,341,718
13217000024,13,217,000024,377.21601748904897,2139.137437903272,28.73596308048715,396.7228732125523,1956.0249692065486,48.127032979582516,636.538395151357,1310.8184328376472
13217000025,13,217,000025,1328.4360703106188,266.48567300746447,39.92294726703588,1297.495786178666,227.5607994221045,59.88442090055382,1343.4071755357572,226.56272574042862
13219000001,13,219,000001,969.7613948476867,512.0553155347642,74.33930231290245,1035.8570638042604,422.4681436406691,83.47481109238612,1128.8034403994322,287.8971087338317
13219000002,13,219,000002,788.5817999656992,313.7352527362325,38.62883014267388,813.0787327811063,253.4375174893578,52.760386667247495,849.8229546858219,198.7927084765302
13219000003,13,219,000003,692.0753347103686,211.91983181878783,33.017476045190975,723.5524049488249,163.6591770250243,35.05853204698408,726.1396247997727,143.87522051563462
13219000004,13,219,000004,339.9816809617634,138.0048053135445,16.542405551449342,342.9575360498272,110.81431062045277,21.531212438849415,364.46542158849155,87.92125836987941
13219000005,13,219,000005,930.9711556993254,318.9901167218956,63.998017147966515,990.969296775544,248.99228546630724,56.99823402240768,1042.9676857082668,185.99423733627768
13219000006,13,219,000006,989.0500366495944,326.09171706275527,56.629285343749004,1030.93411206962,257.7325176138459,50.96319414866372,1085.9885790143476,194.07101297390273
13219000007,13,219,000007,594,170,42,637,125,26,678,89
13219000008,13,219,000008,1437.457367451906,350.4771189951735,68.31666341653445,1470.774915634307,281.2622157433921,67.63640449540101,1521.9734880334731,229.3989544883862
13219000009,13,219,000009,1123.5716649944297,412.3838149456946,94.07489072111115,1172.6091103549852,339.30788407567917,79.07385057220682,1241.6652783958186,288.25067588594146
13219000010,13,219,000010,1821.2795232064552,821.9271140855826,139.99870263467125,2009.4179671797858,636.762468315275,110.98876795234906,2125.244764922296,458.91228925925486
13219000011,13,219,000011,1093.2226277813609,632.1893747984521,90.03009875846502,1229.7517885359562,494.6708722992583,70.24326386649467,1285.1549262334731,396.72603958400515
13219000012,13,219,000012,1893.6382647845805,929.8154055977249,126.8214881372139,2034.7406283190085,733.73250290755,133.6547918389098,2203.4218427259534,515.6893792743672
13219000013,13,219,000013,673.1249750942023,431.8717185549048,75.6479081567474,770.0129093038462,347.47315569439047,80.51157953557461,836.0553828617026,259.0591117199697
132210000BV,13,221,0000BV,1414.5616715197673,465.19420268103863,60.60054854085252,1403.9174667822665,424.7453543355717,65.49057096454358,1466.4793433038067,350.38996166117255
132210000CR,13,221,0000CR,1215.5267459138188,539.4546805349183,60.073551263001484,1160.595839524517,478.34992570579493,78.07800891530461,1247.6002971768203,356.31203566121843
132210000LX,13,221,0000LX,1986.6075175765232,825.4085560522528,77.3013418249864,1927.1858276557518,724.8066843870054,112.98913229915402,2042.0215726828426,516.3179770281455
1322300001C,13,223,00001C,6726.3203286464695,2291.2399391926583,314.60821023279317,6590.534125245306,1904.3843092908055,457.58645629687663,6836.843231431085,1811.455107673912
1322300002B,13,223,00002B,4252.692060023968,992.9202764203417,161.57537570636376,4102.209189591172,817.1608067157662,259.0924137094311,4175.952516100157,882.9610877079984
1322300003C,13,223,00003C,2883.1418086500653,967.6912188728703,119.5910878112713,2778.499606815203,838.1342070773263,192.34233289646133,2864.2065530799478,807.2398427260813
1322300004B,13,223,00004B,5073.408604482604,1953.1766606848983,243.64759884309117,4975.005392349002,1689.006680259108,352.27474283342747,5104.223411958626,1579.6715761022908
1322300005B,13,223,00005B,3679.6033169533366,1839.236539827454,176.00100096252285,3480.1889003831266,1627.7609763828618,282.98716432753594,3703.005059662012,1426.5557893248078
1322300006C,13,223,00006C,1626.9399858801519,388.2592132202469,58.37276447035436,1510.7299868887123,356.6629462133578,107.64151980313052,1575.5291107502985,368.9801350465519
1322300007B,13,223,00007B,2031.7438610762963,908.1485983065861,108.1778610595433,1932.6565765763785,807.2431984947432,173.63001228884679,2073.560513250574,711.7921446186756
1322300008B,13,223,00008B,4264.04693174111,3175.7159299605905,198.09911254464015,4122.594733586454,2778.8750861886256,351.7261188629012,4445.486852426552,2268.831899007351
1322300009C,13,223,00009C,3532,2350,168,3500,2056,268,3672,1725
1322300010C,13,223,00010C,1508.9262807163682,603.8908788004998,66.47605164514785,1442.0497709287797,551.4308621407747,92.50583090379008,1507.3244481466056,491.7625989171179
1322300011B,13,223,00011B,5690.0916284881305,1888.0791336942941,234.81507705122866,5375.723448563099,1709.6226572261558,385.7667638483965,5603.879216992919,1626.210329029571
1322300012C,13,223,00012C,3236.0543632982576,604.8832828805914,98.00590046066823,3015.3361944912394,538.5589881358261,169.0200549779295,3111.865680323724,591.3125267651415
132250000B1,13,225,0000B1,1216,443,37,1163,392,55,1230,310
132250000B2,13,225,0000B2,1834,947,68,1776,839,111,1909.0000000000002,637
132250000C1,13,225,0000C1,442,102,11,429,80,19,448,64
132250000F1,13,225,0000F1,612.0194289078598,890.6361495437151,33.03297026788343,649.9658522225493,758.2446276125994,41.09891080365028,733.9864586399765,513.8901972328525
132250000F2,13,225,0000F2,442,950,20,486,823,32,579,533
