GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18069000060,18,069,000060,121,57,14.999999999999998,4,94,61,35,0,110,65,12,0,130,51,115,68
18069000070,18,069,000070,250,115,29,10,216,135,46,0,226,148,22,0,285,103,225,161
18069000080,18,069,000080,271.21114674115825,113.70450807293088,17.27676432449271,1.242540201439993,206.46057913883365,132.5149355104498,46.04961400684211,0.05007459420283034,225.85325239952502,133.3161290176951,21.786929128796444,0.10014918840566069,267.75254841511395,106.15844232951602,235.3743279501608,140.42084806691523
18069000090,18,069,000090,181.5196129403245,70.72841967711378,20.31296481514379,9.601691093335235,159.32046156803133,94.78814386041807,15.533464056924714,0.008537915379416896,160.19952048126038,92.0570500515573,12.588922363578517,0.01707583075883379,191.33475191814514,70.62596469256077,165.86661806808794,100.85652347007822
18069000100,18,069,000100,433.4494893969663,120.84826197666725,32.95842497994425,16.97778672561823,389.5059642580107,156.80193244159514,34.95576197941428,8.444602459998866e-5,400.49055774087446,154.8059465785187,20.973642968902684,1.688920491999773e-4,465.4094147692247,99.87521012993676,384.5111861769174,195.75329732622006
18069000110,18,069,000110,192.03120044765814,128.0111052440817,14.003701748027236,13.000528821146748,179.02498679918384,144.01388155510213,22.005817032614228,0,182.0253834150439,152.0150714026823,8.004627185034046,0,213.03225808995163,123.0111052440817,178.02829193135102,157.01560022382907
18069000120,18,069,000120,320,112,29,6,267,148,40,2,267,168,26,0,337,113,291,161
18069000130,18,069,000130,355.7596723559113,109.9981159651982,26.756298478021183,6.936818123931418,318.1026596831407,150.62805069108222,29.729220531134647,0,323.05752977166316,154.59194676190018,15.855584283271812,0,393.41668502868185,87.20571355799495,314.13876361232275,174.4114271159899
18069000140,18,069,000140,360.33545767488386,118.1506197855934,33.71072901065908,9.91697407096291,307.5623132135536,146.02840142086256,43.740313935664055,0.9889790278141505,322.4901560522391,155.96481692138838,25.79889978889733,3.0007514596119503e-6,372.19157896038433,113.2134640090297,317.6189889080847,176.70240105094854
18069000150,18,069,000150,235.96879955234186,83.9888947559183,27.996298251972764,3.999471178853252,188.97501320081616,104.98611844489785,43.99418296738577,0,191.9746165849561,113.98492859731769,34.995372814965954,0,243.96774191004835,83.9888947559183,213.97170806864898,117.98439977617093
18069000160,18,069,000160,342.52360515021456,118.4892703862661,21.905579399141633,6.969957081545065,250.91845493562232,166.2832618025751,57.75107296137339,0,274.81545064377684,178.23175965665237,21.905579399141633,0,339.53648068669526,120.48068669527896,293.73390557939916,170.26609442060087
18069000170,18,069,000170,285.0743152302705,119.77792866103839,30.385579751784764,4.159454087498952,236.4941235641165,145.50906511851562,38.95596837989013,0.027942272567495825,234.582050155772,162.7815820381575,24.425821346211293,0,292.4791001099474,113.2872670766825,248.11424707642735,161.727747379999
18069000180,18,069,000180,292,88,27,7,221,129,41,1,228,137,26,0,295,88,252,122
18069000190,18,069,000190,221.2768948827481,72.43782889237434,30.076920155918074,2.030167359878749,167.91665811312382,99.56945347617336,50.23320398350692,0,175.9646326670395,108.61130903506194,29.125444500878103,0,231.21570493247717,74.41953299518688,181.02490629890318,119.62881078962977
18069000200,18,069,000200,349.83634486142535,111.19982734999071,31.29533482007959,3.0785852843986783,307.38920161828906,140.62467074648214,38.34971085108789,0.0012532279690726966,306.46297381892344,157.67822889016523,19.18602319107638,0,378.1931404405811,99.98678393981699,288.3832669018682,186.88178503355243
