GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16USSRBLU,G16USSDKAN,G16USSLDIN,G16USSGMCF,G16USSCRYM,G16GOVRGRE,G16GOVDKOS,G16GOVLSPR,G16GOVGFIT,G16GOVITUR,G16LTGRPAR,G16LTGDCAR,G16LTGLHED,G16LTGGLEA,G16ATGRHAW,G16ATGDHEN,G16TRERSCH,G16TREDBAK,G16TRELOTO,G16TREGHEX,G16SOSRASH,G16SOSDSMI,G16SOSLMOR
29041000424,29,041,000424,348.33531746031747,143.6468253968254,18.095238095238095,4.017857142857143,5.001984126984127,259.9087301587301,232.04166666666669,15.079365079365079,9.023809523809524,6.041666666666666,262.9980158730159,243.0218253968254,8.033730158730158,3.0257936507936507,5.015873015873016,269.9424603174603,216.00595238095238,15.057539682539684,20.057539682539684,285.1587301587302,228.89285714285714,304.08730158730157,191.83134920634922,13.083333333333332,5.031746031746032,314.2162698412699,173.734126984127,28.113095238095237
29041000431,29,041,000431,496.3304266743526,146.9581710264843,16.63677407846992,0.9242652265816622,2.7727956797449864,402.97963878960473,237.5361632314872,11.091182718979946,9.242652265816622,5.545591359489973,398.3583126566964,255.09720253653876,7.394121812653298,0.9242652265816622,5.545591359489973,402.05537356302307,233.83910232516055,11.091182718979946,12.01544794556161,450.1171653452695,199.64128894163903,430.7075955870546,198.71702371505737,10.166917492398284,5.545591359489973,455.6627567047595,175.61039305051582,19.409569758214907
29041000465,29,041,000465,478.63353115727,119.03115727002968,15.362017804154302,1.0756676557863503,2.2270029673590503,399.99109792284867,191.446587537092,17.9080118694362,1.7566765578635015,5.454005934718102,410.61275964391695,199.88427299703264,2.605341246290801,0.07566765578635015,1.454005934718101,408.91543026706233,179.14391691394658,8.908011869436201,7.983679525222552,426.85014836795256,170.34421364985164,409.26112759643917,173.26854599406528,6.832344213649852,0.4540059347181009,450.3041543026706,139.37685459940653,13.589020771513354
29041000503,29,041,000503,111.41510525495802,33.73231927490011,6.105190806114593,0.02232142857142857,1.9978612210858169,100.90496581619561,47.19584776751347,5.087659005095495,1.027452435939734,1.0497738645111625,95.03042977198578,56.150260960812346,3.0352342919461854,0.03224206349206349,1.017531801019099,106.93327170167528,41.165061723303644,4.06268672788592,1.0696151343524323,109.19899006561825,40.02600214450676,109.10970435133252,33.962974036804866,4.094928791377983,2.035063602038198,115.25705785585983,30.848374665493605,6.127512234686022
29043000002,29,043,000002,206.91477087973072,40.40569672774625,4.994589646600128,0.39296106928971797,1.9237251236345483,182.28249979607466,64.26511665280917,3.84931753012428,1.5419677514759327,3.46009102654493,178.06076130806767,69.25223716798855,3.0764663715311307,1.1602103793173169,2.698443565082882,193.8435233664338,50.00378223451197,3.8567866615450153,6.923916618800227,194.22341345573722,56.179122371836435,191.9141963942337,50.026189628774176,5.385683433034662,2.3092170615035315,196.51769225439926,46.554894905098145,10.78443784605561
29043000003,29,043,000003,2604.6506619641714,763.0597690412308,149.99179742078834,33.850130322881505,21.923698064905473,2386.961338090691,1054.7082077540936,71.77382838778698,39.6648438712863,35.29427096809589,2483.217458091239,998.1550825923787,52.95911483938218,19.517708387238354,36.367838710119855,2574.80053164129,800.7627638800643,87.62395871066848,75.47682322662054,2653.2037871258867,873.2750038811615,2631.280089060981,729.877216782706,89.40052129152602,33.850130322881505,2697.9040477716494,705.0270864598245,130.0299483883356
29043000004,29,043,000004,300.34933803582845,93.94023095876929,15.008202579211662,3.149869677118497,4.076301935094525,274.03866190930927,127.29179224590632,7.226171612213023,3.335156128713703,3.7057290319041143,279.7825419087606,122.8449174076214,7.040885160617817,1.4822916127616457,4.632161289880143,297.19946835870996,95.23723611993573,10.37604128933152,8.523176773379463,304.7962128741134,106.72499611883849,300.71991093901886,89.12278321729394,12.599478708473988,3.149869677118497,311.09595222835037,85.97291354017545,12.9700516116644
29043000005,29,043,000005,95.68670451931958,15.425564456514996,3.615366669495702,0.2410244446330468,0,85.80470228936466,28.440884466699522,0.7230733338991404,0.4820488892660936,0.9640977785321873,80.98421339670372,31.815226691562177,0.7230733338991404,0,1.4461466677982808,87.49187340179598,22.897322240139445,2.4102444463304677,1.6871711124313276,88.69699562496122,25.307566686469915,86.76880006789685,22.897322240139445,3.1333177802296084,0.4820488892660936,88.21494673569514,22.174248906240305,4.338440003394842
29043000006,29,043,000006,331.6099356025759,64.71941122355106,8.012879484820607,0.6163753449862005,3.0818767249310026,292.1619135234591,102.9346826126955,6.163753449862005,2.465501379944802,5.547378104875805,285.38178472861085,110.9475620975161,4.931002759889604,1.8491260349586016,4.314627414903404,310.6531738730451,80.12879484820607,6.163753449862005,11.09475620975161,311.2695492180313,89.99080036798527,307.57129714811407,80.12879484820607,8.629254829806808,3.6982520699172032,314.9678012879485,74.58141674333027,17.258509659613615
29043000007,29,043,000007,2224.33997672791,591.5417020641656,117.08777577444653,19.513603131332946,14.632123855275289,1996.8328732300238,821.9247430442264,93.70162125044631,25.376303851761207,33.19529047448184,2055.3275052256563,822.9613773666366,41.98010607545097,17.56347421548942,28.310732705199758,2108.131832121428,670.6050424728878,81.00731233811686,63.468466068422806,2210.5597776015798,720.4195276371815,2178.3918859698347,606.1799829058898,92.73887076542222,33.18297650158415,2216.4101643491103,590.6005010317125,128.86859009334262
