GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29177000015,29,177,000015,453.13309081976047,363.12062765810447,16.439308358957682,7.87780397827595,26.832165105012137,373.636638997489,416.4230347509425,21.61430526728649,10.623473977619929,22.072822632987226
29177000016,29,177,000016,387.9095963519676,309.6986319878399,13.969755108934303,6.5058199628441145,23.02854247593312,320.5492450599561,354.9246816416146,18.307191352812026,9.058118561053876,18.625894274615774
29177000017,29,177,000017,335.90575916230364,249.65968586387433,10.440314136125656,1.8157068062827226,20.88062827225131,288.6973821989529,282.34240837696336,12.709947643979058,7.2628272251308905,11.802094240837697
29177000018,29,177,000018,323.09800527887154,240.140409328891,10.04223529920817,1.7464757042101164,20.08447059841634,277.6896369694085,271.5769720046731,12.225329929470815,6.985902816840466,11.352092077365757
29177000019,29,177,000019,451.8587362882506,268.71646871490333,17.73301127709657,5.037054416221788,17.062650963860982,390.25356159325526,324.42874121140323,19.063154817766428,6.416214095601471,10.695453006969338
29179000002,29,179,000002,119.07280108193055,35.803437075009825,0.712807881773399,0.6442364532019704,1.4585046390038985,102.26447788539998,41.797455631025414,2.364201396234398,0.19223214285714285,1.6971078001752848
29179000003,29,179,000003,185.54248528380256,96.00682314660725,4.172794117647059,0.12056737588652482,6.324181268251982,158.86490324444017,107.048208727026,4.216750161603103,4.4578849133761524,4.655063621193158
29179000004,29,179,000004,62.259371833839914,33.99594731509625,0,0.9209726443768996,2.7629179331306992,56.16210739614995,38.10840932117528,1.889564336372847,0.9685916919959473,0.9209726443768996
29179000005,29,179,000005,34.765957446808514,15.092198581560284,0,0.2695035460992908,1.0780141843971631,26.680851063829788,22.099290780141843,0,0.5390070921985816,1.0780141843971631
29179000006,29,179,000006,45.625766871165645,12.77125328659071,0.7142857142857143,0.2857142857142857,0.5083260297984225,39.034180543383,15.804557405784399,1.3023663453111307,1.1428571428571428,0.873794916739702
29179000007,29,179,000007,125.36625067411998,56.598466216438936,1.1464078955024146,0.0121580547112462,1.0058369092317778,108.8372091176459,66.06924614051985,2.0791489133498153,1.915655547065869,1.0072306386409604
29179000008,29,179,000008,181.16612355397424,78.71414429958477,1.031636863823934,0.5738307302590717,2.7680362314724856,155.72596836757998,91.91386750468166,1.8051240073923427,4.8260443697341,3.2407495419086847
29179000009,29,179,000009,239.9784381380921,79.50496059020708,6.2478139810768845,1.970783891659185,5.389639662622757,202.86478867380728,106.14684187630934,3.432213967443667,3.3297363579264716,3.423203087262401
29179000010,29,179,000010,107.43770041749414,52.352115766523845,2.79567117424205,0,0.4104236034036256,92.9625166454242,53.924951504592656,3.2390674006571443,2.426011020835186,1.9826147944200916
29179000011,29,179,000011,38.8265920203686,20.144395741110436,0.9122399675954055,0.09608540925266904,0.4902135231316726,31.015392182391576,23.593430836443595,0.8460854092526691,0.8460854092526691,0.39412811387900354
29179000012,29,179,000012,27.726947344477985,19.586478303922952,0.749832148667961,0.0041265474552957355,0.12381588850535932,22.574507423333298,21.48649556380851,0.33430873841841635,0.3219290960525292,0.1320689834159508
29179000013,29,179,000013,309.1248372080417,80.71786544338363,4.910909940981562,2.003049850590523,3.4537670838387053,266.78735474078644,98.04421300844959,7.529911709501901,6.695146394183533,4.798290430339949
29179000014,29,179,000014,318.1067281258841,91.71191423396404,4.605600314403616,1.0989712107930376,5.226323043211451,268.22574271582846,107.96303170004185,6.961257614462566,5.338818821664676,6.796761243250751
29181000002,29,181,000002,992.5637745216043,302.67337755871176,18.285248955205034,8.826001681143177,20.805555270541713,946.5241701822027,310.24274720894715,20.80978062265439,6.30428691510227,10.088267514867857
29181000005,29,181,000005,501.3965763195435,137.65905848787446,6.009985734664765,5,8.009985734664765,489.31669044222537,115.6490727532097,8.059914407988588,1.0199714693295292,14.009985734664765
29181000006,29,181,000006,219,63,1,1,9,207,64,3,4,6
29181000007,29,181,000007,237.6034236804565,65.34094151212554,0.9900142653352354,0,0.9900142653352354,229.6833095577746,64.3509272467903,5.940085592011412,1.9800285306704708,0.9900142653352354
29181000008,29,181,000008,359,78,4,6,7,353,77,9,3,2
29181000010,29,181,000010,571.561782011768,174.30092462874754,10.53068086298683,5.08377696833847,11.983188568226394,545.053516391146,178.65844774446623,11.983188568226394,3.631269263098907,5.810030820958252
29181000011,29,181,000011,200.87444346662772,51.0256978125407,2.1840701818081367,0.09022135051835248,1.2112561612318913,187.42231342665124,54.098805046586605,4.207030809119215,0.0644438217988232,1.1017016641738917
29181000012,29,181,000012,302,69,3,2,9,296,80,5,0,2
