GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38013000205,38,013,000205,128,12,2,0,123.99999999999999,11,4,0,105,13,5,18,122,14,0,120,17,0,127,1,123.99999999999999,13,0
38013000206,38,013,000206,59.99999999999999,14.999999999999998,1,0,59.99999999999999,14,1,0,59.99999999999999,9,4,2,57,16,0,58,14.999999999999998,0,69,0,59,13,1
38015000701,38,015,000701,1588.7580346355708,398.03898793577264,73.07559671239173,3.9592591295900244,1581.9794431788278,364.4446682230583,73.04198946100858,1.9715685371230585,1266.800447749504,346.71750573352267,131.35113854884202,285.39037562700855,1487.173960831756,477.9947581242305,3.948747026679536,1464.2317498644713,485.12532807798567,10.854669908554573,1763.6701201089008,24.668462127684602,1512.7712754144397,438.55282281564143,2.9577067066627625
38015000702,38,015,000702,1250.1324242945245,438.16209871680076,46.26814142389558,6.169085523186077,1327.2530724163778,334.93578043083136,41.63778774049232,0.05470188420555091,1163.8958679844125,358.06631160176545,55.405286858236195,141.66308041443017,1238.0819208332348,405.4355697917994,2.31163730068793,1167.6368333564724,474.33484634675176,3.19394653000414,1469.860243026357,14.37629892603233,1256.1444832471211,378.8852054720116,1.9834259954546245
38015000703,38,015,000703,1346.0658754121025,454.50018604742615,48.00388579907601,9.795265913065615,1358.8150291403347,386.917953927689,68.56381501509178,0.979298113078997,1144.2459271736302,376.14872106018754,96.00548681587637,223.3507980325563,1304.9300235041414,463.32910094697473,2.9386559333288726,1237.3203739970966,529.9541211822974,7.835908092815739,1570.3860708345433,33.29918222105342,1284.3594319708393,463.32833935288284,2.937894339236991
38015000704,38,015,000704,688.6031137463902,143.93682017180842,24.899407622805633,3.0397595186760693,712.3327809003355,129.52196937947588,17.96181008720748,0.028938857942060525,573.6848241500073,133.23093505756177,46.60775663176321,96.53653437096605,680.1693299835271,164.9450119223839,1.0509926583729052,630.1769805297657,207.7611494460989,2.145647301191461,770.644095474805,4.343074907870478,673.5800308725941,163.38377511742144,0.04416937951076944
38015000705,38,015,000705,645.3068647152361,154.6456281070007,9.158919696097257,8.576954688038379,654.4093376720382,133.5720611623399,12.666638489949957,0.9343263922993251,534.45528659357,127.87351287792731,27.464701970034056,114.88177786281945,619.6257720489093,157.90351708295694,1.9418470665786196,569.6701857659635,196.77636597750833,3.9231517247953662,686.9515068906587,11.335261853116178,624.9012724593136,146.44021588823006,2.853184790801139
38015000706,38,015,000706,1012.7499641975712,291.44273914438116,28.69001787905309,3.8253357172070785,1043.5586517873644,237.76296655039906,34.325020528795385,0.9452981157944491,910.0618337623754,260.6119799275732,49.54543409857001,101.20953790788022,975.8097655915388,291.1999512472201,5.686503112776455,923.3180790105123,351.2393083365925,3.8032640901924375,1126.8222399131598,8.610683968218368,996.7313966920997,277.7744901919709,0.01471441800976078
38015000707,38,015,000707,1017.8634903272352,423.4165335474149,32.898599258681116,6.625757007808331,1041.1275851456132,369.9401952182202,45.82454549860851,0.08564389887899738,910.5350532954953,369.446787276838,67.59413234829175,103.82349227805946,974.6817689156696,437.2913427688921,2.122941770390446,929.2193781237173,477.82455841556714,4.244953747513085,1210.190987791972,23.377735433531896,983.0106163388838,417.7163946894612,2.2085856692694437
38015000708,38,015,000708,1131.6944882754178,500.7032447055327,37.97385184321127,6.004811982318975,1178.6611131827174,408.76582092128365,56.95962217206571,1.0002242006775615,1049.6391248518191,411.7560931885555,64.9695049267446,118.02645567995225,1093.6998357626849,484.7216137569646,4.997654225134201,1070.661166957316,503.7501410176135,8.996239842342042,1333.5467928228345,27.986632542201285,1114.6872100856456,454.7356884061594,3.0006726020326844
38015000801,38,015,000801,220.1329398206724,54.03202197640865,15.0026789141946,4.2063694188134104e-4,221.13368436283747,50.02919676663628,10.003889127505808,1.9999594954505922,193.1089367305723,51.02814404186787,13.009717287868034,25.018422355517064,208.12714097189453,65.03428478331621,7.647944397842565e-5,201.11783752648614,70.04320809633214,4.00060730589699,241.1420744534009,3.001965948441317,210.12488256346975,62.03698408095757,1.0000179874472852
38015000802,38,015,000802,140,29,4,1,140,29,4,0,105,39,9,19,128,38,0,117,45,0,127,2,130,33,0
38015000803,38,015,000803,202.06260971429458,24.043195802931443,4.001327008578752,0,191.07290713398885,21.038530364053738,11.996640660848977,0,140.0596579570534,24.03732351102162,17.998631173717104,45.00979059108986,185.062108183256,34.03770488651359,0,169.0626724408508,40.04409961831408,3.9983908626238405,193.0676983463684,2.0035996502442868,183.0614446789666,33.033702951925264,0
38015000804,38,015,000804,1459,295,30,6,1477,245,43,2,1179,255,74,249,1409,305,3,1328,387,9,1543,16,1408,302,1
38015000805,38,015,000805,1178.7695939565629,267.4938621340888,30.94145420207743,5.9886685552407934,1193.7412653446647,231.56185080264402,35.93201133144476,0.9981114258734656,942.2171860245514,240.5448536355052,85.83758262511803,191.6373937677054,1142.837582625118,274.480642115203,1.9962228517469311,1053.0075542965062,358.3220018885741,4.990557129367327,1233.6657223796033,12.975448536355051,1142.837582625118,268.4919735599622,1.9962228517469311
38015000806,38,015,000806,707.2304060434373,190.50613786591123,20.05854579792257,5.0113314447592066,726.2587346553352,157.438149197356,23.06798866855524,3.0018885741265344,589.7828139754486,154.4551463644948,52.16241737488197,111.36260623229462,683.162417374882,194.519357884797,1.0037771482530689,661.9924457034939,211.67799811142586,4.009442870632673,759.3342776203966,10.024551463644949,695.162417374882,174.50802644003778,0.003777148253068933
38015002801,38,015,002801,235,26,6,0,234,23,4,0,162,31,14,49,210,38,0,200,51,1,221,3,209,39,0
38015002802,38,015,002802,323.9351870374075,62.9873974794959,11.99759951990398,0,325.9347869573915,48.99019803960792,14.996999399879975,0,229.95399079815962,58.988197639527904,20.995799159831968,77.98439687937588,304.9389877975595,61.9875975195039,0.9997999599919984,275.94478895779156,83.98319663932787,4.998999799959992,318.9361872374475,2.999399879975995,306.9385877175435,59.9879975995199,0
38015002803,38,015,002803,767.0455863761954,153.0131970485264,19.00120658729384,7.000188529264662,758.0455863761954,142.01180193196788,23.0016213516761,1,574.0395911455792,143.01108552076215,40.002827938969936,166.00561817208694,735.0428715547843,162.01440363582023,2.0001131175587976,690.0396288514321,192.01689222211377,15.000188529264664,796.0502619019591,7.00075411705865,726.0433994367253,162.0132347543793,1.000075411705865
38015003001,38,015,003001,1230.2333886730191,357.26628073532237,32.67990904447661,5.129997701473023,1232.0991291664316,319.14876826389445,43.809667707218125,0.04446273035850018,1068.8175752607451,300.3837760941312,76.43087900235058,152.2059558891873,1159.135256775762,388.95570182580576,3.127377880348915,1072.020939552826,456.07961423863884,5.318348098951217,1358.604524575249,20.25763157089024,1172.8427046338472,358.43370623042455,2.0642448477931525
38015003002,38,015,003002,935,533,63,6,977,445,82,3,817,457,95,139,931,521,6,877,556,9,1168,33,903,535,5
