GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRCRA,G18USSDHEI,G18USSOWRI,G18HALRARM,G18HALDSCH,G18HALITUT,G18HALOWRI,G18SOSDBOS,G18SOSICOA,G18SOSIJAE,G18SOSOWRI,G18ATGRSTE,G18ATGDTHO,G18ATGOWRI,G18AGRRGOE,G18AGRDDOT,G18AGROWRI,G18PSCRCHR,G18PSCDBRA,G18PSCOWRI,G18PSCRKRO,G18PSCDBUC,G18PSCOWR2,G18TAXRRAU,G18TAXDOVE,G18TAXOWRI
38017016-02,38,017,016-02,828.1246336490108,1298.9791588055546,23.066779975417678,893.7844911778943,1091.9040527027926,107.34817800194222,9.020600313052414,1101.745384765027,181.25866236614877,730.5609909904894,8.021472102608046,1073.81966887128,991.0653593900284,5.006212357543999,1064.5014932459574,981.2112410809782,8.01282514226112,944.8388075427788,1077.677797079582,8.020600313052414,939.9032627460481,1063.5157129188033,7.022744319336799,898.6935459403113,1138.01199440887,5.022744319336799
38017016-03,38,017,016-03,1410,1891,18,1510,1591,160,3,1629,334,1113,17,1792,1434,10,1731,1434,7,1548,1576,9,1542,1554,10,1509,1652,8
38017016-04,38,017,016-04,648,570,4,694,478,33,0,480,162,495,2,802,391,3,778,396,3,715,447,1,712,432,2,680,480,3
38017020-01,38,017,020-01,192,223,2,225,173,16,1,166,58,182,4,270,142,1,268,133,2,220,177,1,232,158,1,219,180,1
38017021-01,38,017,021-01,903,2279,31,962,2004,189,8,1903,316,840,9,1164,1938,7,1165,1877,8,1005,2017,5,1027,1968,8,1029,2015,9
38017021-02,38,017,021-02,769.0057844937513,1558.008613128159,27.000076334961527,817.0062721893388,1321.0073408788003,146.000606438861,9.000008481662391,1307.0069422406677,337.0013358618267,530.0053095206573,14.000033926649568,958.0075826061784,1266.0063145976508,14.000038167480763,979.0073281563066,1213.006318838482,13.000033926649568,826.0064884717299,1342.006963444824,12.000029685818372,808.0063824509499,1343.0069507223302,14.00002120415598,835.006297634326,1350.0073281563066,14.000025444987175
38017022-01,38,017,022-01,110,86,2,126,60,12,0,71,21,103,0,127,70,0,139,58,0,125,69,0,123,71,0,113,80,0
38017022-02,38,017,022-02,208,262,3,246,199,20,2,211,47,197,3,289,164,4,277,181,2,262,190,2,255,190,3,246,208,1
38017022-03,38,017,022-03,117,140,4,143,111,3,2,122,28,104,1,160,100,0,146,114,0,145,107,0,138,109,1,136,115,0
38017022-04,38,017,022-04,673,753,10,791,561,68,6,583,154,642,9,952,457,6,914,485,6,786,570,3,819,528,3,769,615,4
38017022-05,38,017,022-05,444,378,4,477,289,46,1,289,127,372,3,515,292,3,513,272,3,476,300,4,483,292,4,453,327,5
38017022-06,38,017,022-06,1634.859293342073,1629.859723637663,12.998881231466024,1751.8492244252673,1319.8864019642424,142.98769354612628,0.9999139408820018,1402.8792590574485,338.9708259589986,1316.8866601415964,5.999483645292011,2071.821685507508,1105.9048186154942,6.999397586174013,1991.8285702369476,1135.9022368419542,7.9993115270560144,1828.8425978731814,1241.8931145754464,9.99913940882002,1810.8441469373054,1239.8932866936823,6.999397586174013,1683.8550764452912,1418.8778821115607,7.9993115270560144
38017022-07,38,017,022-07,262,256,0,299,198,18,0,200,58,242,0,346,169,0,310,197,0,302,194,0,311,181,0,281,219,0
38017022-08,38,017,022-08,1178.0288016400893,1215.0287135616793,12.000229003866155,1308.0308626748847,973.0232527002556,75.0025190425277,5.000017615682012,1027.0247148018627,286.00597171620205,919.0231998532097,10.00010569409207,1507.0364996931287,839.0194829443052,4.000123309774083,1462.0350904385677,830.0200114147655,7.000140925456095,1324.0322190823997,929.0218786770588,4.000176156820118,1307.0319020001234,923.0218434456947,5.000123309774083,1246.029664808508,1049.024996652775,5.000140925456095
38017024-01,38,017,024-01,98,96,0,104,80,8,0,79,27,80,0,125,66,0,114,78,0,111,76,0,104,83,0,105,83,0
38017024-02,38,017,024-02,154,160,1,166,130,14,0,120,48,133,0,189,114,1,190,110,0,182,110,0,179,108,0,173,126,0
38017025-01,38,017,025-01,243,154,1,274,106,14,0,116,50,193,1,292,95,0,277,103,0,266,95,0,260,95,0,254,118,0
38017025-02,38,017,025-02,301,264,5,314,226,19,1,229,64,241,2,373,179,2,357,190,2,340,193,2,341,187,1,322,223,1
38017027-01,38,017,027-01,303,719,9,340,620,50,3,578,102,299,2,408,590,2,405,578,2,343,623,2,354,608,3,352,620,3
38017027-02,38,017,027-02,1416,2024,15,1584,1674,110,6,1698,437,1065,7,1878,1444,8,1836,1414,5,1569,1648,2,1625,1566,3,1541,1714,4
38017027-03,38,017,027-03,2309.2390551273106,2739.680568629034,22.26176452622356,2527.7782212435177,2300.559562827209,159.3812492156291,3.0184472984806683,2381.059005613339,638.4116529891544,1670.5314991609837,11.093019094025365,3011.781036002814,1907.5693160918888,7.018143800910548,2852.1230272631988,1967.5417425484936,4.0187478629860625,2623.428536710118,2107.7940959373955,8.037085065356207,2560.5709540354896,2114.2252750631715,10.017608182271019,2415.528760887501,2378.7604718532702,11.036412559844706
38017041-01,38,017,041-01,1660,2370,26,1823,2017.0000000000002,158,6,1897,456,1477,8,2172,1785,9,2169,1722,10,1906,1932,7,1952,1868,4,1867,2002,8
38017041-02,38,017,041-02,1482.9820654198447,1704.1670608116074,19.012114031720227,1582.0693407457838,1463.990983628965,103.07147896017561,4.00112034447503,1461.9902424605093,292.2523588213364,1252.7819748446104,7.0048875641891115,1872.2807557827412,1245.8272123463107,4.001834502661068,1823.231317864768,1240.8373399932657,6.00129888402154,1628.1067674069448,1377.9321455509441,5.002597768043079,1673.0996124963633,1319.9158535527047,4.002370121300597,1580.0411581548776,1463.0113416977833,5.003133386682608
38017044-01,38,017,044-01,1222,2660,27,1330,2299,187,8,2340,279,1097,13,1629,2111,12,1640,2034,11,1361,2243,10,1385,2171,15,1356,2293,11
