GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38011003902,38,011,003902,377.38809109155744,32.21325571525219,16.12423885811286,0.19254208448777702,0,1.0220001839733852,4.208339538698402,403.81744859123546,20.88613688971362,9.270204937443385,1.1904745079001902,0.048135521121944254,387.38032884583,24.385357131731276,17.266577844891106,0,391.3368365385061,35.314478268145876,5.446949567720536,0.024067760560972127,359.0290690607459,40.88176663867127,0.024067760560972127,341.9309655397816,47.398851911487135,18.90142628330135,0,343.2899143716086,45.13824169849162,15.835425731381195,1.9958648468248263,350.5401867016662,30.445154953888668,20.42884943905515,0
38011003903,38,011,003903,193,12,3,1,0,0,1,197,7,6,2,0,192,10,8,0,201,12,3,0,177,21,0,169,22,10,0,173,17,7,1,174,13,15,0
38011003904,38,011,003904,260.99567397879605,49.99917126030576,12.999784527679497,3.9999337008244606,3.9999337008244606,0,1.9999668504122303,288.99520988456726,29.999502756183453,8.999850826855036,3.9999337008244606,0,266.99557453003274,43.999270709069066,18.999685078916187,0.9999834252061152,289.9951933097734,33.99943645700792,8.999850826855036,0,255.99575685276548,54.99908838633633,0.9999834252061152,237.9960551990554,61.99897236277914,20.99965192932842,0.9999834252061152,246.99590602591044,52.999121535924104,18.999685078916187,0,254.99577342755936,37.999370157832374,26.99955248056511,0
38013000201,38,013,000201,48,6,1,0,0,0,0,51,5,0,1,0,47,7,2,0,50,6,0,0,42,10,1,42,9,4,0,41,9,5,0,44,7,4,0
38013000202,38,013,000202,229,39,8,4,2,0,2,258,23,2,2,0,228,30,20,1,239,43,2,0,219,43,0,214,42,15,0,207,46,13,0,223,31,16,0
38013000203,38,013,000203,314.10291645744854,31.00969252749936,10.003828221289362,2.6200404567278547e-4,2.7325933776078135e-4,0,2.000783002888058,340.1084244433396,13.004926375466166,3.0035654943229626,5.352633834335668e-4,0,320.10235128032696,27.009753197864836,6.004096243832955,0,311.10345623470545,32.00990963034509,4.0034112893879135,2.9999954861265596,311.0993943597011,22.011453304288462,0,272.09248660996485,53.01442051975126,15.005622585203296,1.0002604994211928,280.0968531038866,35.01011246864977,18.00530141541663,1.0930373510431257e-4,283.09501456169346,38.010151351351794,17.00756290800915,0.9999984953755199
38013000204,38,013,000204,128,16,5,0,1,0,0,136,7,5,2,0,134,10,6.000000000000001,0,129,16,4,1,119,16,0,117,18,5,0,107,23,9,0,120,13,7,0
38013000205,38,013,000205,115,13,1,1,0,0,0,119,10,2,0,0,116,9,5,0,110,18,2,0,106.99999999999999,10,0,106.99999999999999,14,3,0,105,14,7,0,108.99999999999999,11,5,0
38013000206,38,013,000206,61,14,1,0,0,0,0,66,8,2,0,0,65,7,4,0,66,7,3,0,59,11,0,55,10,8,0,56,9,7,0,61,8,5,0
38015000701,38,015,000701,1460.2412897748723,277.7004158856454,131.2959446991469,31.56364643942577,5.92713028978879,1.9717428814682354,21.75184123624022,1583.8365281249633,215.32777879661273,75.0087155216677,34.54656909428632,1.9768219824343927,1440.5625297502102,294.384479724496,156.99674571789214,2.9577014943749416,1552.2156399351045,259.740756564384,74.04130675421783,1.9717428814682354,1346.9107346454216,421.5342388855306,7.892748004219807,1225.2952590166767,385.312363208742,179.6601256109545,5.920133401025686,1296.4794233447278,324.94643033003706,172.76822483384953,4.929444375843177,1295.6039383127484,289.3564865280658,189.5179682965698,7.886622837182588
