GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PRELJoh,G16PREGSte,G16PREOth,G16RRCDYar,G16RRCRChr,G16RRCLMil,G16RRCGSal
48029003207,48,029,003207,13.88468809073724,12.238185255198488,1.0982986767485823,0.15689981096408318,0.31379962192816635,10.119092627599244,13.33648393194707,3.1379962192816633,0.31379962192816635
48029003208,48,029,003208,29.000000000000004,8,2,0,0,22,8,6.000000000000001,4
48029003209,48,029,003209,144.01897456864054,250.81634370130223,16.290349783365805,1.0456483165729948,3.9763188106183622,113.12943113279789,257.4081471117719,28.88508519536439,8.028439490978057
48029003210,48,029,003210,200.16117538823383,259.5879087688198,24.885868938809864,3.8066852627501655,7.0505472237799784,159.06208658033916,266.9477074229542,33.03804475263388,15.76859130735647
48029004001,48,029,004001,805,308,43,16,23,634,347,97,63
48029004002,48,029,004002,297,74,12,4,3,270,71,14,25
48029004003,48,029,004003,421,66,18,8,4,382,66,26,30
48029004004,48,029,004004,278,84,17,3,2,244,85,25,16
48029004005,48,029,004005,607,117,18,9,15,535,123,27,57
48029004006,48,029,004006,181.60398706896552,44.557112068965516,14.177262931034482,6.075969827586206,5.400862068965517,149.8739224137931,54.683728448275865,14.177262931034482,18.90301724137931
48029004007,48,029,004007,275.8938268113028,304.9354592571559,52.24567601561783,11.140519922245003,32.163653256517605,240.33235060183483,327.72472463475185,45.502767828493944,30.491563249064885
48029004008,48,029,004008,237,155,19,4,6,186,159,36,19
48029004009,48,029,004009,281.9914909388798,63.99806886556138,7.999758608195172,8.99972843421957,0.9999698260243965,265.9919737224895,51.99843095326862,6.999788782170776,22.99930599856112
48029004010,48,029,004010,388,21,2,4,3,348,22,11,20
48029004011,48,029,004011,461,44,7,9,2,428,34,16,30
48029004012,48,029,004012,242,45,8,5,1,227,36,11,22
48029004013,48,029,004013,320,94,13,9,2,302,88,12,25
48029004014,48,029,004014,176,33,3,2,1,160,30,5,13
48029004015,48,029,004015,643.861038274591,148.73689101226987,19.96468335735166,16.96998085374891,8.984107510808247,565.9987731809196,135.7598468299913,38.93113254683574,74.86756259006873
48029004016,48,029,004016,854,234,23,21,8,754,212,44,79
48029004017,48,029,004017,848,226,60,28,11,697,211,114,105
48029004018,48,029,004018,482.9741379310345,135.15325670498083,25.838122605363985,10.931513409961685,5.962643678160919,353.7835249042146,155.0287356321839,98.38362068965517,42.73227969348659
48029004019,48,029,004019,672.8517869656622,279.46706377014715,17.210581639803785,10.6541695865452,4.917309039943938,627.7764540995095,232.75262789067975,40.158023826208826,55.72950245269797
48029004020,48,029,004020,241.3008388694679,171.00964375112267,12.656953190186028,7.351939209028229,3.0938504557408613,221.88418963414074,158.68116715602966,17.0792802410199,25.853546500882008
48029004021,48,029,004021,330.4569892473118,255.96370967741936,15.23521505376344,9.235215053763442,7.188172043010753,290.8454301075269,233.82258064516128,39.329301075268816,30.7997311827957
48029004022,48,029,004022,38.65098039215687,28.988235294117647,0,0,1.7568627450980392,34.258823529411764,21.96078431372549,3.5137254901960784,4.392156862745098
