GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOVAC,G16PREOKAH,G16PREIMCM,G16PREIFUE,G16PREORIV,G16PREOWRI,G16USSRGRA,G16USSDJUD,G16USSLALD,G16USSOHEN,G16USSILUI,G16USSOWRI
19105105007,19,105,105007,159.9136468774094,68.68774094063222,2.5042405551272164,1.4309946029298382,0,1.0732459521973785,0.35774865073245954,1.0732459521973785,0,0,1.0732459521973785,174.58134155744025,52.94680030840401,4.292983808789514,2.5042405551272164,0,0.7154973014649191
19105105008,19,105,105008,202.59459773807697,111.42702875594233,9.56696711540919,1.1255255429893165,1.4069069287366456,0.8441441572419874,0.5627627714946583,0.5627627714946583,0,0,3.0951952432206205,231.8582618557992,85.82132265293538,10.411111272651178,4.220720786209937,0.2813813857473291,0
19105105009,19,105,105009,930.8354950414362,789.5697346419421,64.99814268289164,10.79853144822414,6.65290408359552,5.922226627634562,5.012662100987727,7.487254849181014,0,1,18.569179083168727,1096.7809639350387,644.9846165109343,51.976284058261584,34.05246618030884,3.014645977008178,0.9833701469713703
19105105010,19,105,105010,320.54293646569243,235.62376089223397,19.905676098206495,8.580791996441993,2.155314299140298,2.68592338015116,1.076392612066424,3.754728767195234,0,0,11.812498907648715,369.0160110587858,200.03957781885572,20.448930554254606,10.215613514601229,2.68086523013626,0.5356672310257621
19105105011,19,105,105011,676.6325388467947,396.4889776882689,29.753695438444375,9.15152306497751,5.066483131329871,4.070899254402112,4.020882334270302,5.141530414717266,0,4.355577738441362e-5,16.259553751572255,765.2319774096093,323.4019106135082,28.47278861916567,20.25437532019217,0.11231680794602032,0.9960918605959256
19105105012,19,105,105012,765.3574181514119,603.9748839231938,53.635373942205455,12.078948025182576,6.591733396475054,5.851450457288751,3.90841283373108,9.710288688084516,0,0,21.958285686072607,897.9683057624773,504.2011765020175,39.376637820423554,25.371177039328412,4.609833318656541,0.46828446415569674
19105105013,19,105,105013,330.31757135853155,271.9321410699776,24.793812862262662,3.199201659646795,3.199201659646795,2.3994012447350963,1.9995010372792468,4.398902282014343,0,0,7.998004149116987,391.90220330673236,225.14381679764318,14.796307675866426,11.197205808763782,1.5996008298233975,0
19105105014,19,105,105014,179.55821125674635,77.12567463377025,2.8118735543562066,1.6067848882035467,0,1.20508866615266,0.4016962220508867,1.20508866615266,0,0,1.20508866615266,196.02775636083268,59.451040863531226,4.82035466461064,2.8118735543562066,0,0.8033924441017734
19105105016,19,105,105016,32.05165767154973,13.76715497301465,0.5019275250578258,0.28681572860447185,0,0.2151117964533539,0.07170393215111796,0.2151117964533539,0,0,0.2151117964533539,34.991518889745564,10.612181958365458,0.8604471858134156,0.5019275250578258,0,0.14340786430223593
19105105017,19,105,105017,126.61938061938062,67.7962037962038,3.4895104895104896,0.997002997002997,0.4985014985014985,0.4985014985014985,0.4985014985014985,2.4925074925074924,0,0.4985014985014985,0.997002997002997,139.58041958041957,54.336663336663335,3.4895104895104896,3.4895104895104896,0,0
19105105018,19,105,105018,127.38061938061938,68.2037962037962,3.510489510489511,1.002997002997003,0.5014985014985015,0.5014985014985015,0.5014985014985015,2.5074925074925076,0,0.5014985014985015,1.002997002997003,140.41958041958043,54.663336663336665,3.510489510489511,3.510489510489511,0,0
19105105019,19,105,105019,215,109,14,3,1,0,2,0,0,0,5,246,77,11,7,0,0
19105105020,19,105,105020,159.8789439793947,108.20090148100451,8.07469414037347,0.8074694140373471,1.6149388280746941,0.8074694140373471,0.40373470701867353,0.40373470701867353,0.40373470701867353,0,3.2298776561493883,182.48808757244043,82.76561493882807,6.4597553122987765,7.670959433354797,1.2112041210560205,0.40373470701867353
