GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19121121006,19,121,121006,244.52797176561998,107.96948260340532,4.461859848703756,0.736040964863263,0.4883547940358072,0.4883547940358072,0,0.49537234165491145,0.0035087738095521286,0.2652300398752164,236.01541383843815,108.99180625100112,6.9773180688833865,3.711783788602284,0
19121121007,19,121,121007,274.65157232704405,120.64654088050315,5.003773584905661,0.8339622641509434,0.5559748427672956,0.5559748427672956,0,0.5559748427672956,0,0.2779874213836478,265.2,121.75849056603774,7.783647798742138,4.169811320754717,0
19121121008,19,121,121008,82.02264150943397,36.030188679245285,1.4943396226415093,0.24905660377358493,0.1660377358490566,0.1660377358490566,0,0.1660377358490566,0,0.0830188679245283,79.2,36.362264150943396,2.3245283018867924,1.2452830188679245,0
19121121009,19,121,121009,240.72535572975892,105.57041022018771,4.082719240799827,0.8081490428154716,0,0.4025754490247905,0.805150898049581,1.2137226366061526,0.8081490428154716,0.42056431762013424,233.29910896135925,105.60938610214428,9.379161118205806,3.665153067945583,0
19121121010,19,121,121010,1800.5307960318596,1122.3452481216348,28.53843567310871,1.106586380911124,0.06522182943662402,1.0727152053751454,0.015260555331630841,2.0750988252831846,2.008616735028894,7.001062779204177,1706.6796128049796,1127.3921970528456,64.82503961395372,23.465507244165174,0
19121121011,19,121,121011,155.6821760916249,67.9627773801002,2.634216177523264,0.5268432355046528,0,0.2634216177523264,0.5268432355046528,0.7902648532569793,0.5268432355046528,0.2634216177523264,150.94058697208303,67.9627773801002,6.058697208303507,2.3707945597709377,0
19121121012,19,121,121012,127.6111859838275,39.474393530997304,0.34029649595687333,0.34029649595687333,0.34029649595687333,0,0,0,0,0.34029649595687333,119.44407008086255,42.53706199460917,1.7014824797843666,1.7014824797843666,0.34029649595687333
19121121013,19,121,121013,192.9543768917669,84.24829167806968,3.264460971280688,0.6527453111141354,0,0.3264542573026245,0.6527453111141354,0.9791179666712031,0.6528269128596922,0.3264542573026245,187.0769762341363,84.24763886410523,7.508529519705919,2.93808831572362,0
19121121014,19,121,121014,357.90510965289155,157.22706043685383,6.520194881036584,1.0866161968668249,0.7244107979112165,0.7244660978929538,0,0.7244107979112165,5.5299981737230234e-5,0.3622606989373455,345.5883011890036,158.67543963282236,10.143078370318726,5.43357868416976,0
19121121015,19,121,121015,637,276,9,1,2,0,0,1,0,3,599,285,22,10,0
19121121016,19,121,121016,307.0978723404255,96.56170212765957,14.774468085106383,0,0,0.5276595744680851,0,0,0.5276595744680851,0,287.0468085106383,105.53191489361703,14.774468085106383,4.748936170212766,0
19121121017,19,121,121017,274.9021276595745,86.43829787234043,13.225531914893617,0,0,0.4723404255319149,0,0,0.4723404255319149,0,256.9531914893617,94.46808510638297,13.225531914893617,4.251063829787234,0
19121121018,19,121,121018,111.94407008086253,34.62803234501348,0.29851752021563344,0.29851752021563344,0.29851752021563344,0,0,0,0,0.29851752021563344,104.77964959568733,37.31469002695418,1.4925876010781671,1.4925876010781671,0.29851752021563344
19121121019,19,121,121019,135.44474393531,41.897574123989216,0.3611859838274933,0.3611859838274933,0.3611859838274933,0,0,0,0,0.3611859838274933,126.77628032345014,45.14824797843666,1.8059299191374665,1.8059299191374665,0.3611859838274933
19123123001,19,123,123001,425.27293790546804,107.31186283595922,3.091288229842447,0.8832252085264134,0,0.4416126042632067,0,0,0,0.8832252085264134,404.95875810936053,112.16960148285449,7.507414272474513,4.416126042632067,0.4416126042632067
19123123002,19,123,123002,303.001390176089,76.45829471733086,2.2025023169601483,0.629286376274328,0,0.314643188137164,0,0,0,0.629286376274328,288.52780352177945,79.91936978683967,5.348934198331789,3.1464318813716403,0.314643188137164
19123123003,19,123,123003,234.725671918443,59.22984244670992,1.706209453197405,0.48748841519925856,0,0.24374420759962928,0,0,0,0.48748841519925856,223.51343836886005,61.91102873030584,4.143651529193698,2.4374420759962927,0.24374420759962928
19123123004,19,123,123004,133.81915629322268,24.700899031811897,1.9000691562932226,0.2714384508990318,0.2714384508990318,0,0,0,0,0.2714384508990318,128.11894882434302,27.958160442600274,2.442946058091286,1.0857538035961272,0
19123123005,19,123,123005,78.58679114799446,14.505878284923927,1.1158367911479945,0.1594052558782849,0.1594052558782849,0,0,0,0,0.1594052558782849,75.23928077455048,16.418741355463347,1.4346473029045643,0.6376210235131397,0
19123123006,19,123,123006,25.570539419087137,4.719917012448133,0.3630705394190871,0.051867219917012444,0.051867219917012444,0,0,0,0,0.051867219917012444,24.481327800829874,5.342323651452282,0.46680497925311204,0.20746887966804978,0
19123123007,19,123,123007,161.6058091286307,29.8298755186722,2.2946058091286305,0.3278008298755187,0.3278008298755187,0,0,0,0,0.3278008298755187,154.7219917012448,33.76348547717842,2.950207468879668,1.3112033195020747,0
19123123008,19,123,123008,93.41770401106501,17.243430152143844,1.326417704011065,0.18948824343015214,0.18948824343015214,0,0,0,0,0.18948824343015214,89.4384508990318,19.517289073305673,1.7053941908713692,0.7579529737206085,0
19123123009,19,123,123009,341.961038961039,69.36178107606679,4.8478664192949905,0,0,0.37291280148423006,0,0.37291280148423006,0.37291280148423006,0,328.16326530612247,71.97217068645641,8.949907235621522,1.8645640074211505,0.37291280148423006
19123123010,19,123,123010,187.63995233165318,31.325016835532182,2.4811894523193807,0,0,0,0,0,0,1.550743407699613,188.260249694733,30.394570790912415,2.4811894523193807,0.9304460446197678,0
19123123011,19,123,123011,420.6244559553925,70.42627965511157,5.558227528371553,0,0.00994733762434172,0,0,0,0,3.4589711987957084,421.87475011074457,68.36681267603309,5.607964216493262,2.12909834244887,0
19123123012,19,123,123012,386.0697162122298,79.12912010888753,5.520850137512442,0.006758580372957925,1.8680057732451625e-4,0.417889767560396,0,0.4245238142151375,0.4177652338421796,0.006820847232066097,370.36798711681365,82.11963041175288,10.147646457770904,2.1392975880012037,0.4211133905991045
19123123013,19,123,123013,176.0321744509797,36.55056350409217,2.5281154267242516,0.003849887642568311,0.003849887642568311,0.1929896914239546,0.003849887642568311,0.20838924199422787,0.1891398037813863,0.003849887642568311,168.76065968844608,37.91689089463013,4.72414989759655,1.0303965470434342,0.1929896914239546
19123123014,19,123,123014,3182.55105106098,1633.5560984104823,80.2282142198448,8.885931112650438,4.923438831674513,3.2835424299033527,0.9961501123574317,14.914509734373715,0.047548136207097774,8.549579639227352,2953.793370095057,1658.9665418534628,154.7846970691482,68.15265993936758,5.642189006786742
19123123015,19,123,123015,534.6507476354757,175.62280291678454,4.062699268635246,0.027841283335888534,0.9969053441074467,0.015585885629302229,0,1.004045271934543,0.9726340246851063,1.0055907779004847,524.3528450902201,172.73535418601531,8.183693163892489,6.000827390178362,0.012255397706586303
19123123016,19,123,123016,408.7352716792958,181.77963398368684,6.812254527988264,1.0756191359981468,1.0756191359981468,0.7170794239987646,0,1.0756191359981468,0,1.4341588479975291,382.5618727033409,184.2894119676825,17.20990617597035,6.812254527988264,0.3585397119993823
19123123017,19,123,123017,294.8250728862974,69.74718867138692,1.3477717617659308,0,0.3369429404414827,0.6738858808829654,0.3369429404414827,0.3369429404414827,0.6738858808829654,1.010828821324448,275.6193252811329,77.15993336109955,8.760516451478551,3.0324864639733446,0
19123123018,19,123,123018,326.8950437317784,77.33402748854644,1.4943773427738443,0,0.37359433569346107,0.7471886713869221,0.37359433569346107,0.37359433569346107,0.7471886713869221,1.1207830070803833,305.60016659725113,85.55310287380259,9.713452728029987,3.3623490212411498,0
19123123019,19,123,123019,194.70292300986893,46.05740034531499,0.8941142814902896,0,0.2235285703725724,0.44380502285495393,0.22190251142747697,0.22190251142747697,0.44380502285495393,0.6673335932275264,182.03334109221652,50.940881655664576,5.784099827620261,2.0068789565178653,0
19123123020,19,123,123020,59.31706098785215,14.027869512260033,0.2763985617038652,0,0.0690996404259663,0.13398926473109302,0.06699463236554651,0.06699463236554651,0.13398926473109302,0.20308890515705932,55.47100183823054,15.503856432362475,1.7608055140479875,0.6155817396524373,0
19123123021,19,123,123021,119.1481381203061,27.360722876581733,1.436138520376076,0,0.359034630094019,0.0011311601440654711,5.655800720327356e-4,5.655800720327356e-4,0.0011311601440654711,0.3601657902380845,114.45580240591441,27.73163468818844,3.2409265320707275,2.1559045207802123,0
19123123022,19,123,123022,55.973668812170864,12.851960210649503,0.676418958455237,0,0.16910473961380926,0,0,0,0,0.16910473961380926,53.77530719719134,13.02106495026331,1.521942656524283,1.0146284376828554,0
19123123023,19,123,123023,151.84552369806906,34.864833235810416,1.8349912229373904,0,0.4587478057343476,0,0,0,0,0.4587478057343476,145.88180222352253,35.32358104154476,4.128730251609128,2.7524868344060853,0
19123123024,19,123,123024,0.028160466611475334,0.004701168806213238,3.7236980643273173e-4,0,0,0,0,0,0,2.3273112902045731e-4,0.028253559063083522,0.004561530128800963,3.7236980643273173e-4,1.396386774122744e-4,0
19125125001,19,125,125001,405.9372148077449,154.96704638680515,8.5043316157007,1.2671691769840803,0.4365240012797346,0.009422850412249707,0,0.4176783004552352,0.4176783004552352,1.6754246270270656,395.4841959030619,156.0238399724035,13.99539804929838,2.581452606029409,0
19125125002,19,125,125002,557.2818664643399,211.38277693474961,11.646433990895297,1.7469650986342944,0.5823216995447648,0,0,0.5823216995447648,0.5823216995447648,2.329286798179059,543.3061456752655,212.54742033383914,19.21661608497724,3.4939301972685888,0
19125125003,19,125,125003,1138.4348814476944,324.3482344484035,11.825415018691475,0.04124049909242136,1.953399225875065,1.945496802035429,0.0035969370277865982,2.949877677971635,0.9739311879271445,5.887298951986325,1162.747509060206,297.04511722376486,16.71025583998261,6.88062329563295,0.0071938740555731965
19125125004,19,125,125004,4117.44544200244,1913.112681993645,79.86407285192847,10.958759500907579,8.994848752561593,2.0027511764012287,1.9964030629722134,12.97249428968335,2.0001928012911843,26.957444983323647,4179.485914120387,1818.1403275201706,110.84985197672898,29.93824462889535,2.9928061259444267
19125125005,19,125,125005,384.9594527451857,117.12860542977243,3.7306545505397692,0,0.05175202156334232,0.05175202156334232,0,3.4977704535047285,0.02587601078167116,0.15525606469002695,359.9552848560296,121.53429075962522,13.265426262637341,5.311345707211271,0
19125125006,19,125,125006,60.16022380467955,18.410478128179044,0.5798575788402849,0,0,0,0,0.5798575788402849,0,0,55.811291963377414,19.28026449643947,2.1744659206510684,0.8697863682604272,0
19125125007,19,125,125007,3341,2088,69,5,6,3,4,9,1,21,3069,2190,158,60,9
19125125008,19,125,125008,270.9187279151943,145.9266784452297,6.567726737338044,0.6157243816254416,0.8209658421672555,0.41048292108362777,0,0,0,0.20524146054181389,252.24175500588927,155.57302709069492,9.235865724381625,3.283863368669022,0
19125125009,19,125,125009,654.9469964664311,352.77826855123675,15.877502944640755,1.4885159010600706,1.9846878680800943,0.9923439340400472,0,0,0,0.4961719670200236,609.795347467609,376.09835100117783,22.32773851590106,7.938751472320377,0
19125125010,19,125,125010,387.91519434628975,208.9452296819788,9.404004711425205,0.8816254416961131,1.1755005889281507,0.5877502944640753,0,0,0,0.29387514723203767,361.1725559481743,222.75736160188455,13.224381625441696,4.702002355712603,0
19125125011,19,125,125011,519,311,6,1,1,0,0,0,0,0,463,342,18,8,1
19125125012,19,125,125012,213,86,0,0,0,1,0,0,0,0,198,95,3,3,0
19125125013,19,125,125013,268,123.99999999999999,3.9999999999999996,0.9999999999999999,0.9999999999999999,0,0,0,0,0,244,133,9,5,1.9999999999999998
19125125014,19,125,125014,344,122,6,0,0,0,0,0,0,0,317,130,14,3,0
19127127001,19,127,127001,159.4091316025067,60.46553267681289,0.5496866606982991,0,0,0,0,0.5496866606982991,0,0,146.76633840644584,63.21396598030439,7.145926589077887,1.0993733213965982,0
19127127002,19,127,127002,219.95173581710415,100.11092294665538,3.6536833192209994,0,0.7307366638441999,1.4614733276883998,0,0.7307366638441999,0,0,208.25994919559696,103.76460626587638,6.5766299745977985,2.9229466553767995,0.7307366638441999
19127127003,19,127,127003,45.62150719729043,20.764606265876374,0.7578323454699407,0,0.15156646909398813,0.30313293818797626,0,0.15156646909398813,0,0,43.19644369178662,21.522438611346317,1.3640982218458932,0.6062658763759525,0.15156646909398813
19127127004,19,127,127004,251.15219721329046,136.33976420150054,6.071811361200429,0.5519828510182208,0.5519828510182208,0,0,0.5519828510182208,0,0.5519828510182208,241.7684887459807,140.7556270096463,7.727759914255091,1.1039657020364415,0.5519828510182208
19127127005,19,127,127005,205.59616879978142,112.96742534098313,4.973940272786499,0.4480171489817792,0.46435701826282494,0,0.0032679738562091504,0.46435701826282494,0.0032679738562091504,0.4545530966941975,197.79033478343106,116.52868671584389,6.393155118424647,0.9581258012315322,0.45128512283798833
19127127006,19,127,127006,385.7719245274828,267.127544303438,5.03431316472542,0.006643655972911466,1.0032086221599827,0.006643655972911466,0.0016609139932278665,0.006643655972911466,0,0.003321827986455733,352.7441029538851,279.094628467649,15.054772988372653,9.018912115480479,0
