GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
220610006-3,22,061,0006-3,87.02758523229112,49.20688924218336,69.30909379968203,56.70882882882883,7.979795089206854,15.446853912736266,27.947627627627625,28.9659282812224,5.7214979685567915,90.38158982511924,22.663123123123125
220610007-1,22,061,0007-1,19.918300653594773,12.026143790849673,17.663398692810457,12.777777777777777,1.5032679738562091,4.133986928104576,6.388888888888888,5.637254901960785,1.1274509803921569,29.313725490196077,6.388888888888888
220610007-2,22,061,0007-2,334.0541141141141,152.76696696696698,191.02750750750752,117.5133933933934,20.516936936936936,58.41915915915916,109.66348348348349,137.39681681681682,19.151051051051052,277.3046846846847,72.94798798798799
220610008-1,22,061,0008-1,80.89801892924649,32.088790310886715,42.854707040658816,43.65327758834494,5.109464993362928,13.049206055852077,53.52776816151505,55.57776606005664,3.649186135177813,57.94624418387457,16.157483934946743
220610008-2,22,061,0008-2,257.6537687555163,142.47256840247132,153.48402471315092,122.44944395410414,20.094033539276257,31.985383936451896,55.93172109443954,55.03000882612533,9.142577228596645,183.6659841129744,18.328790820829656
220610008-3,22,061,0008-3,5.795876288659794,12.523711340206185,1.4577319587628865,7.383505154639175,3.1237113402061856,4.169072164948454,30.449484536082473,22.531958762886596,1.0494845360824743,4.630927835051546,17.272164948453607
220610008-4,22,061,0008-4,3,8,1,4,0,3,14,11,1,1,2
220610009-1,22,061,0009-1,21,18,13,29,10,5,238,212,3,18,113
220610009-2,22,061,0009-2,3,1,3,1,0,3,10,4,4,0,9
220610009-3,22,061,0009-3,4,4,1,3,0,1,4,3,0,7,0
