GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22093000016,22,093,000016,108.76245154568039,568.65822607652,2.2651898734177216,0.7550632911392405,2.2651898734177216,113.2961650546788,1.510126582278481,227.31961204913873,197.84991861362184,34.73624515456804,19.639424348000528,6.040506329113924,0.7561745451935655,3.020253164556962,5.285443037974684,1.510126582278481,10.571997330003692,9.819156546973103,2.2651898734177216,0
22093000017,22,093,000017,408.0050394212793,292.0915223929123,3.0004876859302607,1.000487685930261,11.001137933837276,394.0061773551166,10.000975371860521,111.04454198163049,107.03202470942047,14.001463057790781,11.002113305697797,3.0030886775583188,1.625619767536373e-4,6,2.0004876859302607,2,5.001137933837275,5.001137933837275,2.9999999999999996,4.8768593026091194e-4
22093000018,22,093,000018,388.4254115557578,266.87110629242653,3.6557685793483086,0,0,365.57685793483085,9.139421448370772,119.7264209736571,90.48027233887063,10.053363593207848,10.053363593207848,4.569710724185386,0,0,0,0,8.225479303533694,4.569710724185386,0,0.9139421448370771
22093000019,22,093,000019,35.27088607594937,184.43734177215188,0.7348101265822784,0.2449367088607595,0.7348101265822784,36.74050632911392,0.489873417721519,73.7259493670886,64.17341772151899,11.267088607594937,6.368354430379746,1.959493670886076,0.2449367088607595,0.979746835443038,1.7145569620253165,0.489873417721519,3.429113924050633,3.184177215189873,0.7348101265822784,0
220950001-1,22,095,0001-1,137.91719838898928,11.992799859912111,0,1.9987999766520186,0,136.91779840066326,0,2.9981999649780278,1.9987999766520186,5.9963999299560555,0,0,0,0,0,0,1.9987999766520186,0,1.9987999766520186,0
220950001-2,22,095,0001-2,21.333333333333332,543.030303030303,1.9393939393939394,1.9393939393939394,1.9393939393939394,35.87878787878788,0,210.42424242424244,216.24242424242422,25.21212121212121,22.3030303030303,4.848484848484849,0,0,3.878787878787879,0,5.818181818181818,6.787878787878788,0,0
220950001-3,22,095,0001-3,41.3968253968254,911.1010101010102,3.036075036075036,3.036075036075036,6.036075036075037,57.66738816738817,7,385.9141414141414,336.0223665223665,43.46897546897547,12.414862914862915,12.09018759018759,2,7,0.07215007215007214,2,9.108225108225108,3.1262626262626263,8,4
220950001-4,22,095,0001-4,202.16295232067148,574.7257633851201,1.993414486380912,0.02339907577379626,2.9784221916844698,204.12855326322477,12,179.99010962306173,236.5505688307041,45.65951931311234,24.894282003987602,2.0285131000416063,1,1.9700154106071157,4.0168135621547085,0,7.9502588697498515,9.976950702333191,1.9700154106071157,0
220950001-5,22,095,0001-5,63.24117586784515,448.08961499558046,0.19983891085566244,2.1220252051569357,13.09899847987516,67.95297075679947,1.7098522297708107,168.7262331389337,201.55461147028151,12.87946825935977,16.591985923460943,1.5619853389616813,1.425070712945095,3.6198846036870425,4.729012071285008,0.09492717227523857,7.8301232691626454,5.138226534025642,1.371530166614955,2.7868566443733647
220950002-1,22,095,0002-1,470.70238225430154,337.2834645669291,0.9609215514727326,3.8436862058909305,1.9218431029454652,440.0440224919802,13.452901720618256,156.63021289005542,111.46689997083698,5.7655293088363955,18.25750947798192,4.804607757363663,2.8827646544181977,4.804607757363663,0,0,10.57013706620006,13.452901720618256,2.8827646544181977,0.9609215514727326
220950002-2,22,095,0002-2,445.8091403889576,844.0832320773993,8.039078448527267,2.8138966885401477,15.064531238701152,450.3097940124569,12.109301565339143,257.3460870867065,334.82456579478713,26.810299635474387,41.003153677466706,12.49693237314511,7.10360968722842,0.8529751370674152,6.315165788862156,0,10.402611617093177,17.163804198752675,2.1172353455818023,6.025452790173885
220950002-3,22,095,0002-3,478.9627687922238,284.41703546456614,1.0565477374233778,1.24355271011134,1.86532906516701,465.72826362275066,16.67808857548301,99.92481312275665,100.03468613377673,13.6241433057147,11.13703788549202,4.616571419745535,2.6577398682345432,1.6397581116451065,2.48710542022268,0.26413693435584445,5.3154797364690864,7.235745307146137,0.26413693435584445,2.2615344667007764
220950002-4,22,095,0002-4,638.6669607658895,645.4181868805995,12.85254317166753,1.5757575757575757,7.484848484848485,612.4625849605635,16.410646378676187,226.64579890631123,233.87151616399868,36.56895955297446,37.75077773479264,13.947984277765368,7.571225560568831,3.7856127802844153,5.121212121212121,4.099499429280519,19.475784454470993,7.725006719678355,2.1298024595835496,5.755309749981385
220950003-1,22,095,0003-1,189.15457903921018,403.94557808065485,6.500251130085384,4.432365148847838,4.3155492300522695,196.49400894539792,4.13744280793296,161.86226261328954,148.06049366437546,16.57377705352107,17.875797132520525,5.929651702534485,1.398422158229065,0.8492410905856581,4.364479167610292,1.2501255650426921,12.547221011586206,4.711006811882597,1.083375188347564,3.481797346576629
220950003-2,22,095,0003-2,112.40291839593962,1177.3513265836616,10.061275740833752,4.075938213187413,19.13819203961687,124.78574638504851,3.8227109713006775,418.45423704917744,466.2641888498242,56.89049847119053,59.74788301743812,20.589829672121034,4.791403420656111,4.948372941394169,10.546741036418268,4.121546961325967,20.04952109052138,11.482689647272375,1.4376448403781932,6.83510886709491
220950003-4,22,095,0003-4,182.733388449627,803.3027409137222,5.324636695599844,3.287062111690465,11.110673862852481,187.20763021224374,10.058208099103469,295.3792386472229,307.6046861506792,37.79868975107342,31.685965999345278,6.047891341506424,2.169763937719739,7.100357105255436,2.2345963479414523,2.366785701751812,12.424993800855281,11.504717390916628,0.9202764099386529,2.8930185836263185
220950004-1,22,095,0004-1,46.265700553822846,64.7376955278223,1,0.011585192111149596,0.7024247492657797,51.06671215183833,0.034755576333448786,24.13610850478303,24.5775019414604,1.2332076016214883,0.13902230533379514,1.9062983950633192,0.011585192111149596,2,0,0,1.0362593357319452,1.344909744553573,0.33383458646616543,0.011585192111149596
220950004-2,22,095,0004-2,184.68499427262316,355.71935853379154,4.014891179839633,1.6059564719358534,4.014891179839633,173.44329896907217,5.620847651775487,130.88545246277204,145.33906071019473,27.301260022909506,20.074455899198167,4.014891179839633,0,2.40893470790378,3.211912943871707,0.8029782359679267,6.423825887743414,5.620847651775487,0.8029782359679267,0
220950004-3,22,095,0004-3,63.99999999999999,532,3,2,11,66,4,178,234,9,33,7,3,7,7,0,5,7,1,3
220950005-1,22,095,0005-1,291.89686203312624,360.633300310391,3.0608753849812773,2.0044191354916823,0.9969028913773968,295.7845687788083,4.908135929741567,139.12392216511307,137.25797325330993,23.934747244070063,16.146283423694975,4.94416299517169,3.109678001290875,2.635902641888399,0.8502202643171807,0.17007153067657854,3.887844134747808,4.4594995049009025,0.42511013215859034,0.559017208339333
220950005-4,22,095,0005-4,837.3973261274782,739.9951191251891,6.466843742933048,2.299559471365639,0.6052503991507077,814.5878600467059,16.013285801603434,259.02098330062273,302.9564994593305,56.94768136274136,28.61248397144522,14.18604170981406,7.0214932565682595,6.740350260527746,6.165460392686337,0,14.944467482745408,7.092334496289954,0.5951302220476083,3.572154049519801
220950005-7,22,095,0005-7,284.0003630574549,157.00028275930322,1.0000020589269651,0,0.9999999999999999,265.0003445271122,7.000008235707861,49.00009539694939,53.00011941776399,6.000025393432572,9.000009608325838,5.000006176780896,4.000002058926965,3.4315449422102415e-6,2.000003431544942,0,6.0000082357078615,4.000002058926965,0.9999999999999999,1.0000020589269651
220950005-8,22,095,0005-8,253.47965043996143,183.93915229569473,1,0.7614678899082569,2.2844036697247705,254.99779808800417,5.284403669724771,57.646780168906254,77.11168190576424,18.22935779816514,11.137614678899082,1.6398077689754937,0.7614678899082569,0,0,0,3.2844036697247705,5.627243334029031,1,0.7614678899082569
220950006-1,22,095,0006-1,274.8283816732157,621.6529448398121,7.1157894736842104,5.382358772413252,4.583918422502913,268.7386158851923,9.920760527766072,228.22300880576972,230.95780618434276,44.49454386931767,25.451463163695863,21.43840175535282,0.9349903513606203,8.894736842105264,6.226315789473684,0,13.478655264608177,3.830994739742669,3.5578947368421052,3.603411403992199
220950006-3,22,095,0006-3,90.12806389176673,903.153076786088,6.3007136109501864,0.10324765210754906,5.096475643078203,114.41749082100134,3.8547367696451422,247.84921004772858,412.89206299933835,60.85902572312814,58.255057172288524,9.486892888077248,1.002257336343115,2.7605184629100536,7.015801354401805,3.0964756430782034,5.760518462910054,8.394931917685275,3.0090293453724604,0.004514672686230248
220950006-4,22,095,0006-4,94.19700598791326,758.6430967682966,8.866151835570868,4.7016517240141384,1.692943766553524,96.55911929230686,4.3515869886041365,244.8067101427932,319.85870655262653,46.27595951295474,42.57697882052086,9.731876573845076,1.1557921540961156,4.098491148865391,7.7578828561245095,0.9977426636568849,4.793692251762031,8.709185620311516,4.433075917785434,2.4851137651214215
220950007-2,22,095,0007-2,544.4472240915501,368.71296101620635,6.1623175911546415,3.0811587955773208,3.0811587955773208,575.9061654543679,12.568111569041244,130.38257496117532,133.84151632399318,21.082117274364276,28.62221743275946,2.1352646592955344,1.0811587955773208,2.0811587955773208,4.081158795577321,1,5.1623175911546415,6.081158795577321,0.08115879557732068,1.0270529318591068
220950007-3,22,095,0007-3,295.07577639751554,204.64099378881986,3.1006211180124224,1.5503105590062112,1.5503105590062112,284.74037267080746,10.852173913043478,83.71677018633541,73.38136645962733,20.67080745341615,11.885714285714286,2.5838509316770186,1.5503105590062112,1.5503105590062112,1.5503105590062112,0,3.1006211180124224,1.5503105590062112,1.5503105590062112,0.5167701863354037
