GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE
3101700003P,31,017,00003P,433.97275074748575,37.993738593561915,6.016493224090397,1.9972527472527473
31019000001,31,019,000001,677.20581864551,217.8501244933898,39.19734979037336,9.010744913099353
31019000002,31,019,000002,440,204,40,7
31019000003,31,019,000003,665.9347742792345,259.39343085310543,59.145737428129195,8.014252382545317
31019000004,31,019,000004,943.1915782080853,325.0232923922809,46.01132359827873,8.001362451371325
31019000005,31,019,000005,461.00289658154264,196.0004278243925,45.000140270292626,2.0000210405438934
31019000006,31,019,000006,836.6356715843548,283.17079187113046,54.90731718147312,7.7098723870073185
31019000007,31,019,000007,592.2285732482193,307.56524802644014,67.04836441328942,13.287489742216058
31019000008,31,019,000008,359,123,43,5
31019000009,31,019,000009,493,261,64,12
31019000010,31,019,000010,776.4472712236043,326.1009511731411,95.02865304286051,28.00548275770819
31019000011,31,019,000011,334.6333847659852,173.85307506300018,37.17917604681391,7.009735641385909
31019000012,31,019,000012,395,258,49,26
31019000013,31,019,000013,912.7020864058272,279.0718963403264,83.70319009893267,16.048616938662658
31019000014,31,019,000014,727.1428126751698,305.66400653460965,74.95415963930883,17.975981972230887
31019000015,31,019,000015,249,21,8,3
31019000016,31,019,000016,411,74,25,3
31019000017,31,019,000017,196.9481707317073,33.62195121951219,10.214939024390244,2.0457317073170733
31019000018,31,019,000018,424.0518292682927,135.3780487804878,46.78506097560976,9.954268292682928
31019000019,31,019,000019,444.93493819128173,61.606376057254394,19.55757970071568,3.911515940143136
31019000020,31,019,000020,776.9447457010289,166.58723368651084,59.8435753875946,5.984858603656759
31019000021,31,019,000021,401,71,25,2
31019000022,31,019,000022,207,55,21,1
31019000023,31,019,000023,249,77,8,4
31019000024,31,019,000024,509,141,43,2
31019000025,31,019,000025,491,86,32,8
31019000026,31,019,000026,536.8301192378906,112.32818728152697,19.07523785785152,5.003893216818583
31019000027,31,019,000027,200.35252724766656,78.80974820942063,18.050853201748424,0.9673460912014388
31019000028,31,019,000028,448.06506180871827,69.3936239427456,20.44242029928432,6.088484059856864
31019000029,31,019,000029,409.7477401958808,60.581586250725024,19.85492204305311,2.9803418615523096
31021000001,31,021,000001,123.36225956232265,58.28927102676666,13.034977073812426,3.000554788258513
31021000002,31,021,000002,229.13262494970076,38.91016175592361,8.997090044830463,4.980930603811636
31021000003,31,021,000003,178,51,20,3
31021000004,31,021,000004,212.4211956521739,145.60326086956522,21.940217391304348,1.9945652173913044
31021000005,31,021,000005,153,39,9,1
31021000006,31,021,000006,277,110,13,6.000000000000001
31021000007,31,021,000007,243.3272913834391,85.22506245197447,10.051937488917183,2.028854160509546
31021000008,31,021,000008,234.54008366686014,68.86477579210194,24.950972466252352,4.990215235678817
31021000009,31,021,000009,199.96189997313968,65.98742699113609,10.997904498522683,6.998666499059889
31021000010,31,021,000010,268.2546448123637,140.12004111253202,24.02690103636054,3.0062134952902935
31021000011,31,021,000011,248,127,41,2
3102300001W,31,023,00001W,246.1798498775696,60.797307671382335,7.973421261138097,0.9966696272434473
3102300002P,31,023,00002P,460,85,28,6
3102300002W,31,023,00002W,278.7115801383712,84.00622492283362,14.824470189646942,4.941291430289508
3102300003W,31,023,00003W,337.9956755226949,80.52157616175008,20.87555299030852,2.9821533928975965
3102300005P,31,023,00005P,267,67,12,3
3102300006P,31,023,00006P,264,60,8,1
3102300008P,31,023,00008P,235.11289446136433,44.67489124403397,6.326555558906444,0.07988554956944854
