GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3114700008P,31,147,00008P,150.45158227848103,39.85176687763713,2.919224683544304,163.0034546413502,32.144699367088606,149.4579377637131,33.14309071729958,160.28834388185655,159.36115506329114,143.7001845991561,32.15893987341772
3114700009P,31,147,00009P,126.00000000000001,55,6,133,55,117,57,143,144,115,57
3114700010P,31,147,00010P,101,53,5,114,46,115,37,132,133,105,43
3114700011P,31,147,00011P,110,45,9,128,35,119.99999999999999,39,145,146,114.99999999999999,42
3114700012P,31,147,00012P,335.65,128.17083333333335,12.012500000000001,345.70416666666665,132.13750000000002,318.6458333333333,133.14166666666668,375.69166666666666,382.6875,298.62083333333334,143.13750000000002
3114700014P,31,147,00014P,260,115,4,266,113,239,118,306,301,239,112
3114700015P,31,147,00015P,268,81,12,273,86,267,80,301,304,247,88
3114700018P,31,147,00018P,136.898417721519,100.97739978902953,8.068275316455697,151.29237869198312,95.71780063291139,129.8962289029536,103.71524261603376,186.0199894514768,192.95134493670886,130.67898206751056,98.70356012658227
3114900003P,31,149,00003P,565.284081632653,78.48408163265306,16.888979591836733,569.2579591836735,93.38612244897959,534.4865306122449,67.55591836734693,548.3951020408164,549.3885714285715,508.65632653061226,76.49714285714286
3115100001P,31,151,00001P,170,79,20,190,84,195,62,236,232,180,71
3115100002P,31,151,00002P,205,104,8,223,93,211,73,254,258,207,78
3115100003P,31,151,00003P,238,167,23,261,166,234,159,326,340,234,156
3115100005P,31,151,00005P,201.1487826042285,138.2992669251779,18.02718419308659,213.13726998619055,145.33325165947844,194.17168479241008,138.30441302678258,264.29420669748873,261.29368974566705,192.1428008184717,134.32393761497846
3115100006P,31,151,00006P,89,50,2,87,55,78,49,110,113,77,51
3115100007P,31,151,00007P,115,79,16,127,85,116,72,145,147,107,81
3115100010P,31,151,00010P,234,162,24,251,167,221,161,329,331,226,162
3115100011P,31,151,00011P,199,120,20,220,119,199,121,274,273,190,122
3115100012P,31,151,00012P,204,123,23,221,130,212,116,289,289,200,128
3115100013P,31,151,00013P,165.48763216206544,186.2979848015238,21.91888977583507,162.52166823639615,204.22075818394364,169.45888260789974,192.2671389145919,283.9904971990915,280.0065350805264,151.54551881056148,201.21631982112706
3115100014P,31,151,00014P,199.3635852337061,227.4027482732983,24.053926031078344,202.3410617774133,247.44599015657792,205.3694325996902,229.42844805862552,304.7152961034198,302.69977517380653,191.31168037096685,235.45974256389448
3115100015P,31,151,00015P,235,296,29,248,319,248,280,387,384,232,297
31153000001,31,153,000001,366.201975308642,395.3427160493827,26.226666666666667,378.8296296296296,406.02765432098766,364.25925925925924,409.9130864197531,542.9891358024691,540.0750617283951,344.8320987654321,424.48345679012345
31153000002,31,153,000002,489,293,26,496,311,500,294,620,618,460,316
31153000003,31,153,000003,609.3091960352668,525.3680309375906,64.9570456844965,628.0967580195241,578.8891835523287,630.1780963007805,551.1905254489773,849.3631445940373,849.916393820657,596.5478389212209,569.141022570363
31153000004,31,153,000004,589.2489699394686,443.8480157997332,42.57819944598338,595.4226377346876,478.2282384323382,603.8142505386272,452.0208074279265,777.0154991279368,774.0168133784754,559.4635939263363,480.65551041346055
31153000005,31,153,000005,470.7074273224593,347.9562091090048,33.82907588559769,470.7074273224593,375.9860148427858,462.0085220947342,371.1532897162718,642.7524418263562,644.6855318769617,441.71107656337557,382.7518300199053
31153000006,31,153,000006,465.50599878078833,380.47299359697706,37.3909000116733,468.05893396801514,415.3010923185342,468.0392017622364,393.24894507927036,655.7389719711022,649.7905798605257,428.98862825717583,422.95707899367477
31153000007,31,153,000007,506.28541226215646,352.50246652572235,50.92811839323467,512.276955602537,390.4489076814658,498.2966878083157,390.4489076814658,680.0401691331924,672.0514446793517,473.3319238900634,406.4263565891473
31153000008,31,153,000008,627.6339400826564,339.53808219537984,32.36311172236984,610.0729118960415,385.387492695548,615.799577849465,356.30198178010437,759.3896814818538,759.2674045465409,589.1736330830059,373.60596191126143
31153000009,31,153,000009,471.2644333779286,365.3806402523849,52.33530087483635,493.02728121962423,395.0262809503613,483.39777056156237,392.33639789599306,678.0575081056109,671.0179504250394,461.07402516258026,402.756215149821
31153000010,31,153,000010,351.60303673088856,254.17881560060596,36.31143327163731,379.2916493958957,263.7543171597274,361.15662687461594,268.520156523894,504.47630394164383,499.69829156892496,342.0518811888717,282.8408033326432
31153000011,31,153,000011,915.8856747951578,548.5445070909958,68.2694896840061,905.1892113243684,632.1822337067175,904.8093845992153,594.0635057036068,1165.3408570672782,1161.082868185956,877.7470956754219,601.6204519135567
31153000012,31,153,000012,838.1977233311269,452.39311280050964,46.71067843766249,816.2543711446184,517.0738919339343,833.1923022870776,471.834738037408,1048.8783009329193,1047.812003843018,792.9176057472515,494.92105611101516
31153000013,31,153,000013,914.3983019010831,576.5357479360752,61.91848670756646,901.7722279027494,649.0699382716049,923.7203760508975,598.2325384382337,1158.5918548814664,1152.813846474286,855.6067617208209,640.1225804741347
31153000016,31,153,000016,620.6817372289481,553.2094879987387,51.12295058488607,644.7966771415902,577.8236331770968,629.4457890276989,565.0980853951847,868.1197861072355,858.2873090849254,601.8759708115206,577.2362854244889
31153000017,31,153,000017,590,506,35,609,519,588,519,835,834,567,534
31153000018,31,153,000018,385.10454066550045,422.72400736290155,36.62948073167999,402.9242880484799,438.56378281443887,363.3248494196367,460.34347406030264,581.1217618782745,579.1417899468323,365.30482135107883,454.40355826597613
31153000019,31,153,000019,1275.125677805386,784.8557391156351,62.953554731738016,1287.3812362903402,834.6601617584085,1275.3387262407475,792.79947058111145,1608.1018324678932,1602.7663064575588,1183.11058992113,854.2525199730784
31153000020,31,153,000020,716.3630943384634,653.4392331438404,48.54641615256147,738.7142590177878,681.0431913681164,722.4936313322788,674.1311464886827,1033.2484770923377,1017.5959356566241,674.2550376502892,699.258120145385
31153000021,31,153,000021,1167,635,61,1163,697,1177,643,1442,1433,1113,685
31153000022,31,153,000022,539,479,63,572,512,555,501,807,802,533,522
31153000023,31,153,000023,1110.7449306296692,568.173603699751,64.005691924582,1138.3166133048737,603.6229099964426,1104.836712913554,586.8829598007826,1363.8135894699394,1358.8900747065102,1036.8922091782283,622.3322660974742
31153000024,31,153,000024,558.269560050871,284.16081707580366,37.01991068557569,548.2661905502349,331.18562885321336,552.2658842319953,302.1746013965868,664.3424637919019,663.3412385189433,530.2585325942443,320.17613298778497
31153000025,31,153,000025,490.4919871794872,365.2636217948718,47.024839743589745,485.4775641025641,420.2996794871795,493.4823717948718,397.2764423076923,672.5929487179487,670.5929487179487,459.46153846153845,416.2900641025641
31153000026,31,153,000026,566.08200622296,395.71629953367574,56.89679530324772,565.0953359838827,449.842777452512,580.1968410354622,411.9399700620615,757.7087501836028,752.9728349060497,536.6759730260579,447.8345953417985
31153000031,31,153,000031,1271.1914599937015,849.9822292790876,75.13344307194029,1316.2271087810807,877.0902859774371,1292.2442075219458,829.0296909620655,1648.7434994618084,1648.7055824629674,1187.1863050172883,905.0188786622865
31153000032,31,153,000032,703.0672543943874,558.3556239171427,58.6908627530894,714.5240250835808,601.0356765616949,683.4137162373205,594.9216329421773,948.3511060606195,943.2682131374676,644.9226634085657,618.9165695969701
31153000033,31,153,000033,529.5075792490463,498.6034100811371,44.11713657752561,551.6510437443117,512.170896187138,537.0521417091071,509.8194496620902,742.1178879185144,748.6034391278248,510.4901783466625,527.4616293255359
31153000034,31,153,000034,467.42185606174877,440.89999375815626,57.57346108121087,509.8441830608293,453.0211592419558,480.29979129926926,466.65586423319724,718.1711700411417,704.5353584009207,450.7552150962126,477.2617072750876
31153000035,31,153,000035,602.7166188317232,474.76329928755956,46.814749601955214,634.153563935944,490.6020591128212,608.5461114034898,486.4228371036105,830.4374714023203,819.4607278097488,580.4120786144167,497.8610063832988
31153000036,31,153,000036,879.1040642301973,403.7950587594641,34.71493619022697,870.5944783606642,448.04939568810113,847.700979639695,415.0882088556838,1045.6733187553011,1037.2876125678458,788.0418771265461,465.09217783205486
31153000037,31,153,000037,1249.0366476335626,707.5277861926728,70.19603538440562,1263.866352415712,770.6827555039424,1240.2237952271196,736.0092470959086,1573.7209548779913,1571.7160043113297,1160.8710849323356,785.6247190972501
31153000038,31,153,000038,721.6,498,52.24444444444445,717,552.8444444444444,711.3777777777777,523.6444444444445,933.1555555555556,930.2444444444444,669.3333333333334,533.0888888888888
