GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055004-21,31,055,004-21,469.92081092351145,821.7602938180752,36.304213221813384,527.1827324362188,573.2111395635858,95.68729653817098
31055005-01,31,055,005-01,576.1637037458967,761.0859756371468,23.33824898539624,657.2545603658273,405.52663384443883,99.93922776135119
31055005-02,31,055,005-02,522.6617064775919,828.6726501269153,27.499481280634992,683.4790848093168,381.0898793028375,81.52096544538861
31055005-03,31,055,005-03,679,774,27,792,423,84
31055005-05,31,055,005-05,447.01330060678293,570.6342355091012,18.79038210515238,478.6602599417764,375.8076421030476,68.2387560660797
31055005-06,31,055,005-06,432,526,17,470,346,54
31055005-07,31,055,005-07,829.8479707842328,909.6480385440541,48.92153187247418,925.0573767961806,574.5102148277007,115.75598820046045
31055005-09,31,055,005-09,699.73996594791,598.2400098453041,26.98129794415118,810.8715868531539,284.87546763603115,61.115221333729416
31055005-10,31,055,005-10,610.6634453607434,612.8040881075351,21.154684305577483,687.184788761023,347.18849647150364,80.52707244863439
31055005-11,31,055,005-11,703,721,37,792,432,104
31055005-12,31,055,005-12,698.3846495401301,647.7165109849605,27.35786717611411,736.6931014027973,410.6681385551696,84.04005148058162
31055005-13,31,055,005-13,1020.3977875083718,693.8262303998014,32.384754784405466,1138.9507771026556,329.64258247722574,93.22000131984984
31055005-14,31,055,005-14,850.34962297976,713.5081425423891,29.330977241936147,959.2093796614345,393.1502606982059,89.32337525488211
31055005-15,31,055,005-15,726.7170191664635,638.8267672401365,30.183436693200754,861.2586533327526,340.0117976899913,70.06932392407812
31055005-16,31,055,005-16,692,592,26,786,320,76
31055005-17,31,055,005-17,832,625,24,957,313,64
31055005-18,31,055,005-18,743,670,29,824,389,99
31055005-19,31,055,005-19,599.9234693877551,478.54591836734693,18.903061224489797,660.6122448979592,262.6530612244898,66.65816326530611
31055005-23,31,055,005-23,561.5723753801343,714.2237359987174,33.36674758963936,651.7725783405807,346.21958965069484,65.37468734249835
31055005-24,31,055,005-24,599.3392231285785,642.9996963366207,36.714488834035436,649.9456807106274,396.9133928003831,103.19748212809961
31055005-25,31,055,005-25,809.3365546392566,660.1959118924649,26.845315694422517,899.815211238977,379.81150352849636,91.47292755136561
31055005-26,31,055,005-26,371.68831168831167,386.59090909090907,11.396103896103895,433.05194805194805,213.89610389610388,40.324675324675326
31055005-27,31,055,005-27,540.1769134253451,410.0138017565872,12.086574654956085,603.3989962358846,212.90966122961103,49.27603513174404
