GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
340210055E7,34,021,0055E7,325.04459440228527,29.00804834516382,4.001067637623772,6.000082125971059,0,1.0000821259710593,1.6425194211881327e-4,1,8.212597105940664e-5
34021010001,34,021,010001,294.99210416957186,173.99534279832375,10.999705579204376,1.99994646894625,0.999973234473125,0,0.999973234473125,0,0
34021010002,34,021,010002,295,122,12,8,1,0,0,0,0
34021010003,34,021,010003,423,86,10,5,1,0,0,1,0
34021010004,34,021,010004,581.8182041878431,213.53401546093633,20.671381410353906,10.983165535502298,0.09831655355022986,1,1,3.0983165535502297,0
34021010005,34,021,010005,518,45,5,7,0,0,0,0,0
34021010006,34,021,010006,425,129,13,10,1,1,0,1,2
34021010007,34,021,010007,273,143,13,6,0,0,0,0,0
34021010008,34,021,010008,301.9672401940211,219.97613524067765,10.998806762033881,5.999349142927572,0,0,0,0.9998915238212619,0
34021010009,34,021,010009,470,83,2,5,2,0,0,1,0
34021010010,34,021,010010,520,60,4,0,0,0,0,0,0
34021010011,34,021,010011,511.59144737852404,282.70239358650156,21.54972212272113,4.743389580244627,1,1.0881753659503328,2.9999999999999996,2.9999999999999996,0
34021010012,34,021,010012,381.558874210224,132.99827685238367,10.107409534750143,15.06318207926479,5.006318207926479,0,0,0.006318207926479035,0
34021010013,34,021,010013,313,35,2,11,0,1,0,0,0
34021010014,34,021,010014,226.62287097753278,157.0456737475885,13.915439445988854,6.957719722994427,2.981879881283326,0,0,0,0
34021010015,34,021,010015,530.5159090909091,103.97045454545454,13.329545454545455,1.7772727272727273,0,0,0.8886363636363637,0,0
34021010016,34,021,010016,220.393326957447,171.41703207801433,8.47666642144027,4.709259123022372,0,0,0,0,0
34021010017,34,021,010017,362.6229216019329,141.46770768668,15.221209054895947,8.95365238523291,0.8953652385232911,0,0,0.8953652385232911,0
34021010018,34,021,010018,428,212,19,9,1,2,0,0,0
34021010019,34,021,010019,528.9920702809594,377.99433377354,24.999625249572752,6.99989506988037,0.9999850099829101,0,0,0.9999850099829101,0
34021010020,34,021,010020,188,153,7,2,1,0,0,0,0
34021010021,34,021,010021,477.12068384101184,300.5839322756582,25.058431610136672,10.146829434178127,6.969827137637889,0,0.023741690408357077,0,0
34021010022,34,021,010022,286.31293509159553,114.88990389025807,13.677369510745008,6.38277243834767,0,0.9118246340496672,0,0,0
34021010023,34,021,010023,305.1377296219241,120.6017017179292,12.05769742500691,7.032969957146806,0,0,2,2.0082424892867015,0
34021010024,34,021,010024,751,282,27,8,1,1,1,1,0
