GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34017050201,34,017,050201,422.27809943587346,59.756334825831146,1.991877827527705,5.975633482583115,0,0.9959389137638525,0,0
34017050202,34,017,050202,324.72190056412654,34.243665174168854,3.008122172472295,6.024366517416885,2,0.004061086236147525,1,2
34017050203,34,017,050203,374,65,0,7,2,0,0,0
34017050301,34,017,050301,345,77,2,1,0,0,0,0
34017050302,34,017,050302,422,44,1,1,1,0,1,1
34017050303,34,017,050303,407,64,0,9,2,1,1,1
34017050304,34,017,050304,310,53,0,6,1,1,0,0
34017050305,34,017,050305,246.78028169014084,90.121126760563385,2.5267605633802814,8.422535211267606,0,0,3.369014084507042,0
34017050401,34,017,050401,328,47,3,1,2,0,0,1
34017050402,34,017,050402,415,73,2,5,1,0,1,0
34017050403,34,017,050403,399,70,0,5,4,0,0,1
34017050501,34,017,050501,413,92,3,2,2,1,0,1
34017050502,34,017,050502,396,69,0,11,1,3,1,0
34017050503,34,017,050503,390,55,0,3,1,0,0,1
34017050601,34,017,050601,373,62,0,4,4,3,1,0
34017050602,34,017,050602,416,63,0,3,3,0,0,2
34017050603,34,017,050603,301.8023926379429,69.08729470025199,1.8180867026382102,2.7271300539573153,0.9090433513191051,2.7271300539573153,0,0.9090433513191051
34017050701,34,017,050701,333,85,3,3,2,1,0,0
34017050702,34,017,050702,308,85,2,3,2,0,0,3
34017050703,34,017,050703,373,69,0,3,1,1,0,0
34017050704,34,017,050704,362,102,1,3,1,0,0,0
34017050801,34,017,050801,278,83,1,2,3,1,0,2
34017050802,34,017,050802,414,42,0,0,0,0,0,0
34017050803,34,017,050803,305,63,1,1,1,3,0,0
34017050901,34,017,050901,443,75,0,2.9999999999999996,2.9999999999999996,0,0,1
34017050902,34,017,050902,275,118,2,2,1,0,0,1
34017050903,34,017,050903,329,72,2,2,2,0,1,1
34017050904,34,017,050904,194,32,0,1,2,0,0,0
34017050905,34,017,050905,249,31,1,2.9999999999999996,1,1,0,2
34017050906,34,017,050906,227,58,2,0,2,0,0,1
34017051001,34,017,051001,336,62,1,8,1,1,0,2
34017051002,34,017,051002,319,68,2,2,1,0,1,1
34017055101,34,017,055101,468.7559020536516,178.40998451946095,6.861475475942714,9.790911125004818,1.8252102969494273,0,0.6309859154929578,0
34017055102,34,017,055102,529,152,2,11,3,2,0,0
34017055103,34,017,055103,236,65,0,5,0,1,0,0
34017055104,34,017,055104,285,76,5.000000000000001,5.000000000000001,2,0,0,0
34017055201,34,017,055201,306.485895544875,101.15118442839633,1.2376109755849931,3.768684882572204,1.583368994047542,0.05229508706033054,0.05229508706033054,0.10459017412066109
34017055202,34,017,055202,301,65,0,4,1,0,0,1
34017055203,34,017,055203,360,104,2,2,0,0,1,0
34017055204,34,017,055204,213,70,2,8,2,5,0,4
34017055301,34,017,055301,621,142,7,11,4,0,0,1
34017055302,34,017,055302,517.9807944846559,116.4746576263486,3.787793743946296,13.257278103812036,10.416432795852314,0.946948435986574,0.946948435986574,1.893896871973148
34017060101,34,017,060101,268,40,3,6,0,0,0,3
34017060102,34,017,060102,638.9401125279287,234.38827592088262,2.3602454985837684,6.153908221971654,2.4371996095695954,7.564769530955411e-4,7.564769530955411e-4,3.7159521354489633
34017060103,34,017,060103,301,61,5,5,5,0,0,0
34017060104,34,017,060104,240,40,1,6,2,0,0,0
34017060105,34,017,060105,246,81,3,2,0,0,0,2
34017060106,34,017,060106,224.73032047870902,81.04966010529698,0.6558375874902532,3.8827968118949627,2.610293171699374,0,0,1.2986179967188671
34017060107,34,017,060107,374.2041639068061,120.17068852849839,1.6577970930951447,2.7789107691048622,3.2291701737577956,0.6708542713567839,0,0.9869428217383608
34017060108,34,017,060108,175,33,1,3,1,1,0,1
34017060109,34,017,060109,275,62,0,3,6,1,0,2
34017060201,34,017,060201,349,93,1,9,1,0,0,1
34017060202,34,017,060202,492,136,3,6,2,4,0,2
34017060203,34,017,060203,281,88,0,2,1,0,0,2
34017060204,34,017,060204,250,67,0,0,2,0,0,1
34017060205,34,017,060205,164,71,0,2,1,0,0,0
34017060206,34,017,060206,236,63,1,3,3,0,0,0
34017060207,34,017,060207,197.99999999999997,30.999999999999996,0,3,1,1,0,0
34017060208,34,017,060208,224,62.00000000000001,0,1,3,1,0,0
34017060209,34,017,060209,0,0,0,0,0,0,0,0
34017060301,34,017,060301,208.7962519067335,43.65739812595337,2.8472216169100024,7.5925909784266725,2.8472216169100024,0,2.8472216169100024,0.9490738723033341
34017060302,34,017,060302,223.569518146096,52.855449376950986,2.7587184336336965,10.749521894235203,1.6694202169343455,0.0128182216947521,0,0
34017060303,34,017,060303,267.46687812787286,62.85568653097586,1.2906624353931089,6.826384165579092,1.137730694263182,0,0.8318672120033282,0
34017060304,34,017,060304,236,49,1,7,3,2,0,0
34017060305,34,017,060305,223,42,0,4,1,0,0,1
34017060306,34,017,060306,269,83,3,11,3,4,0,0
34017060307,34,017,060307,261,40,1,1,0,0,1,0
34017060308,34,017,060308,373,94,0,4,1,1,2,1
34017060309,34,017,060309,229,42,0,1,2,0,1,0
34017060310,34,017,060310,351.94874500613435,122.24917439240048,4.513871274264014,5.766063566813694,1.909152975353085,4.316327506948464,0.1527783830899978,0.050926127696665935
34017060311,34,017,060311,273.68208477739705,74.70222282265325,1.0779408979463105,6.28652392989161,0.964477435516254,0.15926892950391644,0.32740171750058816,0.6370757180156658
34019005001,34,019,005001,185.16988066657217,356.3117400705252,8.416812757571462,4.676007087539701,3.7408056700317607,4.676007087539701,2.8056042525238207,0.9352014175079402
34019005002,34,019,005002,221,393,5,8,2,8,1,0
34019005003,34,019,005003,205.85629565388993,446.81457927467744,1.538965349058316,9.299483247022188,2.2395377026231396,5.2993860717022665,0.17960746933674482,1.05986222732343
34019005004,34,019,005004,177,414.99999999999994,1,4,3,4,1,1
34019010001,34,019,010001,187.75576276626725,273.7820861876774,6.473640108835776,0.9257226680726831,4.624271368114028,1.8501238663303354,3.7756280429449094e-4,0
34019010002,34,019,010002,183.8830047968008,306.1999212492872,8.618913709181372,0.11003275481469248,0.03670854899357889,8.655064905178687,2.8970720337253333,0.03642987249544627
34019010003,34,019,010003,172.7059044994386,323.48716447173,15.793134151070568,13.827632261088612,1.9724137931034482,0.034559515607455606,0.9931187996732153,0
34019010004,34,019,010004,175.7920689880681,325.631912180415,2.6018352185977096,3.962504753945084,0.027586206896551724,5.260973546703767,1.1055244048952848,0.3953659210625563
34019015001,34,019,015001,155.3528353402979,231.25198420893022,2.3975175379016194,5.956007673070468,1.9665698785747507,4.329314048481913,2.0986279756855546,2.031700381682766
34019020001,34,019,020001,257.2403646129703,304.6423090528193,7.292588873903284,7.292588873903284,2.146478917185093,5.048293362831728,1.1466019040073936,1.9997540263553988
34019025001,34,019,025001,293.16236240948984,328.49796222076606,1.0254459789978039,7.116643507364126,3.9828800224608822,7.058775610245502,2.0182864969852012,0.016878696124713526
34019025002,34,019,025002,306.4989749869166,336.3221221685678,1.9763087492068174,9.896977122873134,1.020176860674498,5.964262692441575,1.9852288160110025,0.9831213038752865
34019030001,34,019,030001,167.10957402887286,303.0631254277196,6.357907331832332e-8,10.385340544651303,2.1193024439441108e-8,5.664731202320161,1.0596512219720552e-7,2.1193024439441108e-8
34019030002,34,019,030002,218.12969793892137,380.2455144510642,3.0054723683339786,6.0032068304429425,3.000313764183969,3.000313764183969,1.0023973010168827,2.000495765242091
34019030003,34,019,030003,193.35466147008304,266.65586622660896,2.0258662048222025,5.051281689095338,1.0290899789141978,9.0367737954516425,1.0274516642134635,0.007662480220109198
34019030004,34,019,030004,267,315,3,17,6,0,3,1
34019030005,34,019,030005,230.52771326025433,400.61408238329824,3.1120884005862592,4.161960398721341,1.0373628001954198,2.062216402451178,5.011685229821838,0.9998352063764352
34019030006,34,019,030006,179.55617437408088,363.0864714386615,10.155263857001662,4.25877309500277,3.0258773095002773,5.1035092380011085,2,1.051754619000554
34019030007,34,019,030007,186.24410067196345,346.6538194297291,3.8391231703501476,0.9592386192156614,3.836954476862646,2.8777158576469843,0.0010843467437508295,0.002168693487501659
34019030008,34,019,030008,153.21747293868108,299.3994832200145,1.0068636526975814,3.0056046131510286,1.0014485245348252,3.0014485245348252,1.0028895651395,3.0012665234767035
34019030009,34,019,030009,160.5965072182461,278.772260637364,0,6.524965803135347,2.7850081493166736,2.8195272981911033,3.7120344972481836,0
34019030010,34,019,030010,208.75551039751838,315.7961292360946,12.018955458002253,13.027079225717504,3.0162475354305025,3.0243713031457538,1.0135396128587522,2.0054158451435007
34019030011,34,019,030011,222.3447122189041,325.1041968885293,3.937006786950418,5.097749079466129,0.9856675336878086,6.985171391860257,0.9837797510875366,0
34019030012,34,019,030012,220.80723734185597,275.4969410961326,0,4.469426083880452,1.2058324292940756,7.166773925193469,1.2766131559532456,0
34019035001,34,019,035001,270,347,6,6,2,2,2,0
34019035002,34,019,035002,173.03832031942446,310.05589844760084,9.00052734384529,1.0001757812817635,0,6,1.0001757812817635,3
34019035003,34,019,035003,270,273,2,1,2,2,1,0
34019035004,34,019,035004,169.24984579647526,325.9579090297874,6.331408582330401,10.918063877062485,3.052874879393502,5.2635336304706035,0.3008620755759171,4.906744583575219e-5
34019035005,34,019,035005,272.14169209164567,240.09168311812365,5.0030308468801215,3.002273135160091,1.0015154234400605,5.00151542344006,7.577117200302933e-4,2
34019040001,34,019,040001,135,239,4,5,3,2,0,2
34019040002,34,019,040002,171.11573099853857,268.1449212113004,5.0028615361290045,1.001204187779059,2.0009426443654337,2.0019552149872304,0.0010824968781608987,2.0006629393399784
34019040003,34,019,040003,174,235,5,8,0,3,0,0
34019040004,34,019,040004,168.51212975434098,265.78009178712045,2.005049106091446,3.009474561628396,2.0086949984352755,3.0181695600636718,0.011765245716183098,0.00426954289832583
34019040005,34,019,040005,213.98503578113818,237.98335755098543,2.999790221230909,2.999790221230909,3.999720294974545,8.999370663692726,5.999580442461818,0
34019045001,34,019,045001,200.3817524358272,181.43350214259354,4.746743077599936,2.853601614240316,0.9495169721163617,5.698785398661913,2.8502344823128287,0
34019045002,34,019,045002,249.66033330960644,207.6120612984725,7.500538037613067,9.300262654832032,6.04998736855302,3.999949860220161,3.999949860220161,0.2002503128911139
34019045003,34,019,045003,235.76094235733044,287.4890816087278,7.958175269445753,7.958175269445753,3.9790876347228763,3.9790876347228763,0.9947719086807191,0
34019050001,34,019,050001,168.94540511491164,380.6240597588892,2.9813895020278527,7.950372005407607,1.9875930013519016,2.9813895020278527,0,0.9937965006759508
34019050002,34,019,050002,141.445285296519,299.3316089718859,4.65820872260539,0.09031150341139987,0.9431582148477631,3.725152927298765,3.682926829268293,0
34019050003,34,019,050003,208.34269857227898,385.56959119593967,7.215002952153044,5.1158019318531895,1.185602893126347,1.2338762140492188,3.0102393789811326,0.9980063766895564
34019055001,34,019,055001,400.66372980910427,239.56240822320117,5.170337738619677,14.340675477239355,2.2129221732745963,3.2980910425844345,1.170337738619677,2
34019060001,34,019,060001,260.99119366767843,422.9857276683064,5.999797555578814,7.999730074105086,3.999865037052543,7.999730074105086,2.999898777789407,1.9999325185262715
34019065001,34,019,065001,209.4578170352882,340.23206436024986,10.027900804503123,6.034876005628904,4,8.034876005628904,1,0
34019070001,34,019,070001,202.4528607708617,273.44282493726774,7.011354485570968,6.134935174874597,0,5.258515864178226,0,0
34019070002,34,019,070002,305.72271284091465,330.63466123428157,7.942871375656397,10.799673198307353,5.96076502390917,9.68263167168553,4.967304186590975,1.98692167463639
34019070003,34,019,070003,267,269,9,5,4,2,2,0
34019075001,34,019,075001,163.90079754475977,262.07460797809125,4.263594051852618,5.1297444841668955,1.6760279177653115,8.331756866150236,3.345115784768558,0.018524540120208943
34019075002,34,019,075002,148.99969113903148,382.99648853745697,3.0000765552815256,2.0000391033082905,2.6850478634643213e-5,5.999938306733974,2.6850478634643213e-5,1.7900319089762142e-5
34019075003,34,019,075003,151.35371572197494,313.36329122539877,6.8706330679602905,8.286322815168598,2.977828901241609,3.504454519439492,0.09571792168954076,0.0076872773808581134
34019075004,34,019,075004,190.51362631414855,305.2207835190024,4.987267704558863,3.98981416364709,4.987267704558863,5.984721245470635,0,0
34019075005,34,019,075005,143.90681610444457,288.21450416608576,10.890343859358772,5.627386455677865,0.9986359179458035,6.334479132026102,0.8893072023467166,0
34019080001,34,019,080001,188.6945391148027,360.41655354732154,5.990302829041355,4.991919024201129,0,2.9951514145206777,0,0
34019080002,34,019,080002,154.6103297922031,307.2939284510052,5.020079866022854,5.999705595324985,2.003966905758735,2.0161620277099543,1.0162110951557903,0.9999509325541642
34019080003,34,019,080003,127.33627019089575,282.4375917767988,3.829662261380323,7.659324522760646,4.787077826725404,6.701908957415565,3.829662261380323,0
34019080004,34,019,080004,116,256,3,9,2,2,2,1
34019085001,34,019,085001,455.56793026408013,185.31396347285724,4.149695516181418,10.08939030560506,0.0813852813852814,3.0919253167897427,0.9763849180063934,1.0170775586990342
34019085002,34,019,085002,452.3707526314334,128.28300267890017,3.979707872012014,1.991016342076978,1.991016342076978,3.974283310347482,0.004649624283884167,0.9943457649675179
34019085003,34,019,085003,407.0984630671588,151.39037937057748,6.940804328246699,5.498474180876475,5.090779883380378,0.34196368251835296,6.013690430924649,0.9921439540034969
34019085004,34,019,085004,390.74006990785534,102.6026951235984,0.0034081114740046924,7.459314258340736,1.8666543385891152,4.660549933126351,0.93503122503156,4.86873067714956e-4
34019090001,34,019,090001,281.47228192892914,448.3859092454571,8.887911535834668,12.838039516506562,2.9626371786115557,4.937783555162773,0.9883146642130402,1.6477243054033305e-4
34019095001,34,019,095001,193.40870572957846,314.0588983513631,5.525963020845099,5.525963020845099,2.7629815104225495,0.9209938368075165,2.7629815104225495,0
34019095002,34,019,095002,182.48565121412804,379.19573215599706,1.3134657836644592,2.10448859455482,5,2.10448859455482,1.05224429727741,2
34019095003,34,019,095003,208.48297381103527,319.5707900649223,3.9917810123655686,4.988742174613526,0.00787272674747678,4.996614901361003,0.00787272674747678,0.00393636337373839
34019095004,34,019,095004,190.3097949886105,388.5740318906606,3.002277904328018,5.011389521640091,3.0045558086560367,8.006833712984054,1.0045558086560364,1
34019095005,34,019,095005,150.94324857744385,273.65815425335563,1.524284431257392,5.0631577361821405,2.371307786177392,3.143312346580524,1.995167850750262,6.748147372858824e-5
34019095006,34,019,095006,89.305376943633,252.56078539351947,4.7007378325324565,1.741442939377748,0.11309208758435749,1.8570194990117947,0.7982224496260553,0.14997552141867052
34019100001,34,019,100001,240.59482190405927,312.11859615802734,14.322633408820476,8.16378059176595,3.0428862811809196,4.187076815813907,3.0379568551344414,2.004911525727388
34019105001,34,019,105001,188,315,8,4,5,9,4,2
34019105002,34,019,105002,193.10168836613647,308.7738548656126,1.867369248471343,2.799558467869244,6.528199715770186,0.9333293523402472,6.940037749478294e-4,5.287540365811415e-4
34019105003,34,019,105003,251,341,6,1,2,3,1,0
34019105004,34,019,105004,202.03974198030977,220.06126014406536,9.48538099008253,5.691288761785325,0.9486045342165398,5.013977983909074e-5,5.013977983909074e-5,3.7941172981871247
34019105005,34,019,105005,242.49452055491233,355.02624007896685,2.403336699237899,7.142309463125172,1.4083098121643522,3.1622019148309852,1.231188558554007,2.98508066122064
34019105006,34,019,105006,163.16186387662282,218.56100835566218,2.2766771703714808,5.312246730866789,0,0.758892390123827,0.758892390123827,0.758892390123827
34019105007,34,019,105007,203.9681938217207,306.9521348199424,4.99922043680688,5.999064524168255,0.999844087361376,6.9989086115296315,6.9989086115296315,0
34019105008,34,019,105008,151.20612385336906,296.6067508902703,1.0121617306357666,2.8816320739696786,0.9628902840192508,2.8816320739696786,0.9558515059311771,0.02111633426422105
34019105009,34,019,105009,231,317,6,6,1,1,3,1
34019105010,34,019,105010,214,192.99999999999997,4.999999999999999,0,0.9999999999999999,0,0,0
34019105011,34,019,105011,232.83650681938803,351.3634036385244,2.118064391055881,4.003164966309241,4.04768034434295,8.102734953577915,5.030923983216523,2.0071806289940364
34019105012,34,019,105012,194.69938613427917,217.43396243184114,5.168139906499546,6.099614488719588,2.9188878195275265,4.321325445688429,0.3168618381613285,1.9416246175269432
34019105013,34,019,105013,202.00000000000003,314,6,6,3,3,2,2
34019105014,34,019,105014,243,355,3.9999999999999996,10,3,3.9999999999999996,0.9999999999999999,0.9999999999999999
34019105015,34,019,105015,251.26833000296324,281.2527978659727,4.014971964105098,9.003427410782704,1.0014179389942048,7.998375484618844,4.998345959327549,0.005632388921761301
34019105016,34,019,105016,205,243,0,6,1,9,0,0
34019105017,34,019,105017,283.25286467850196,404.84812373101954,4.150856928132859,2.8324998377043067,0.4524790295349223,0.43486513409961625,1.4952313704134714,0.23602813749340537
34019105018,34,019,105018,283.006969176068,351.2338874182574,3.8365234876757643,2.333237512146462,3.8573080390279535,7.155380899433427,3.1447084722576255,0.9936293004904052
