GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000026,35,001,000026,102.17823129251701,172.17188208616778,38.434013605442175,4.062131519274376,2.187301587301587,0,0,0,106.55283446712018,195.29478458049888,149.36145124716555,148.11156462585035,118.11428571428573,174.984126984127
35001000027,35,001,000027,156.63481920509238,360.1603167709449,72.83020256032958,8.97906606908173,2.993022023027243,0,2.993022023027243,0,179.58132138163458,399.0696030702991,265.3812860417489,301.2975503180758,201.53014955050105,365.14868680932364
35001000028,35,001,000028,127.9318455375018,255.8636910750036,56.52802477238452,6.942038129941958,3.9668789313954047,0.9917197328488512,0,0,131.8987244688972,302.47451851889963,211.2363030968053,220.16178069244498,151.73311912587423,272.7229265334341
35001000029,35,001,000029,205.47420147420146,353.3759213759214,72.46191646191646,6.948402948402949,1.9852579852579852,1.9852579852579852,0.9926289926289926,0,218.3783783783784,395.0663390663391,308.7076167076167,295.8034398034398,235.25307125307125,366.2800982800983
35001000030,35,001,000030,300.99297076511783,455.2855552828686,73.87599676899582,12.542657554984423,3.877044406404798,0.029483174347295582,1.3531399986558132,0.4529734780000841,311.07658499997217,514.5469082517873,478.37243201981073,339.1008866128267,381.2448421563441,430.2089259934351
35001000031,35,001,000031,79.51060030629819,364.60584605406126,58.34176700935206,13.233400645346812,2.243362303742878,5.275377450221205e-6,2.9972831840738,1.0399562074698698,108.64779291652552,360.0230718104909,155.8625494685697,276.7183210604703,111.38553964806938,326.04576121593993
35001000032,35,001,000032,49.34449748374906,128.99533527488674,23.75796992520663,2.696289767929574,0.6685579601216315,0.005514481860761959,0.9945652173913043,0.011028963721523918,58.461018896093655,139.8301246833519,78.0477210866084,114.88944433000331,54.14020732367648,138.05119738676294
35001000033,35,001,000033,24.21358723623263,85.17086978898611,12.360782295419455,0.6773031394750386,0.16932578486875965,0.16932578486875965,0.3386515697375193,0.3386515697375193,26.245496654657746,92.62120432321153,38.26762738033968,77.72053525476068,25.737519300051467,89.91199176531137
35001000034,35,001,000034,88,219,30,5,2,2,1,0,99,230,139,187,103,218
35001000035,35,001,000035,104.18874773139746,215.57894736842104,37.07259528130672,9.01633393829401,0,0,0.0018148820326678765,0,117.19419237749547,235.63520871143376,163.2940108892922,186.5317604355717,122.19600725952813,228.6206896551724
35001000036,35,001,000036,104.04522429733612,318.7514343144406,39.98744707642454,8.97664759162816,0.005100124364561802,0.003400082909707868,0.9985386489285871,0,107.03574011975732,349.72483288723015,162.08966908576303,292.6636263746381,108.06827959778298,341.6770222448816
35001000037,35,001,000037,219.6950210173875,446.5253450972116,66.9183327972238,3.0060501934340254,2.9939315989916344,1.9959543993277562,0.9993237101574771,0,219.69906054886826,488.48212930839605,353.50206338097587,346.69261585799023,240.65792825230332,445.55833763890047
35001000038,35,001,000038,50.17974293260798,120.2032932976564,21.896615097865304,2.052807665424872,0.45617948120552715,0.22808974060276357,0.45617948120552715,0.9123589624110543,53.144909560443914,135.48530591804155,83.02466557940593,103.78083197425742,56.110076188279834,128.8707034405614
