GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
56013000901,56,013,000901,260.19262493934986,15.829209121785542,11.871906841339156,0,249.31004366812226,17.807860262008735,9.893255701115963,10.88258127122756,0,254.25667151868026,16.81853469189714,3.9573022804463855,12.861232411450752,0,260.19262493934986,16.81853469189714,8.903930131004367,0,270.0858806404658,15.829209121785542,0,266.1285783600194,14.839883551673944,0,259.20329936923827,0
56013001001,56,013,001001,428.9222797927461,74.55440414507773,13.248704663212436,0.04145077720207254,400.2383419689119,61.47150259067357,31.559585492227978,17.373056994818654,2,422.5284974093264,63.575129533678755,6.2072538860103625,21.39378238341969,7.020725388601036,435.61139896373055,53.512953367875646,23.310880829015545,0,459.2538860103627,52.30569948186528,0,448.9637305699482,62.575129533678755,0.02072538860103627,454.6476683937824,2.0207253886010363
56013001201,56,013,001201,56.15631578947368,9.287368421052632,2.0342105263157895,1,52.07421052631579,10.294210526315789,5.054736842105263,0.06157894736842105,2,54.09473684210526,9.294210526315789,0.020526315789473684,4.041052631578947,1.006842105263158,54.09473684210526,12.314736842105264,1.0478947368421052,1,55.176842105263155,11.287368421052632,2,60.13578947368421,8.32157894736842,1,61.27263157894737,1.0136842105263157
56013001301,56,013,001301,136.04707094762995,433.27970195191034,12.173964902008878,1.0122261430978963,111.06843158819201,432.3219781784807,14.062161264034053,10.176763800647208,0.027251184834123223,110.02895426026,447.15110492210556,4.048904572391585,15.455903994809676,1.0122261430978963,101.95839630031095,428.245822421255,26.39963327504767,0.027251184834123223,126.0610654408216,426.5211331682346,0,103.18863192208183,442.4169884246256,0,233.49722483760453,10.095010246144838
56013001401,56,013,001401,315.2792334174629,59.1395368170161,15.42359635336705,0,293.57002085661225,57.18994070539987,21.656254098953845,14.909963638452382,0,300.5378491918721,50.530159114349445,11.005505714089065,23.389578036942478,2.4199743918053778,319.7824370628955,46.150884583756564,20.6819471310213,0,331.10569354836537,46.38656481172671,0,324.3351430199357,52.52786167427683,0,335.163347469743,3.073074438067879
56013001501,56,013,001501,167.49423815621,31.261203585147246,8.22663252240717,0,155.97695262483995,30.274007682458386,11.517285531370039,7.897567221510884,0,159.5966709346991,26.654289372599234,5.923175416133163,12.504481434058897,1.3162612035851473,170.1267605633803,24.350832266325224,10.859154929577464,0,176.04993597951344,24.350832266325224,0,172.4302176696543,27.641485275288094,0,178.02432778489117,1.645326504481434
56013001601,56,013,001601,155.2492840668598,65.6093176268299,7.42492858783156,0.0876777251184834,143.02500802689752,62.5471722893124,11.334564147786754,8.822228716696994,0.0876777251184834,148.26563528111384,62.55609677937512,3.4312860232764515,11.184396109123757,0.37612404120413573,146.82914367101506,58.69260760688694,17.60263215832583,0.11744768452308423,157.7204161655502,63.444169862879704,0,153.90790224035473,66.90114057649053,0,176.45002923531806,2.3877004482893565
56013001701,56,013,001701,384.8092538511396,112.4490408562268,11.244856266099381,1.411412176481198,359.8776917829256,100.65334054958214,24.243354791559792,15.906114439648395,1.1775782526409406,370.94559163271356,103.8624205511189,7.632619601467531,23.741124233025328,2.3258986698373176,380.0565560210672,98.31351978682302,18.40743653023869,0.34215072318360024,402.4603070616796,92.50074805407453,0.41792620470673186,390.2239067900445,104.73168487398262,0.04394229696312583,416.08563023200963,4.1193704395996065
56013001801,56,013,001801,776.3292772131506,207.00754393044699,24.108336361864236,3.124010145846544,717.4461489788234,190.9047540751918,58.318861572377756,26.470585858702442,2.181018863936381,763.8268649066786,185.8890250493322,18.025523275581687,35.82191997808658,5.8072083233697835,783.3581003580663,160.81911057168136,43.27442988833573,1.3079499048826886,836.3595923143564,152.66831954776745,1.0153183259353202,813.0676047093775,172.57051238989288,0.7612631578947368,857.8681477860013,7.519392505308704
56013001901,56,013,001901,86.10095205352488,23.719459842752254,0.16709976754663708,0.9726141078838174,83.02142268221853,21.704085681878592,4.094786997864123,2.075097184532056,0,81.09477355720453,23.668185019161477,2.032673079344762,2.1474009558672846,0.9936067469907968,82.01022498599502,20.699031563281775,4.21602466171173,0.005412719891745603,86.25960362100389,22.593387473794497,0,89.98921435019348,16.920925768553158,0,84.04643933343776,2.039182866669846
56013002001,56,013,002001,237.10821856455044,38.55469712238271,8.723715149479341,0.9615384615384616,217.81340275445078,30.87403426268055,12.558224163027656,17.37173888702273,0,222.65020714365693,29.906673384839323,4.830981972903371,25.075691411935953,2.8846153846153846,225.5697570260889,36.637442615608556,10.629324823647968,0,237.1664427275781,37.593158660844246,0,245.79699921621318,29.895028552233793,0,252.48701153286305,0
