GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
56023000103,56,023,000103,304.6610337972167,49.79224652087475,7.314115308151093,3.0944333996023854,1.125248508946322,297.90954274353874,59.91948310139165,0.2813121272365805,275.9671968190855,57.66898608349901,14.909542743538767,9.283300198807156,0
56023000104,56,023,000104,272,55,7,1,3,270,62,1,260,59,9,3,2
56023000106,56,023,000106,134.7926772382875,11.03416142809868,3.99561953494081,1.0075315811007597,0.03538995281303718,133.77339889631557,12.040293429073476,0.023126775166704052,128.7171797025986,13.045725639985292,0.03450678946222891,2.0502697417267295,0
56023000107,56,023,000107,65,7,1,1,1,64,8,1,54,10,4,4,0
56023000108,56,023,000108,289.7970608817355,12.990902729181245,3.9972008397480754,2.9979006298110566,0.9993002099370188,294.7935619314206,13.990202939118264,0,269.8110566829951,13.990202939118264,7.994401679496151,14.989503149055283,0
56023000201,56,023,000201,895.1023684154577,102.38771954020864,19.106763351651654,10.039333866397978,13.056191237711397,934.3215142425321,97.28657531232813,4.01123824754228,873.956271197408,88.3259091787261,23.11800159919393,35.21352670330331,3
56023000202,56,023,000202,321.4114301000456,27.948820008699617,3.9926885726713737,2.9945164295035305,0,324.4059465295491,25.95247572236393,0,307.4370200956958,23.956131436028244,6.987205002174904,9.981721431678434,0
56023000203,56,023,000203,685,379,25,11,8,731,359,1,691,344,27,21,1
56023000204,56,023,000204,486,58,8,2,5,492,57,0,473,47,14,10,0
56023000205,56,023,000205,788,148,11,8,6,817,134,4,761,135,31,23,4
56023000206,56,023,000206,546,59,3,3,3,546,58,2,521,56,8,16,1
56023000207,56,023,000207,1080.4862014844969,68.66346045109175,18.900548075676973,6.966149704098492,9.943808762288604,1119.2725392279187,50.760948965307946,1.9887617524577208,1054.6067087068961,57.717959385245656,20.894793398631165,37.80475186501826,0
56023000208,56,023,000208,599,66,12,0,9,615,62,0,583,62,18,14,0
56023000209,56,023,000209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56023000210,56,023,000210,983,321,21,8,9,1036,289,4,968,294,34,26,0
56025000101,56,025,000101,364,208,25,7,4,336,235,6,321,192,36,29,2
56025000102,56,025,000102,312.2260052832404,234.41796301731728,14.051658350454947,6.0234810683886115,5,304.08981508658644,253.5024948635163,2.0328734957440564,287.0005870267097,212.34751981215146,28.126797769298502,22.159671265042558,3.009392427355445
56025000103,56,025,000103,448,344,27,4,8,459,357,5,441,311,41,18,1
56025000104,56,025,000104,563,369,31,13,6,590,365,3,592,304,38,19,3
56025000105,56,025,000105,274,274,21,7,3,292,268,4,307,227,24,4,1
56025000106,56,025,000106,869.9592286550543,346.78787121644774,43.84674233771178,10.961685584427945,8.968651841804682,863.9801274271845,389.6380966828479,7.972134970493052,835.0811381591471,301.9446120074243,69.7561809918142,37.867641109842,2.9895506139348944
56025000107,56,025,000107,324,160,21,7,4,314,187,2,303,150,30,16,1
56025000109,56,025,000109,895.452092937244,261.54580577440845,26.03495307914931,9.02957568235711,11.005377396792202,907.4090737629065,265.5726927583695,6.008066095188303,900.3445450014,209.47589961610987,48.09141574546743,25.08872704707133,3.002688698396101
56025000111,56,025,000111,478,180,16,6,2,502,169,1,499,133,22,17,1
56025000112,56,025,000112,253,115,20,3,1,263,120,0,238,110,20,12,0
56025000201,56,025,000201,609.2249618783894,273.89615040256723,26.232393539719972,11.076314031636418,3.057512914511082,601.9908349509659,298.2239214742103,3.0518926147652925,579.5804367469807,253.72087973365078,44.54950902090654,19.37157236930267,0.015589309658636667
56025000202,56,025,000202,456,225,23,8,5,440,253,9,403,220,37,30,4
56025000203,56,025,000203,426,167,31,6,1,416,189,4,399,152,46,15,2
56025000204,56,025,000204,383,184,21,1,3,382,195,2,360,165,34,18,1
