GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
5600701-2-3,56,007,01-2-3,3.9239234263731166,1.0180990511670789,0.29694555659039806,0,0,0.04242079379862829,0.10605198449657073,3.1603491379978075,1.781673339542388,0.16968317519451315,0.21210396899314146,0
5600701-2-4,56,007,01-2-4,19.62904505216672,4.759098006685082,1.430850308067984,0.0241839297500356,0,0.19678523957583532,0.5442683379562909,16.02512269708104,8.386132261740347,0.811324888053377,1.0425454267785017,0
5600705-1-2,56,007,05-1-2,1.3521790341578326,0.24734982332155475,0.14016489988221437,0.016489988221436984,0.008244994110718492,0.016489988221436984,0.024734982332155476,1.1790341578327443,0.4452296819787986,0.1071849234393404,0.07420494699646643,0
5600706-1-1,56,007,06-1-1,0.41923551171393336,0,0,0.06288532675709001,0,0,0,0.2934648581997534,0.08384710234278668,0.02096177558569667,0.04192355117139334,0
5600707-1-2,56,007,07-1-2,47.25745885802811,3.9077321602843873,2.1314902692460294,0.7119104398765121,0,0.3552483782076716,1.776241891038358,37.30767690129097,11.36983301392705,3.197706631689434,2.1324327248868085,0
5600711-2-1,56,007,11-2-1,65.36279258688826,11.267564950873902,2.414453493051656,3.459498985202901e-4,0.4021782822429292,0.20126211607072472,2.012275210808727,51.690114790222744,21.525013872510456,2.413069693457575,3.420072173608239,0.4018323323444089
5600712-1-0,56,007,12-1-0,67.80626780626781,15.595441595441596,3.0512820512820515,0.33903133903133903,0.6780626780626781,1.3561253561253561,2.7122507122507122,56.95726495726496,28.817663817663817,3.7293447293447297,1.017094017094017,0.33903133903133903
5600713-1-0,56,007,13-1-0,14.583473861720066,3.6458684654300164,0.775716694772344,0.0775716694772344,0.0775716694772344,0.0775716694772344,0.6981450252951096,12.256323777403034,6.050590219224283,0.46543001686340635,1.008431703204047,0
560090001-1,56,009,0001-1,156,8,0,2,0,0,3,136,16,4,9,0
560090002-2,56,009,0002-2,346.00831770666196,42.883781954376225,11.070229319981337,2.030964262365468,0.9844449026548313,1.0411023833174724,5.045324888972766,306.9879203400802,74.72911780549838,2.201523976562959,21.996630719315988,1.004901398890798
560090003-1,56,009,0003-1,167.11501316944688,7.9578577699736615,4.973661106233538,3.9789288849868307,0,0.9947322212467077,0,143.2414398595259,22.878841088674275,6.963125548726953,9.947322212467077,0
560090004-4,56,009,0004-4,290.161300237292,17.590637788942374,11.94691040175752,4.914052969578254,1.4027207785851454,1.408383584247951,3.520392680053597,240.30921710202384,49.88266228584731,9.840564111614679,20.37116300119632,0.0022651222651222653
560090006-6,56,009,0006-6,311.29064272637476,19.237217313181965,8.101994679561857,2.509785585752189,0.2710738820371203,1.1601615153397915,0.9384633607067904,271.0739214525678,43.32859640107473,9.4297967168475,14.917357944269654,0
560090007-7,56,009,0007-7,156.02562170746134,14.629118015280428,5.688357393928979,1.6248623120870973,0.8117615052314797,0.0033482540603448313,3.2550818306707465,143.83714541437192,23.57389654150429,4.065504034278089,8.935403414854898,0
560090008-8,56,009,0008-8,243.99999999999997,17,6,3,1,0,4,213,33,4,17,0
560090009-1,56,009,0009-1,496.96218985064917,81.65034217642085,35.414535919084,2.9526705933850392,2.9507249043254316,8.853147557506098,10.819324649193248,431.0276445843083,132.81667025318754,20.66285708651645,38.37109789058825,0
560090009-2,56,009,0009-2,396.8288590503321,66.97111727045906,15.993102631751418,1.9991378289689272,1.9991378289689272,7.996551315875709,4.997844572422318,334.8555863522953,114.95042516571333,11.994826973813563,27.987929605564982,0
