GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45019000132,45,019,000132,816.8196037539103,425.6339937434828,3.151199165797706,811.2148070907195,436.148070907195,0.06047966631908238,786.2471324296142,24.907194994786234,419.93639207507823,22.45359749739312,0.09071949947862357,811.7914494264859,32.17935349322211,405.6944734098019,3.0907194994786233,600.0813347236705,26.574556830031284,437.54118873826906,27.362877997914495,157.99582898852972,225.5985401459854,467.29718456725755,0.24191866527632952
45019000173,45,019,000173,520.6834014002962,459.7493099381116,2.9869909425114733,484.86578520607816,483.63287271777057,1.990554497480601,457.99986826906996,10.946117742325686,491.59354511263894,15.921344789736617,0,491.8184291930099,12.938217834860383,475.67451871548343,0,578.1915529246061,6.968099937472676,524.4233975668185,6.967327139945628,67.70358243520597,102.5270805769743,544.3312609342056,0
45019000174,45,019,000174,407.63829142684034,285.64435019691,2.975461981217813,370.9409269918207,321.3498939715238,0.9918206604059376,354.0799757649197,14.877309906089064,308.4562253862466,16.86095122690094,1.9836413208118753,382.8427749166919,23.803695849742503,288.61981217812786,0,387.8018782187216,8.926385943653438,318.37443199030594,8.926385943653438,53.55831566192063,107.11663132384126,343.16994850045444,1.9836413208118753
45019000175,45,019,000175,553.2226507220677,333.69469213869786,2.342238921737071,528.5508651518599,354.04058878688994,1.011215460282474,509.4910424090637,11.831388964499506,362.62396373187346,7.678878941792484,2.0039667997088846,540.1489579945918,16.13207631629787,339.59812485350506,1.9855026788528207,439.22832561432716,4.976767233611906,371.75545357766316,4.626768440088998,62.39391020585118,118.50003316202756,395.7885470996153,2.2715189818720725
45019000180,45,019,000180,442.550340120306,793.7572005206109,3.020503080651222,402.05126634832817,821.030955257519,0,382.4811910971355,9.17268115144376,831.3809110270972,7.155705133937409,0,424.1698519779291,18.297779230989256,793.7004192661335,0.006373357931931495,940.4167581207871,8.134462473991972,879.58844548372,5.180083572124873,24.672590604216946,134.0137099018272,886.8404746952738,2.0232046337107983
45019000181,45,019,000181,594.1098889427434,800.560300210813,3.426747027425498,541.8268271306605,831.4197275324589,0,487.87206628091525,14.572538517120883,866.5230124836789,13.710344943273212,0,565.8112473473743,26.573706589367195,793.7180084165984,0.0013360053440213762,973.7261438224626,7.731719692826924,914.4953130748321,13.710618872426481,42.88895907569214,195.4074104916954,919.6878634156176,2.5710965157212984
45019000184,45,019,000184,403.7339986669344,317.6295913682991,0.9567156366515033,344.4176291945412,363.55194192757125,0.9567156366515033,321.4564539149051,14.350734549772548,355.89821683435923,18.177597096378562,1.9134312733030066,369.2922357474803,16.264165823075555,329.11017900811714,1.9134312733030066,457.31007431941856,14.350734549772548,374.0758139307378,19.134312733030065,15.307450186424052,200.9102836968157,395.12355793707087,0
45019000185,45,019,000185,477.25955775829203,467.5550285932139,0.2581967213114754,431.2684597788791,492.58279451010293,3.031646969119329,392.4085817765917,16.312226458253907,500.43767823103315,21.56579107891727,1.0679260388867708,455.0913076629813,24.68350362180709,464.781578345406,2.1358520777735417,607.7502401829965,21.945192527640106,522.1756004574914,24.597438048036597,11.74718642775448,222.53449866565,560.0184788410218,2.945581395348837
45019000201,45,019,000201,214,341,4,170,376,0,138,0,410,1,0,195,6,341,3,432,1,408,4,12,73,412,0
45019000202,45,019,000202,229,341,0,193,366,0,180,5,380,1,0,218,6,336,0,415,4,386,5,14,78,401,0
45019000203,45,019,000203,406,327,1,336,381,0,305,6,398,17,1,402,15,316,0,478,11,420,11,27,158,446,0
45019000204,45,019,000204,331,199,0,288,234,1,266,12,236,9,1,307,18,200,0,303,16,251,16,23,117,283,2
