GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45079000487,45,079,000487,979.8184730379071,320.0213561131874,19.7544046983449,13.82808328884143,21.72984516817939,0,1.97544046983449,881.0464495461827,430.64602242391885,9.87720234917245,5.92632140950347,0.987720234917245
45079000488,45,079,000488,1260.506726457399,412.6547085201794,40.152466367713004,16.071748878923767,16.08968609865471,7.0358744394618835,3,1154.47533632287,506.6412556053812,32.10762331838565,14.026905829596412,3.0269058295964126
45079000489,45,079,000489,480,14,2,4,1,1,1,466,23,5,1,0
45079000490,45,079,000490,608.4412811708685,160.4564466392088,29.393248420029742,12.186275567382511,11.331156564235574,4.144880996853064,3.06209185579417,563.8682874907495,234.33989959829862,18.24836742317668,3.165578282117787,3.020697285264723
45079000491,45,079,000491,248.99999999999997,545,33,11,25,1,0,196,643,17,5.999999999999999,0
45079000492,45,079,000492,545,514,27,4,12,4,1,446,610,20,6,1
45079000493,45,079,000493,398.99999999999994,535,28.000000000000004,6.000000000000001,10,3.0000000000000004,1,326,637,10,0,0
45079000494,45,079,000494,1121.2658227170818,643.836834557841,45.56384388660661,18.820410604469625,19.810411870629096,4.952524281691822,1.9809917273131972,989.528838692351,784.4894054407018,31.69667697837009,9.905093526792475,3.962028418035224
45079000495,45,079,000495,368,173,5,7,3,1,0,335,208,2,2,0
45079000496,45,079,000496,636.4452037445468,194.02515588774494,17.40291657207664,1.109581871986077,9.195749170937265,1.0416129002872614,3.0046324128247477,575.8113384825577,254.82419428704233,14.287242617870003,8.097469906627165,1.0035196110073337
45079000497,45,079,000497,1366,346,30,5,16,8,0,1213,490,22,10,3
45079000498,45,079,000498,417,607,39,9,22,0,3,301,755,25,4,0
45079000499,45,079,000499,518.0866807610994,194.65116279069767,33.424947145877375,14.746300211416491,10.813953488372093,0.9830866807610994,0.9830866807610994,490.5602536997886,252.65327695560254,13.763213530655392,7.864693446088795,0.9830866807610994
45079000500,45,079,000500,615.7917350735129,210.9286625008299,20.992900059324302,11.995942891042457,7.997295260694972,0.9996619075868715,2.9989857227606143,542.8164158196712,287.902629385019,11.995942891042457,5.9979714455212285,0
45079000501,45,079,000501,332.7761600262557,1251.364906405341,34.107317289114114,3.982267061659934,25.21016196816233,3.156281465721855,0.0016643822442197747,269.13571979941077,1314.2493802285687,29.95671734466044,4.152264326697893,5.547940814065916e-4
45079000502,45,079,000502,933,652,32,21,31,4,2,773,842,26,9,0
45079000503,45,079,000503,1285,334,34,19,17,4,2,1221,413,25,14,4
45079000504,45,079,000504,331.2488696339208,1036.6442117252288,44.66053401305674,5.191600078429624,31.08573377776787,7.031933346404937,1.095800039214812,236.63033522871592,1165.8913467970854,26.70253362090862,1.1596667320246867,1.1277333856197493
45079000505,45,079,000505,219.75113036607922,868.3557882747712,50.33946598694326,5.808399921570375,32.91426622223213,0.9680666535950626,2.9041999607851876,140.36966477128408,997.1086532029145,21.29746637909138,4.840333267975313,3.8722666143802504
45079000506,45,079,000506,346.9540513833992,453.240973029528,19.668879330388283,7.033172518019065,11.49770983492211,1.2545977679609392,3.064188560799814,249.65792257614507,554.3008951406649,10.418013252731923,4.114734945361544,0.9922459893048128
45079000507,45,079,000507,556.0621704913023,277.71114025927716,7.524374092657209,5.182831164200392,8.199169701754833,0.1750503018108652,0,487.68587474212364,308.48343223900366,16.45668950411329,3.9245345490665513,2.0497924254387083
45079000508,45,079,000508,817,680,43,6,29,9,2,681,815,30,13,1
45079000509,45,079,000509,1528,244,20,12,10,8,0,1388,368,11,10,3
45079000510,45,079,000510,562,81,17,5,3,1,1,536,108,11,1,1
45079000511,45,079,000511,544.6114641711134,220.99368698220715,12.359383009900927,7.047400999924814,11.983671434948366,3.1666958473518925,0.1366223908918406,525.2355775120495,254.3244950032677,4.461350313863244,5.0728928259153925,0.03415559772296015
