GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSRGRA,G20USSDHAR,G20USSCBLE,G20USSOWRI
45051000216,45,051,000216,1802.2972345947082,967.083484252941,22.460473260240967,6.854200642629386,0.9753920386007238,1735.9110491319043,1000.2864981240022,49.81113489969771,1.9507840772014475
45051000217,45,051,000217,755.7423807204326,308.00025907726905,9.65460468224076,0.9305555555555555,0.12890929552282496,753.3645386896358,301.30920012239204,17.099049126685205,1.8664021164021163
45051000218,45,051,000218,1201.1829004048723,507.6331287390257,6.6656307461217725,2.2145909408748348,0.7309110057925223,1218.4296825766796,493.17884304940475,9.022298189728849,0
45051000219,45,051,000219,1526.249804729695,702.0743567699672,12.1805906891277,5.077246331196568,0.10250502777274396,1530.898864293023,695.2785274953542,19.50711175938169,1.4532370455957866
45051000220,45,051,000220,2357.6522596419486,1173.3728092512551,36.35547046479489,3.635547046479489,0,2320.387902415534,1212.4549400009096,33.62881017993527,0
45051000221,45,051,000221,1068.9999999999998,521,11,6,0,1058,516,26,3.9999999999999996
45051000222,45,051,000222,1321.3075034257338,727.9811291608812,14.214902610208615,3.3603676142977403,0.05848822370408725,1283.091622303251,737.5387284744821,38.3194676632891,1.0571710121945703
45051000223,45,051,000223,648.168886257311,359.28593130219645,6.03118269352419,2.0119933436631503,0.002398668732630038,632.0681421705405,374.35069535797743,10.08635207437468,0.002398668732630038
45051000224,45,051,000224,1395.5408242061444,602.9375234767605,21.961300523987966,3.9929637316341755,0.9982409329085439,1366.5918371517967,633.8829923969254,22.95954145689651,1.9964818658170878
45051000225,45,051,000225,1100,541,10,2,0,1071,558,22,1
45051000226,45,051,000226,1724,916,22,8,0,1680,959,30,3
45051000227,45,051,000227,641.2934161903049,472.973631998197,16.710936729576922,1.0938087360789117,0.9791871838920748,604.1986356297854,504.53599765630605,21.34329065555852,0
45051000228,45,051,000228,757.2562910586784,370.7322259105546,12.031877514338484,2.255977033938466,0,739.2084747871706,385.77207280347767,16.543831582215414,0.7519923446461553
45051000229,45,051,000229,1929.5836670535593,1024.4874937025047,37.71293231346465,4.965239851736488,1.9847592656737096,1858.103093723224,1078.0960440010083,57.5738917204106,2.9771388985105647
