GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
49003WLRD0U,49,003,WLRD0U,175.37271295218596,35.9133998095886,3.6600685499108176,3.360654854266447,7.474939121725595,1.4230287631210357
49003YOST00,49,003,YOST00,NA,NA,NA,NA,NA,NA
49005AMA0I0,49,005,AMA0I0,123.26385499043995,15.710987346505831,2.376688985570767,0.8610411006415515,8.6752054582635,0
49005AMA0UE,49,005,AMA0UE,4.1668864868448505,0.5243102201990208,0.08278582424195065,0.02759527474731689,0.3035480222204858,0
49005AMA0US,49,005,AMA0US,18.984526112185687,2.388781431334623,0.3771760154738878,0.12572533849129594,1.3829787234042552,0
49005BEN000,49,005,BEN000,187.97013865199327,34.045144916276364,1.7633344539831166,3.3861160929681215,5.215891920750005,0
49005CLK00I,49,005,CLK00I,54.12355602354519,6.7033762047510095,0.24827319276855592,0.24827319276855592,2.731005120454115,1.4896391566113354
49005CLK0UE,49,005,CLK0UE,103.87484463052772,12.86685775374656,0.47697213073149086,0.4784417792480963,5.242651904625734,2.8574238388391286
49005CLK0UW,49,005,CLK0UW,NA,NA,NA,NA,NA,NA
49005COR00I,49,005,COR00I,45.67076977551929,4.732793707926412,0.0061602116982726225,1.0554965089103692,2.6248807959548097,2.0863521710276483
49005COR0UW,49,005,COR0UW,41.551845031773986,4.298466727424895,0,0.9552148283166434,2.3880370707916083,1.9104296566332868
49005COV000,49,005,COV000,179.36459079965823,23.915278773287763,4.98234974443495,7.971759591095921,10.961169437756892,1.9929398977739803
49005CY0000,49,005,CY0000,307.1747753705228,40.82791281622023,0,14.576677162358664,12.634156816131702,1.9425203462269618
49005HYD001,49,005,HYD001,874.4375005656179,144.2211013670581,2.0398921294592816,15.253879595290092,23.823575602465823,2.9402282668972344
49005HYD02I,49,005,HYD02I,632.53824256661,143.90875755004978,5.396887318923868,13.501204793222444,30.57637047662674,7.190607635949373
49005HYD2UE,49,005,HYD2UE,90.4588561616371,17.4325867780768,0.5420805196049856,1.896245805858728,3.397422730619566,0.6260801608643136
49005HYD2UW,49,005,HYD2UW,37.81028571372206,8.588005280554277,0.3228015221286214,0.8048181351896668,1.8233801717104903,0.42748780266231307
49005HYR01I,49,005,HYR01I,266.1632065053516,64.88901880643716,3.2774784726885917,11.144148943255063,18.354601583169966,1.9668481516700806
49005HYR01U,49,005,HYR01U,115.08259068632827,28.058624510460124,1.4174429991925543,4.817870692243525,7.936532391469376,0.8501786985133006
49005HYR02A,49,005,HYR02A,265.37408462024183,49.888710633489914,4.03431810053697,12.041274411166402,11.566112622010591,1.0702594155787493
