GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33011MANC06,33,011,MANC06,2422.30717559438,2156.9963087139454,187.52600251577752,31.09221062488219,7.772767457700482,80.64777789498716,2527.240969075691,2179.3422756111245,60.242898393389716,95.221241952877,0.9716747158893928,2504.89645584635,2129.7847512974563,150.60606271565575,18.460876458725878
33011MANC07,33,011,MANC07,1700,1962,148,39,7,78,1619,2044,75,138,3,1626,1969,169,30
33011MANC08,33,011,MANC08,2656.578431023312,2167.1299056661364,182.0788098993939,35.28986164969818,8.080439245380969,59.100351602708336,2617.25912742724,2235.872106741946,92.30445083344557,130.64516388310946,7.935632464746003,2591.059759928595,2197.2210934480645,176.34587483375165,30.074093657752258
33011MANC09,33,011,MANC09,1951.8464968078424,2041.7775532986825,162.31374536803204,31.831143148263575,4.992055718916094,50.888841164761175,1922.7592286097479,2072.416323783533,90.45028858729516,105.5516740842201,3.020055182484737,1904.7603424441695,1982.4400912007916,195.6523540627834,25.858072055964193
33011MANC10,33,011,MANC10,1853.9518593752969,1998.1664322511695,188.8402183623197,28.181825542424892,1.0489495974575571,78.36891984562517,1827.293339056187,2038.2361835301044,83.39667416017008,139.47035599962138,1.0148730760112659,1748.7187074734463,1989.6675269824834,219.71246263091874,39.87499962796475
33011MANC11,33,011,MANC11,1371.9751661420078,1687.5891920251836,162.2873382301504,39.825113676110526,7.965022735222106,51.772647778943686,1298.2987058412032,1737.3705841203218,85.62399440363764,148.3485484435117,3.982511367611053,1366.9970269324938,1613.9127317243792,188.17366211962224,19.912556838055263
33011MANC12,33,011,MANC12,1899.4795623617254,2147.5807700779196,176.54069557989018,44.84493757466573,4.986230167645454,50.42631533670043,1958.942488567789,2156.5144038342705,93.7168170104854,105.03791346293379,3.9898863001126896,1965.3766053787324,2070.6970652870937,177.2062977557992,17.902772754442644
33011MASO01,33,011,MASO01,477.3178236634802,306.3431525675091,65.02689614731725,6.0124066551512545,1.001156880955443,17.01618140962579,511.3020678169289,292.37310730173175,30.01895289306838,17.026284250759097,2.397405571279953e-4,457.3114875507988,317.3591269601379,57.02685330940233,5.00717791613999
33011MERR01,33,011,MERR01,7361.3623279135145,6375.32743704066,730.4156308719826,102.50870479125724,13.93057352618931,268.63871991054003,8020.452855333166,6489.397563834665,225.9295852643244,311.4797758696915,4.975578628551403,7829.264316749407,6299.369111022796,574.2837215083645,46.76083106666862
33011MILF01,33,011,MILF01,3851.250562831502,3817.8723595172937,398.02846368073665,73.00643872619013,5.001657875024817,137.90247183564657,3966.0472145033154,3867.343398717441,185.00230769421356,215.95370623091284,4.996433754015893,3921.848749493554,3659.482858981491,462.981999723122,27.977392649837213
33011MONT01,33,011,MONT01,685.3015685787412,756.2293913460188,70.92765682592825,11.987775864759438,2.6132495973895115e-6,40.95812929351195,776.2090731010677,702.2842957512737,25.973522322279642,30.968405685563198,0.9989787632563891,758.2273318864093,706.2801964314265,56.941969166524,3.9959150530255565
33011NASH01,33,011,"NASH01",2526.15004457325,2988.6714572449996,236.1399342906255,47.78715404764063,6.022163044157466,93.52759568541715,2820.4932998862746,2840.7295123372182,91.22895172288317,114.2513739382942,5.072514444795548,2722.502030418783,2805.549001007124,211.06980029266148,16.14202983207244
33011NASH02,33,011,"NASH02",1975.7044976549694,2481.3665351313516,199.8689109357604,32.97833021228786,2.9980402833305364,104.93092287820467,2179.5705949163294,2393.425183880171,80.94675336450184,106.92969093205348,2.9980203590338226,2066.645153275416,2353.4513038425844,228.84931983728086,14.990150499005527
33011NASH03,33,011,"NASH03",1768.9551260112237,2474.6954934041287,200.62670910909623,40.86253532165756,3.0077831327180475,80.78923649760262,1929.0796392893299,2343.2432791622214,99.62376617077754,125.70883273163233,2.9892970785173762,1847.6769060111174,2303.931869976837,228.3092913945999,19.969414202223653
33011NASH04,33,011,"NASH04",1116.544727393725,2075.338658995175,134.9320578704238,29.98120134506213,3.995004150037231,46.98746971186004,1059.8215429735737,2102.150276944049,77.94446277010385,113.89849091936958,2.997010013329932,1086.6846301769845,1934.4479031355183,211.80586402682744,9.002131251752601
33011NASH05,33,011,"NASH05",2565.958211135911,2744.4809689889257,238.3538065613047,48.86654934400841,2.991422288161624,100.72343641573792,2719.5995921480603,2709.538889044585,97.72767588581421,110.68934893671134,10.968403781867218,2695.655416029569,2614.8030692711086,221.387591269035,20.939739105043262
