GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33003WAKE01,33,003,WAKE01,1239.1832333797677,1984.577616983237,43.99627990540219,1419.0561074579582,1727.7929942695569,85.9311190720059,0,723.5166222056812,2537.1634037714794,28.99183765436408,0.00881949631440388
33003WOLF01,33,003,WOLF01,2358.1505087191867,2376.463924057031,51.057913433818946,2427.6517882649346,2241.8525359385017,84.06867361089404,2.061473294307775,1467.3035782134543,3225.3431335672144,45.014604117555606,3.031329130887506
33005ALST01,33,005,ALST01,682.3068559485547,475.82015842745824,27.930594570535774,707.2450004438163,437.9140173379602,30.923345132202968,0.9975191094271285,499.75926217234706,647.3949885844289,27.93056373942024,0.9975191094271285
33005CHES01,33,005,CHES01,1406.7205261081958,972.6804220760704,44.49129035875675,1437.3193015129636,873.8151841038414,48.49129035875675,1.0083269552331653,1062.7834070269491,1302.0180003805294,31.374712985492437,3.0499617313989917
33005DUBL01,33,005,DUBL01,762.418735079078,434.1074804745867,19.553103339640387,768.4799501209006,413.08222190405877,24.31672695518691,1.0225622056079904,549.5541107207843,634.1277821645647,10.35048824222653,1.1222812389588288
33005FITZ01,33,005,FITZ01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33005GILS01,33,005,GILS01,240,263,13,272,220,14,0,160,337,8,0
33005HARR01,33,005,HARR01,554.6625396010903,201.97767976541553,6.043559989548217,565.674639598187,173.93169977644797,19.0532399872256,0.002419999419345393,434.1906397143179,316.4229596585751,8.021779994774109,0.002419999419345393
33005HINS01,33,005,HINS01,1047.927783912917,828.942874870046,32.997726020158645,1138.9215132412332,666.9540380438127,50.99648566751791,0,712.9508682537307,1098.9242695804348,37.997381477758445,0
33005JAFF01,33,005,JAFF01,1519.6221033674824,1402.8621328022916,79.55804468338133,1667.7498822271737,1243.7350914461445,71.64392146643301,0.9952876201567812,1049.1671170552613,1892.142905131932,55.70399026921965,3.978231161001947
33005KEEN01,33,005,KEEN01,1374.5433079003958,472.68532938304725,24.742419549542632,1296.8145883446705,380.48938780177133,67.22595351483297,2.098828296282941,929.3392490016978,768.3195764361606,44.043676890197574,3.0345432677695987
33005KEEN02,33,005,KEEN02,1846.8184743328163,712.2150672069246,47.83295103039024,1867.93279020436,623.0696012925584,75.7729585039828,0.9964624621043093,1394.363647602703,1160.194744625522,55.89255420157827,1.9940201542192544
33005KEEN03,33,005,KEEN03,1688.2892174801777,796.8333178973301,38.8455740531992,1760.004218029643,700.2172027048124,47.809974113007215,0,1220.1499343242358,1239.0754951388974,35.85746089477824,1.9920794779169821
33005KEEN04,33,005,KEEN04,1922.1960583622113,920.9817808054634,60.01558382230894,2001.2856653404876,785.8142547156423,81.0428555113496,8,1406.8064628044879,1395.32462489626,50.019479777886175,5
33005KEEN05,33,005,KEEN05,2131.8135321102413,863.1457486255647,50.40892399676308,2198.9053554345933,740.8563348720485,63.95219165064172,2.9039145189945685,1544.3102881668253,1404.0863590479155,59.09031004139704,0.9780906771147718
33005MRLB01,33,005,MRLB01,815.0643359601265,449.4073577323372,22.474561415378425,852.948129957946,395.4471968237262,31.43167470756011,2.005791135959976,546.248689890566,694.3286405688859,26.333961666954227,0.023990208912597732
33005MRLW01,33,005,MRLW01,277,207,12,289,184,14,0,196,284,8,0
