GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDBOL,G20USSRMAR,G20USSLBUC
2004700006A,20,047,00006A,94.1217318469633,223.22909860604915,3.9982277629942056,90.1235040839691,214.23308613931215,16.992467992725373
2004700006B,20,047,00006B,0.07235293335284024,0.587867583491827,0,0.07235293335284024,0.587867583491827,0
20047000070,20,047,000070,2,64,1,3,61,3
20047000080,20,047,000080,5,13,0,5,12,1
20047000090,20,047,000090,3,26,0,3,26,0
20047000100,20,047,000100,3.0559796437659035,41.7175572519084,0.03053435114503817,2.0559796437659035,44.69211195928754,0.05597964376590331
20047000110,20,047,000110,10.939015770515478,140.2182930584257,5.966735874826625,10.939015770515478,135.24601316273683,10.939015770515478
20047000120,20,047,000120,44,151,3,37,150,8
20049000010,20,049,000010,21,82,2,26,73.99999999999999,5
20049000020,20,049,000020,15,133,2,24,119.00000000000001,6
20049000030,20,049,000030,58,357,9,69,324,26
20049000040,20,049,000040,7,46,1,9,44,1
20049000050,20,049,000050,30,143,1,29,131,11
20049000060,20,049,000060,4,49,4,5,49,4
20049000070,20,049,000070,3,18,0,4,15,1
20049000080,20,049,000080,5,56,1,6,50,4
20049000090,20,049,000090,9,44,1,9,45,0
20049000100,20,049,000100,43,212,5,49,190,17
20051000010,20,051,000010,31.334075723830736,206.40534521158128,2.1503340757238307,36.40089086859688,191.23830734966592,9.233853006681514
20051000020,20,051,000020,19.7032945183838,141.87077935589275,8.855894297978592,23.6406316227526,132.02951271953822,13.77860374072333
20051000030,20,051,000030,105.2199401191726,430.7835551652282,9.689355033854655,111.0685887637304,407.3890886888184,23.20602408086367
2005100003A,20,051,00003A,0.12424860859786345,0.3840411538479416,0.011295328054351222,0.13155735028009072,0.3720813947315697,0.017939638674557824
20051000040,20,051,000040,58.48574483392725,251.76524287600682,7.352972345521802,64.25874041894164,236.94155707400265,13.391828957726524
20051000050,20,051,000050,215.3541720059896,698.4852768745129,20.625198132648677,227.56298515278394,669.3562599738144,36.568150252252686
20051000080,20,051,000080,10,56,0,10,53,2
20051000090,20,051,000090,174.200277818919,137.33657455405492,11,166.267037091892,134.06953746216294,23.200277818918995
