GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDKEL,G18GOVRKOB,G18GOVIORM,G18GOVLCAL,G18GOVIKLO,G18SOSRSCH,G18SOSDMCC,G18SOSLHOD,G18ATGRSCH,G18ATGDSWA,G18INSDMCL,G18INSRSCH,G18TRERLAT,G18TREDFRA
20191900020,20,191,900020,1.1856521466761452,6.002363992547985,0.8151358508398497,0,0,6.521086806718798,1.4820651833451814,0.07410325916725907,7.410325916725907,0.6669293325053316,0.37051629583629536,7.484429175893166,7.632635694227685,0.44461955500355443
20191900030,20,191,900030,0.5092741913830506,0.983127199012944,0.236371822058214,0.03633477723483477,0,1.2376011530113125,0.5275068366777308,0.018167388617417384,1.4737772050377387,0.29133078465130474,0.38203721438386634,1.3649033866877598,1.310270707480982,0.4548372822080612
20191900040,20,191,900040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191900050,20,191,900050,0.9456114495316695,1.891222899063339,0,0,0,1.891222899063339,0.9456114495316695,0,1.891222899063339,0.9456114495316695,0.9456114495316695,1.891222899063339,1.891222899063339,0.9456114495316695
20191900060,20,191,900060,5.9726954946534665,6.051978254914615,3.0763916155157576,0.23775628858593129,0.08645683221306592,10.012735884576939,4.8938016080275,0.4538983691185961,11.891355469173767,3.3934306643628376,2.8963038791377085,12.291218318159197,11.061024975160365,4.19133984629634
20193000010,20,193,000010,8,35,6,0,1,38,9,1,40,8,10,37,40,7
20193000020,20,193,000020,135.32368464001652,226.3355878469991,31.684030076806902,10.12304820375665,0.9987564332788907,277.1766353173952,93.96821926267877,27.237391440465533,312.44923951441444,77.85263245924878,72.81368900253175,319.57601841833446,314.67255883258514,79.71466145483882
2019300002A,20,193,00002A,0.0019693027032926373,0.004774067159497302,9.548134318994605e-4,1.7902751848114886e-4,0,0.0059675839493716284,0.001432220147849191,3.580550369622977e-4,0.006385314825827642,0.001253192629368042,0.0011935167898743256,0.0065643423443087915,0.006683694023296223,0.0010741651108868932
2019300003A,20,193,00003A,134.8516129032258,252.06451612903226,33.41290322580645,10.077419354838709,4,304.5806451612903,109.61935483870968,16.15483870967742,330.76129032258063,94.54193548387097,88.51612903225806,332.8387096774194,332.89032258064515,93.46451612903226
2019300003B,20,193,00003B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019300004A,20,193,00004A,181.00054489926714,308.0017073510371,74.00019374196165,10.000024217745207,4.000012108872603,423.0018526575083,132.00053279039454,17.000084762108226,460.00213116157823,110.00029061294248,90.00033904843289,482.00207061721517,460.0020948349604,113.0003632661781
