GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI
51013000025,51,013,000025,1593.3178609853023,397.05499288026687,55.808197861537934,27.586866644955002,12.476755134859037,22.586463664449184
51013000026,51,013,000026,2242.0916478555305,401.1196388261851,97.77291196388262,44.29029345372461,25.90564334085779,35.0979683972912
51013000027,51,013,000027,1704.1581563889754,445.3716031918345,70.47638556002656,55.793805235021026,16.640257701672937,42.0900635983492
51013000028,51,013,000028,2467,417,82,39,26,34
51013000029,51,013,000029,1719.7633498701136,362.95005581561117,61.9914695883413,65.99091923920203,11.998348952582187,27.996147556025104
51013000030,51,013,000030,2419.0359851180483,328.428562369988,73.38235497673196,60.54109444076592,18.64999090976596,28.33533919959415
51013000031,51,013,000031,1803,413,55,41,17,47
51013000032,51,013,000032,760.5536018150879,249.67668746454908,32.65002836074872,38.411798071469086,5.761769710720363,26.88825865002836
51013000033,51,013,000033,1508.259756913266,485.22082324014235,58.85761221750431,44.21078660626952,9.829477754821687,51.017085847189286
51013000034,51,013,000034,1533,405,60,53,16,43
51013000035,51,013,000035,1345.9170189867586,629.6305051360737,52.09351312130531,35.06517581181885,18.028337309486457,46.07084327371614
51013000036,51,013,000036,1861,531,78,34,14,66
51013000037,51,013,000037,1519,467,57,41,17,42
51013000038,51,013,000038,2083.2408885281898,311.43952108264705,66.24820947337474,47.70454750814765,28.125998001875057,19.344921941151977
51013000039,51,013,000039,1061.8819207262839,293.28400150551437,26.4958199577581,22.223276178962752,13.160287185721803,29.16839060532935
51013000040,51,013,000040,2152.4620060790276,499.9392097264438,136.17021276595744,91.42857142857143,13.617021276595745,52.52279635258359
51013000041,51,013,000041,1841.5046272125726,347.96838868745084,112.55241105079995,53.42072761641372,17.588816105766234,39.67903077182235
51013000042,51,013,000042,1672,347,55,48,22,38
51013000043,51,013,000043,1914,220,21,20,14,6
51013000044,51,013,000044,1546,228,61,44,16,28
51013000045,51,013,000045,1806.6635129323652,316.28851744019187,71.4831633843158,39.168856648940164,22.522092573140597,11.75065699468205
51013000046,51,013,000046,2328,498,131,72,16,49
51013000047,51,013,000047,1264.9796212503802,187.96581550035606,32.59084704240045,34.86462706861443,9.8530467802606,12.884753481879246
51013000048,51,013,000048,1354.5737181978982,370.3034204612745,66.89387736956583,49.454899976916224,12.600418094988381,28.12801336677139
51013000049,51,013,000049,1288.9523020009817,225.6491916130791,78.40101400157423,24.20391835823028,6.108154282144419,30.08503719250117
51013000050,51,013,000050,1627.4381276184163,416.6122421478258,74.68126536859441,52.82665080599334,8.006703814242037,30.948062449260863
51013000051,51,013,000051,586.0545200854096,122.01265427038312,21.003933496094998,6.001555103107323,3.0005488599202317,5.00137214980058
51013000052,51,013,000052,1578.6780876494024,302.46613545816734,47.809163346613545,61.46892430278884,17.562549800796813,25.36812749003984
51013000053,51,013,000053,467.0606224627876,112.32422192151556,22.42895805142084,22.96725304465494,6.280108254397835,10.40703653585927
51013000054,51,013,000054,647.7665421176754,138.3620775783349,27.691590413981913,25.100959855508357,4.123487615102327,16.962642382421656
51015000101,51,015,000101,295.27280211009224,632.5320346565443,23.16296286642636,14.986101550341564,3.0053856210945358,5.08616952447247
51015000102,51,015,000102,339.1014245308816,805.774552444803,37.32230504360933,18.67135660343732,3.9303515820033765,10.798991631850393
51015000103,51,015,000103,468.6916244185436,1419.9308080629623,56.63529331326607,33.76565378014269,12.377284769850446,9.417270196966955
51015000201,51,015,000201,388.4516492810826,1610.7262475331265,60.91401184099239,30.956301099520722,13.980265012686777,7.988722864392444
51015000202,51,015,000202,208.59103986724844,773.4178062567524,37.76957100476927,9.442392751192317,6.008795387122383,6.867194728139866
51015000203,51,015,000203,496.3539887313864,1486.0583632260748,76.87564833413184,31.46175878536263,14.934172524588433,14.063747656268363
51015000301,51,015,000301,692.7851697794944,1987.5148026382901,101.82145146615048,41.92648001547372,14.973742862669187,20.96324000773686
51015000302,51,015,000302,127.14986594655687,575.297074979897,26.16893835465686,13.069543804194101,3.02485071332914,2.0348092649391614
51015000303,51,015,000303,132.30680287491307,824.1087052192898,30.809421516137345,7.956538336226725,1.9935275553026877,1.9855403348554033
51015000304,51,015,000304,172.06860181372184,710.2001175140654,21.826003381234973,9.22215901483759,5.205050756096691,0.11376167039713327
51015000401,51,015,000401,199.7592030260748,753.5619919865707,18.5917355482211,8.334559351873466,4.659682644398248,2.789935207967462
51015000402,51,015,000402,182.55811709324328,814.7356019090844,32.71499951825656,9.470475786895024,10.123664032905491,5.10172528113156
51015000403,51,015,000403,126,560,12,6,7,9
51015000404,51,015,000404,36.307275192046994,287.39358337098963,6.057840036150023,1.0162675101671939,4.018075011296882,0.009037505648441031
51015000405,51,015,000405,375.1370637424026,921.2412786456857,48.51449067446295,15.124369617063689,7.260728496384326,10.092231633596013
51015000501,51,015,000501,293.32284069097886,1289.0241842610365,41.903262955854125,10.974664107485605,2.993090211132438,9.976967370441459
51015000502,51,015,000502,185,608,25,13,6,4
51015000503,51,015,000503,180.6771593090211,684.9758157389635,18.096737044145872,3.0253358925143954,1.0069097888675624,2.0230326295585415
51015000504,51,015,000504,380,1412,54,18,7,10
51015000601,51,015,000601,258,913,34,18,6,10
51015000602,51,015,000602,587,1991,72,36,11,12
51015000603,51,015,000603,476.46842310030183,1247.9603470507989,60.27105699693904,41.14974555735807,13.036741851224981,12.048549746262522
