GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51059000843,51,059,000843,1596.3753324533734,625.0687848719654,61.13598155589621,11.025168941893574
51059000844,51,059,000844,1429.55800740347,365.63118847635917,45.95364663910526,3.995969272965674
51059000845,51,059,000845,1673.83073338381,1239.7872286015686,48.70560566459656,12.098747566403722
51059000846,51,059,000846,1799.320501659037,623.4900269879729,33.142628515342494,1.2013480168917763
51059000847,51,059,000847,1174.8200175592624,540.6163301141352,37.83318700614574,6.9692712906057945
51059000848,51,059,000848,1527.8046499873642,596.3148850138994,31.03083143795805,1.0055597675006318
51059000849,51,059,000849,2204.09049534293,1425.038632514818,44.00264606265876,14.000264606265876
51059000850,51,059,000850,1290,839,28,10
51059000851,51,059,000851,1155,640,27,4
51059000901,51,059,000901,1588,533,52,0
51059000902,51,059,000902,2300.671856830846,831.4639177598499,47.64618130963289,1.6466949723497248
51059000903,51,059,000903,1874.1773468240585,945.7900505902193,69.28752107925801,4.034851039910062
51059000904,51,059,000904,592.0454423347061,363.23926230062585,27.555969864990598,3.340086152265034
51059000905,51,059,000905,490,225,9,3
51059000908,51,059,000908,1201,601,29.000000000000004,7
51059000909,51,059,000909,827.9298118668597,339.52532561505063,26.94645441389291,0
51059000910,51,059,000910,1891.1061224489795,599.2163265306123,74.73469387755102,7
51059000911,51,059,000911,1765.3359809279602,746.188603410787,27.58532637081441,4.933759926539118
51059000913,51,059,000913,1908.53125,1053.8625,40.231249999999996,3.9250000000000003
51059000914,51,059,000914,1318.5666033354444,638.1864048976146,44.225459151361626,7.39096474561959
51059000915,51,059,000915,1071.2789115646258,900.2993197278911,43.46938775510204,0
51059000916,51,059,000916,2025.6977583872424,1097.4162780201593,68.21483375959079,7.0505491199037165
51059000917,51,059,000917,1061,426,37,4
51059000918,51,059,000918,2157,764,55,4
51059000919,51,059,000919,2108.1094605022736,776.9854125846365,51.46588053636049,5.246523822205476
51059000920,51,059,000920,1493.7855100095328,568.6901811248808,25.318398474737844,4.8689227836034314
51059000921,51,059,000921,1613.6149659863945,966.4843537414966,61.79591836734694,10
51059000923,51,059,000923,985.5088338651498,743.2128600810242,23.58686779577421,7.833501977125377
51059000924,51,059,000924,1025,274,24,2
51059000925,51,059,000925,892.3630722337778,412.5183562845894,18.970526130074656,0.9523927032648665
51059000926,51,059,000926,2246.3801812757747,779.0874089827147,50.394712059962174,4.120344584898031
51059000927,51,059,000927,1036,440.99999999999994,28,0
51059000928,51,059,000928,1369.4900188323918,650.6757062146893,46.065536723163845,0.95969868173258
51059000929,51,059,000929,308.1773399014778,225.69458128078816,10.876847290640393,3.625615763546798
51059000930,51,059,000930,1186,503,44,7
51059000931,51,059,000931,1566.21788472208,544.3125614079779,40.305526719752734,1.141905339327144
51059000932,51,059,000932,924.1297998918334,282.236884802596,22.539751216873988,3.9199567333693888
51059000933,51,059,000933,257.8000441547965,109.97595490054557,7.531473400980746,0.7532115715286476
51061000101,51,061,000101,252.24422510853807,588.2582982172719,16.016317216316285,0.0031927621108481905
51061000102,51,061,000102,495.1630429981668,1161.945171254154,30.181465191770616,0.9443539862112721
51061000103,51,061,000103,394.503152369581,517.3484377909949,12.983648052669755,0
51061000104,51,061,000104,191.20951788226006,382.4190357645201,7.326035167902684,0
51061000105,51,061,000105,275.7982325156641,504.5932384141892,14.014732912860099,1.8664521319388576
51061000106,51,061,000106,497,662,19,3
51061000201,51,061,000201,1175.46548597115,1074.2265106176887,50.35783866680733,3.1179722586555205
51061000202,51,061,000202,770.8156587573039,907.2008725427457,37.372326616766465,1.8686663554507128
51061000203,51,061,000203,1036.59449801355,948.1314611580005,39.91450399391025,3.014460848465922
51061000301,51,061,000301,426.23408702412405,963.9018994176818,23.699476926712425,1.0405363217207373
51061000302,51,061,000302,788.9569481841713,1090.5573529424742,35.12711920549456,1.0917604476639782
51061000303,51,061,000303,999.4155511250356,1115.27769866135,48.083736827114784,3.0039874679578467
51061000401,51,061,000401,922.6513506994694,1039.0270139893873,32.05692233478051,5.075494452484322
51061000402,51,061,000402,864.9521966644679,836.4323962368642,27.497461771498138,2.1772140230007517
51061000403,51,061,000403,824.6063957730753,1253.3567970811953,53.06934091999827,3.1970778726450635
51061000404,51,061,000404,371.92826658889163,515.54869077241506,15.376281731302353,3.6804764076116423
51061000501,51,061,000501,849.1496163176073,705.0106346632222,27.48793257069226,1.963562106008558
51061000502,51,061,000502,731,1057,51,2
51061000503,51,061,000503,659.729196839983,891.4961698200291,38.023697663046164,3.0049370131346174
51061000504,51,061,000504,1133.6903378516383,1449.575935840346,50.44025588372281,3.832042723549684
51063000101,51,063,000101,477.55837255746906,825.3792852584033,12.904755347037064,0.9897539671028842
51063000201,51,063,000201,619.0090474985177,875.4903642934146,29.769520467470073,1.9291125116364392
51063000301,51,063,000301,601.0956856177146,670.8959737280377,11.437722815639146,1.0184385375833802
51063000401,51,063,000401,394.18451612903226,833.5948387096774,8.007741935483871,1
51063000501,51,063,000501,384.4067797338019,968.7761384836926,15.861674377511626,3.0297147010759504
51065000101,51,065,000101,1478.558138283583,1194.3729047156362,58.62562510667433,0.9936546628249886
51065000201,51,065,000201,896.9627901395943,921.9875254776966,35.438585746044275,2.046791112418993
51065000301,51,065,000301,990.8056376413844,924.9155588797399,24.497745718699218,1.9274497152994057
51065000401,51,065,000401,1074.6528525133642,1500.317286058332,44.29902872923158,4.0205835659270655
51065000501,51,065,000501,1540,1252,54,1
51067000102,51,067,000102,487.3121301775148,1114.1346153846155,35.27958579881657,3.010355029585799
51067000103,51,067,000103,818.2013596341935,1964.9144399873155,42.10483425491033,0
51067000201,51,067,000201,377.93626993138207,996.5644666725324,24.712153672728817,0.9810877075454428
51067000202,51,067,000202,372.9255400144818,683.3004595765372,6.964612283941045,0
51067000203,51,067,000203,78.60294117647058,156.02941176470588,1.161764705882353,0.014705882352941176
51067000204,51,067,000204,231.25568093952316,515.0158207892077,6.545806745938222,0.018936635105608158
51067000301,51,067,000301,143.28836424957842,430.8532883642496,9.881956155143339,0
51067000302,51,067,000302,149.12732332205414,441.8899937257244,11.420679780560317,0.06140713624141577
51067000303,51,067,000303,425.80048911057685,544.3061030618013,11.004129192586532,0.9807000832201076
51067000304,51,067,000304,194.2317089348472,234.7837623003338,4.686692915983523,0.0021849963583394027
51067000401,51,067,000401,212.31257156572207,745.4542506726067,11.817282445925654,1.9409775591761451
51067000402,51,067,000402,203,387,3,0
51067000403,51,067,000403,166,429,5,0
