GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27163000050,27,163,000050,973.0571777148668,1505.2568170294935,71.11966367510763,21.797538172457145,1.585538097264051e-5,1154.7523948719077,1318.4585044679768,67.32351310705317,27.866906933073967,0,1167.820525558652,1239.1953967345507,106.12702650564039,1.0000079276904863,1139.230684714907,1168.0318128824124,120.81842671451751,61.533196162289016,2.050243636582715e-4,1220.1889194474413,1133.5054981527144,150.5139342427693,1.0014034597836625
27163000055,27,163,000055,594.4647160068847,972.6738382099828,44.77538726333907,25.722030981067125,1.9053356282271945,669.7254733218589,876.4543889845095,66.6867469879518,22.864027538726333,2.8580034423407916,679.2521514629948,824.0576592082616,97.17211703958692,3.810671256454389,674.4888123924269,763.0869191049914,98.12478485370052,59.06540447504303,1.9053356282271945,718.3115318416523,759.276247848537,125.75215146299483,2.8580034423407916
27163000060,27,163,000060,716.5352839931154,1174.3261617900173,50.22461273666093,17.277969018932875,1.0946643717728055,884.2745266781412,996.5456110154905,63.31325301204819,15.135972461273667,3.1419965576592084,892.7478485370052,938.9423407917384,91.82788296041308,3.189328743545611,882.5111876075731,871.9130808950086,107.87521514629948,51.93459552495697,2.0946643717728057,936.6884681583477,866.723752151463,117.24784853700517,4.141996557659208
27163000065,27,163,000065,502.95442820292345,952.2338779019776,42.74118658641444,14.909716251074807,0,603.3465176268271,844.883920894239,46.71711092003439,14.909716251074807,0.9939810834049871,621.238177128117,798.1668099742046,68.58469475494411,1.9879621668099743,596.3886500429923,765.36543422184,87.47033533963886,38.7652622527945,0.9939810834049871,640.1238177128117,733.5580395528805,106.35597592433362,1.9879621668099743
27163000070,27,163,000070,1226.7027428399742,2074.272238249372,119.91014258821687,39.604985480645,0.019384264538198404,1435.4176323379263,1854.3595129401774,112.13569396242013,50.61737942733832,0.9872379171212294,1456.233452909622,1750.7654212843593,187.9472322137656,0.15204401096031075,1401.0512059765747,1655.0579659726181,210.5835296408667,98.84935552752297,1.1791301907280662,1507.8521094083985,1612.346468593254,246.11490186903708,3.980207835998801
27163000095,27,163,000095,412.9423603295318,413.22394032941355,7.543736959290488,5.215720616762921,1.093030653072841,480.793695470505,342.72324187557575,5.493165349422388,7.276792184004159,1.0289461454892548,481.25455441456324,308.6141891206781,27.56384955266028,9.577441430864105e-4,489.9911352180363,293.0127178509647,21.974702540188765,18.09727434148197,3.795196883329455e-4,502.11743002920804,283.0289481225467,28.03318809470351,6.623261949852735
27163000100,27,163,000100,426.7288477413464,533.6117211167269,13.717744276263774,9.70892185568549,0,518.7796891159076,424.4204714009224,17.559512223601956,20.34150966040405,0.0031852960797227763,530.3837868143594,394.0272939805141,44.757249378461744,6.4503504296247e-5,508.12512675615244,387.12858570181817,37.009724923804534,24.335849302047443,0,532.4326309110038,371.6293440647245,56.39877196344942,1.9334638992272413
27163000105,27,163,000105,679.3506382978724,845.1395744680851,89.93787234042553,22.39489361702128,2.0493617021276593,800.435744680851,689.3140425531915,90.38212765957446,29.39489361702128,1,810.4604255319149,661.3268085106383,116.85106382978724,1.0246808510638297,779.0655319148937,609.7591489361702,134.94978723404256,59.76510638297872,0,834.447659574468,602.4757446808511,161.78893617021276,0.12340425531914895
27163000110,27,163,000110,685.4733580346914,795.6531672349182,37.052754631157704,15.600985155262196,1.9500957289401541,807.3568560056808,644.5180140060855,54.60366005636728,15.600955912096735,0,808.3319038701509,605.5149589438295,73.13034442518348,0.975062486052808,792.7309333364714,583.088404791953,77.03043353198467,30.22699555396797,0,847.3343155827667,532.3856380294371,110.18251419303195,4.875268565515847
27163000115,27,163,000115,997.4204553135681,956.8077308527385,63.45239872323223,14.873539532776144,5.310539611886522e-4,1167.9548508119358,771.3960784438663,66.43103642910025,12.890967385964592,0,1167.9551163389165,694.065143638992,118.97424333223765,0.99155160038637,1154.0728628795462,663.3291682428593,112.03630292631959,34.70324390560057,0,1201.6694639139366,644.4809254451587,142.77519911923886,1.983899781714523
27163000120,27,163,000120,780.9429239294349,819.8653760840008,36.123539538062076,11.029016137678909,1.3732098259425898e-5,938.2752252793521,648.5040112485166,37.129429306659596,22.025159454148966,1.0000022171272618,923.2752399053467,589.3534501080104,84.23166210440972,0.0019329906868384948,907.2481443494872,576.2935313311843,67.21822554172401,46.0676693352608,1,974.3409650938305,543.2566012083495,98.2781588740907,2.003887688084697
27163000125,27,163,000125,1282,1478,89,21,1,1491,1221,91,30,4,1535,1109,124,3,1497,1041,155,58,1,1574,1030,188,8
27163000130,27,163,000130,1239.4608931185287,1292.9073279382785,33.01240455816882,15.040132430716655,1.0211236627477334,1424.404252208047,1098.9471872885338,33.949118011023025,19.08452517328901,2.016387723026753,1450.358279761756,999.4669050739593,88.234108500162,1.9911725469460817,1450.5477867513732,926.4239451516828,77.20397213333378,64.10895988443954,0.9955862734730409,1515.6065641610535,896.2762320034946,113.16404754696406,5.13147791620738
27163000135,27,163,000135,60.896258991920675,94.78625147857494,12.109952976171646,4.673599605896713,0,66.91093603603566,96.5043369709394,5.965452722314263,3.7680627848854447,0.034332635828475594,66.48132607028872,90.91433735742427,13.693138036113455,0.914295366710698,67.46754131728564,82.98531393122198,13.800236786730558,5.843990244521192,0.8871445944702065,71.60835946177701,78.47461895876822,16.519827025814294,0.034332635828475594
