GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PRECCas,G16PREMVac,G16PRESKen,G16PREGSte,G16PREIDeL,G16PREIMcM,G16PRELJoh,G16PREOth
27123001340,27,123,001340,350.9901242532584,1385.9610034615844,6.99980304778578,15.999549823510353,2.9999155919081915,41.99881828671468,2.9999155919081915,15.999549823510353,49.998593198469855,26.999240327173723
27123001350,27,123,001350,68,385,3,2,2,9,0,4,7,6
27123001360,27,123,001360,168,977,3,4,2,18,0,10,22,11
27123001370,27,123,001370,377,1324,6,17,1,41,0,15,53,19
27123001380,27,123,001380,236,574,3,8,0,3,0,10,31,16
27123001390,27,123,001390,420,870,6,12,2,20,0,20,49,14
27123001400,27,123,001400,246,591,2,4,2,25,0,14,32,15
27123001430,27,123,001430,235.27267045634483,1156.5829873377256,2.9656943645201435,8.896942413407416,1.977082682962424,53.380135134791935,1.977082682962424,6.9199441385368,40.52987143637776,18.782243284097124
27123001440,27,123,001440,207,727,2,13,3,28,0,9,31,7
27123001450,27,123,001450,242.76309794988612,973.9271070615034,1.255125284738041,16.658314350797266,2.1275626423690204,17.67881548974943,0,15.189066059225512,38.6127562642369,18.275626423690206
27123001460,27,123,001460,150,539,1,10,2,12,0,4,20,7
27123001470,27,123,001470,258.7501249952284,795.7420657349664,2.0835328525267722,8.098644507348226,1.026347738072708,28.357743841125043,0,15.176663326871033,29.674835207864255,15.140103900242385
27123001480,27,123,001480,217.23690205011388,656.0728929384966,1.744874715261959,11.341685649202732,0.8724373576309795,18.32118451025057,0,21.810933940774486,38.3872437357631,8.724373576309794
27123001490,27,123,001490,198,698,7,4,2,21,0,11,17,8
27123001500,27,123,001500,320,999,3,5,4,29,4,19,47,14
27123001510,27,123,001510,362,768,7,10,0,21,1,15,39,13
27123001520,27,123,001520,374,745,0,4,0,25,0,15,56,10
27123001530,27,123,001530,185,736,0,6,1,32,1,13,26,12
27123001540,27,123,001540,491.78233215547704,1643.609893992933,10.02190812720848,9.087632508833922,0.010954063604240283,31.306713780918727,2,22.164310954063605,69.31766784452297,14.164310954063604
27123001550,27,123,001550,398,1117,6,1,2,26,0,12,42,20
27123001580,27,123,001580,347.2447774064555,777.5908690640285,1.9786027202647039,1.9786027202647039,0.9893013601323519,10.88231496145587,0.9893013601323519,34.62554760463232,47.48646528635289,12.860917681720576
27123001600,27,123,001600,1064.1311989925891,1729.818580125886,10.027655238146973,10.02253384263541,2.010698334869379,40.1245074659275,2.010698334869379,107.39947401157238,146.55562170075746,24.151028581160514
27123001610,27,123,001610,1136.6400238073131,1758.7127479327924,8.055354650235351,6.036903100156901,1,42.129160850549155,0,95.59044960251043,118.57814856912479,48.13531136724197
27123001620,27,123,001620,911.4289388381856,1246.3632269931916,8.944790455540252,5.963193637026835,0,20.87212505479315,1.3533217131779258e-4,95.41163952111464,93.42792316318811,21.868787525838187
27123001630,27,123,001630,1378.7421637905863,1841.2202546469505,11.586106116983176,7.724070744655451,0,32.827170219416494,0,86.8966220313786,114.89569001908396,37.65463471821165
27123001640,27,123,001640,1075.2453468697124,1223.2148900169204,6.905245346869712,10.851099830795262,4.932318104906938,34.52622673434856,0.9864636209813875,58.20135363790186,103.57868020304569,38.47208121827411
27123001650,27,123,001650,26.405139317404508,28.965864294085286,0.016200904068307383,1.2635538016311498,0,0.05554595680562531,0.0046288297338021095,0.7324539475257708,2.668286910143264,1.3052132692353686
27123001660,27,123,001660,666.0103694988051,725.5018152922689,11.000810366831272,2.0430566627414977,3.049982689198345e-7,12.14033971857334,0.007866785524466078,44.17631425634343,74.4681556463831,21.12955690478175
27123001670,27,123,001670,912.5358212864519,1161.549229474174,8.01039075666254,3.0015718447639834,0,28.007377409218453,0,58.0362235123,105.05939045188666,17.01948217610173
27123001680,27,123,001680,804.8905390815696,882.3010761913139,2.9808979906021507,5.9536188317847705,0,20.83971019860158,0.9921335194738028,33.75052939083226,78.40880349128268,21.83552343531417
27123001690,27,123,001690,707.5072747359586,1031.7753427739337,6.00323640853037,7.976947780485219,0.9971203061837335,23.93080483537095,1.8336230811509708e-6,21.042143293952194,83.04806105962577,21.001011468203714
27123001700,27,123,001700,1393.9683620167782,1486.9449241625173,10.160883980485378,14.107931560419795,6.232402822924294e-5,19.917463642673695,2.998537052085435,67.43902318317306,102.52666399450749,24.66932541231872
27123001710,27,123,001710,1015.3850255183398,980.5170553102588,3.9353348217213138,7.754849067805563,0,24.383285917125733,0.9685808460519539,35.82131161932126,119.11391677634029,23.333671078207544
27123001720,27,123,001720,393.530002687917,388.4546205081296,0.654782618415779,5.959989621759325,0.014561043733584595,11.76432820583568,0.07065587166900197,14.866536777484084,43.21734858072895,6.7426369316531645
27123001730,27,123,001730,520.1346038866919,578.2512996550753,5.012096789880783,2.994413440328729,0,10.942445167781031,6.472659735995237e-4,19.10441828808831,58.23803674485073,15.029027414324137
27123001740,27,123,001740,1070.4030879326465,1202.254632437903,10.000329561244522,24.857194781786138,0,28.890455942636294,0.9933924189986097,43.00313225959055,110.11330406018142,21.060456912746076
27123001750,27,123,001750,1307.8998878355396,1538.8079831210894,10.364837424015446,10.356232544640696,0,49.36296825932479,0.9826198179042269,41.44169482408417,154.28233927894914,38.62507967503496
27123001760,27,123,001760,957.0120620907813,1151.3928609079187,5.956316868799246,9.977338841411555,1.9854389562664154,41.77779151506052,1.9854389562664154,45.78209880097967,95.62700629130455,33.79424897326196
27123001765,27,123,001765,136,170,2,1,0,10,0,10,22,8
27123001770,27,123,001770,937.7316930287053,1257.0773286467488,8.306678383128295,8.306678383128295,0.9229642647920329,27.688927943760984,0,47.071177504393674,95.06531927357938,21.228178090216755
27123001780,27,123,001780,1164.9086739064003,1443.8305800107798,12.818939825792048,15.73633036307601,2.9498886042185433,26.569197603713153,0.9828473088340417,61.13403710301035,107.71595733848719,15.855371407342435
27125000005,27,125,000005,44.997313445973084,6.999735658100397,2.9996022593408322,1.1712699502140918e-4,0,1.1712699502140918e-4,0,1.1712699502140918e-4,2.0002423898723145,1.1712699502140918e-4
27125000010,27,125,000010,18,5,0,1,0,1,0,1,4,0
27125000015,27,125,000015,58.044134338187874,21.017417123391514,0,0.999983300402007,0,0,0.999983300402007,5.00128325700614,3.0047335436923888,0
27125000020,27,125,000020,40,17,0,0,0,0,0,2,6,0
27125000025,27,125,000025,41,36,1,0,0,2,0,4,4,1
27125000030,27,125,000030,88,35,0,0,0,1,0,0,2,0
27125000035,27,125,000035,52,7,1,0,0,1,0,5,1,0
27125000040,27,125,000040,33.89779511837071,17.94589153325508,0,0,0,0.9969939740697267,0,1.9939879481394533,2.99098192220918,0.9969939740697267
27125000045,27,125,000045,51.78161345989833,33.857453113295996,0.9959631339063589,2.9863013698630136,0,1.9908675799086757,0,1.9908675799086757,2.988418745671098,5.293439520211267e-4
27125000050,27,125,000050,77.10220488162929,58.05410846674492,0,0,0,2.003006025930273,0,5.006012051860546,7.00901807779082,0.0030060259302733187
27125000055,27,125,000055,65.95586566181213,25.982582876608486,0,1.669959799299548e-5,0,0,1.669959799299548e-5,1.99871674299386,6.995266456307611,0
27125000060,27,125,000060,43.002686554026916,8.000264341899603,1.0003977406591678,0.9998828730049786,0,0.9998828730049786,0,0.9998828730049786,4.999757610127685,0.9998828730049786
27125000065,27,125,000065,125.52807606791492,55.594675003061845,0.9834422203213269,0.9676223996915365,0,4.836529646989979,0,2.902339748585375,13.618513369826468,2.91833538604491
27125000070,27,125,000070,133.78203349159728,51.20648121767962,0.05128205128205128,1.9990284794764155,0,0.9995142397382077,0,2.998542719214623,17.196870280677736,2.0503105307584666
