GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27107000085,27,107,000085,29.58447488584475,48.671232876712324,0,0,0.9543378995433789,0,0,0.9543378995433789,0.9543378995433789,0,33.401826484018265,42.945205479452056,1.9086757990867578,0.9543378995433789,0
27107000090,27,107,000090,50.00593142422111,35.70134198127144,1.1833096817478101,0.08443767063385439,0.052596271500266925,0,0.026298135750133463,0,0.08443767063385439,1.0255208672470093,45.06795730162045,33.820357880918976,3.862799773195851,3.2454379430087372,0
27107000095,27,107,000095,5,27,0,0,0,0,0,0,0,0,6,26,0,0,0
27107000100,27,107,000100,32.88756223091148,75.44199096551611,0.01146976184704522,0.002867440461761305,0.003958493956809446,0,0,0,0.005917605574354102,0.004643827428474469,43.73088837475185,55.65729106029453,4.009700885540724,0.9991698873947721,0
27107000105,27,107,000105,21,23,0,0,0,0,0,0,1,0,28,15,1,1,0
27107000110,27,107,000110,25.430232558139533,25.430232558139533,0,0.941860465116279,0,0,0,0,0.941860465116279,0,26.37209302325581,14.127906976744187,8.476744186046512,1.883720930232558,0
27107000115,27,107,000115,25.482352941176472,45.90588235294118,0,0,0,0,0,0.1411764705882353,0,0.07058823529411765,31.552941176470586,36.76470588235294,0.07058823529411765,0,0
27107000120,27,107,000120,13,23,0,0,0,0,0,0,0,0,13.999999999999998,19,1,0,0
27107000125,27,107,000125,27.29884621210714,64.17847199516261,0,0,0,0,0,0,0,0,23.94909145370906,51.40896071560079,11.686103266393228,0.8989310204917867,0
27107000130,27,107,000130,21.705064663515866,39.82508334631285,0,0,0,0,0,0,0,0,25.054819421913948,35.593883557579574,1.3146078019018643,0.10106897950821318,0
