GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0202028-130,02,020,28-130,134.87008448804366,236.77192610123222,5.994225977246385,0,1.998075325748795,2.9971129886231926,0,125.87874552217409,258.750754684469,17.982677931739154,139.86527280241566,250.75845338147377
0202028-135,02,020,28-135,430.00020521726265,1967.000528325293,35.00000873264947,28.000008732649473,10,4.3663247365188636e-06,0,479.0001746529895,1917.000593820164,57.00002619794842,465.0002139499121,1932.0005195926435
0202028-140,02,020,28-140,1113,854,40,8,0,0,0,1260,678,33,1192,793
0202028-145,02,020,28-145,584,454,19,4,0,3,0,638,422,9,628,430
0205037-746,02,050,37-746,3.0262068900030443,43.49819301003669,0,0.9999585669893221,2.471429855157355e-7,0.02631578947368421,0,12.13108593561693,22.288557990653075,12.078440998157763,19.183422774982247,26.31470366341602
0205038-800,02,050,38-800,107.94277819804672,106.83541746272056,0.9812471001376231,1.3151344756079324,4.370171567844237,1.2038386837844959,0.05564789591171822,74.11477859980049,110.83646878545608,34.97619038611901,111.86776659859721,112.85461088164304
0205038-802,02,050,38-802,50.050667702515135,81.21428304140176,0,5.666112875306834,7.554816916298636,3.7774084163531274,0.9443521040882819,25.497511909518856,99.15697368781817,27.386212105261126,50.050667284553235,100.1013260426836
0205038-804,02,050,38-804,40.03272057226114,79.04338414337212,0.002399816336159187,1.0009619006891364,1.002389210690199,0.9999884337094435,0,54.03834301981042,48.03647099569186,15.007091735587084,66.05072292996286,48.03170089123193
0205038-806,02,050,38-806,18.15736304640118,26.093407554790485,0.08339041263595795,2,4.017722603158989,5.03022260315899,1.0531678094769685,12.629965776903411,30.194520570585432,12.630565078974737,24.101198665355117,34.334075364267456
0205038-808,02,050,38-808,292,433,17,7,1,7,5,289,408,56,323,425
0205038-810,02,050,38-810,309.18476629225904,361.1971568834802,17.33746353040705,5.779154510135684,3.852769673423789,0.9631924183559473,0,308.22157387390314,341.9333085163613,48.15962091779736,338.08053884293747,352.5284251182767
0205038-812,02,050,38-812,26,153,9,9,1,3,1,35,134,27,43,154
0205038-814,02,050,38-814,13.97325993737806,13.973321626371945,0.9980854761867929,1.581769073977975e-6,0.9980870579558668,1.581769073977975e-6,0,14.971367558331886,13.973272591530652,0.9981092027229026,18.96372844430795,10.979016162970273
0205038-816,02,050,38-816,0.9736842105263158,18.5,0,0,0,0.9736842105263158,0,4.868421052631579,10.710526315789473,2.9210526315789473,6.815789473684211,11.68421052631579
