GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREIFUE,G16PREOWRI,G16USSRMUR,G16USSDMET,G16USSLMIL,G16USSICRA,G16USSIGIA,G16USSISTO,G16USSOWRI,G16HALRYOU,G16HALDLIN,G16HALLMCD,G16HALISOU,G16HALOWRI
0216437-716,02,164,37-716,11.786206635755358,4.292789660438151,2.013166049365585,0,1,1.2532915123413961,0,14.319121759169322,0.25329151234139624,4.013166049365585,0,0,1.2532915123413961,0,14.559247222145132,4.759874537024189,1.2664575617069813,0.25329151234139624,0
0216437-726,02,164,37-726,66.46187489293901,60.67484318792983,8.121822907744917,4.2436458154898355,5.218229077449179,0.12182290774491784,7.974583261959343,94.57843701822557,6.852760354214425,32.070989431663605,1,0.3654687232347535,9.949166523918686,0,81.72567666401115,54.385624678817045,9.096406169704261,0.730937446469507,0
0216437-728,02,164,37-728,15,32,24,1,2,3,1,52,4,15,1,1,4,0,51,17,9,1,0
0216437-730,02,164,37-730,19.549845078460915,29.396598500270716,11.569189102715074,4.36897564786016,1.4609929078014185,0.09292386803638382,8.27659574468085,45.404193352830184,7.7550368387878414,9.524076753119777,0.09219858156028368,0.0923799031793087,8.753042300978565,1,46.94066194236242,22.09254056935875,3.310404187577843,0.3693382910982098,0
0216437-738,02,164,37-738,10.538125107060987,55.32515681207017,0.8781770922550821,1.7563541845101642,8.781770922550821,0.8781770922550821,7.025416738040657,47.421562981774436,6.147239645785575,14.929010568336397,0,2.6345312767652467,14.050833476081314,0,41.27432333598886,31.61437532118296,7.90359383029574,5.269062553530493,0
0216437-740,02,164,37-740,16,3,3,1,1,2,1,14,1,11,0,0,0,1,18,5,3,0,0
0216437-742,02,164,37-742,29.052669813355017,9.03098224315001,4,2,2.006196448630002,0.003098224315000991,3.0030982243150013,31.071259159245024,3.0030982243150013,14.009294672945002,0.003098224315000991,0,1.0154911215750049,0,33.065062710615024,8.027884018835008,4.012392897260004,1,0
0217007-100,02,170,07-100,745,201,75,15,25,6,34,462,63,448,13,4,85,0,614,239,174,28,8
0217007-105,02,170,07-105,588,142,17,3,6,0,17,313,47,328,5,7,49,4,470,148,92,32,5
0217007-110,02,170,07-110,817,249,44,25.000000000000004,14,0,36,459.00000000000006,97,500,7,9,90,2,689,257,169,32,9
0217007-115,02,170,07-115,640.2798239800151,152.2554024656705,54.26576601847246,1.0912175835946145,11.074198313697366,8.015334381349684,15.168247963960663,355.42353972265107,38.59463506054667,375.34280796145737,21.066517688079948,6.010333455477284,72.49754723692072,2.014339570152233,502.26487816960775,190.59322480852177,118.75731751832333,46.18039180502403,5.063864858220082
0217007-120,02,170,07-120,1207.7201760199848,337.7445975343295,81.73423398152754,19.908782416405387,20.925801686302634,6.984665618650317,42.83175203603934,680.5764602773489,144.40536493945334,672.6571920385426,23.933482311920052,4.989666544522717,139.50245276307928,3.985660429847767,927.7351218303922,427.40677519147823,216.24268248167667,59.81960819497597,15.936135141779918
0217007-125,02,170,07-125,1337.1752265861028,310.6102719033233,108.00302114803625,29.145015105740182,17.12084592145015,5.0120845921450154,32.32628398791541,720.9123867069486,109.38972809667675,763.4712990936556,23.169184290030213,15.04833836858006,147.9667673716012,6.0604229607250755,1070.0332326283988,386.81873111782477,228.46525679758307,70.41087613293051,8.108761329305135
0217007-130,02,170,07-130,616,124,52,9,3,1,15.000000000000002,280.00000000000006,69,391,11,1,42,4,482.00000000000006,167,124,22,6
0217008-130,02,170,08-130,497.00000000000006,104,23,22,9,1,12,232,43,302,5,10,56,0,381,132,97,27.000000000000004,6
0217008-135,02,170,08-135,1082.7951394920904,214.89166372568658,65.83158956817131,11.13229834039089,11.245696917868795,10,12.207897392042826,476.2936210500237,81.02058719730114,682.9568001863663,15.207897392042828,10.075599051651936,104.98278767147518,0.05669928873895247,843.3364828790142,267.91225092298777,172.381370127036,52.77489027943235,7.207897392042826
0217008-140,02,170,08-140,1171,220,83,16,23,1,40,577,81,735,7,19,75,10,934,293,209,48,13
0217008-145,02,170,08-145,807,164,57,14,18,3,21,381,93,501,15,11,52,2,620,219,160,34,7
0217008-150,02,170,08-150,1174.8899185953142,249.7288790243314,61.243699845118016,15.455542942090819,18.168741850150607,7.096606323916825,31.999593481419183,595.1931644172246,85.4301343592671,690.1923847321739,25.350791085615704,5.155867139258244,95.27426065352478,10.166912322365075,916.987237622663,309.2657295055373,220.66659177491775,35.294231418850096,11.24696799854654
0217008-155,02,170,08-155,1409.3934975269924,282.13816865124323,75.97025464644157,9.870836234928198,20.72271433413109,4.922979201426782,33.5153523058194,635.26319515532,95.69771121225531,880.7403092753119,10.869647979256202,12.81396182775228,143.93579943421645,3.9490452891734114,1113.3643678314345,349.2826004952232,225.92024840269002,58.23686759327317,13.823435500112272
0217009-622,02,170,09-622,1048.3442905598986,297.63887396668997,107.3988667995713,21.23093929833587,21.11102323255614,8.152127667435517,32.38764662774237,622.0661846806412,107.00237734876511,617.3049469119476,20.092284126094928,5.124266744652166,131.28537476309089,5.000457966197099,904.0131941923376,344.782566767099,182.44738621138387,41.447032202885865,11.062133372326082
0217009-628,02,170,09-628,1327.6959104451264,397.9088647267774,95.97801762253927,20.995191354930466,23.994504405634817,5.998626101408704,46.98923779436818,705.8383379324242,163.96244677183793,826.8106309774997,7.998168135211605,15.99633627042321,148.96588151831614,1.9995420338029013,1110.7455997775116,432.90085031832814,263.939548461983,42.99015372676238,7.998168135211605
0217009-640,02,170,09-640,128.0022586064006,50.00110733738992,4.000248938225807,3.0001130961110936,1.000028261837254,0,5.0001016743472055,69.00127061238658,10.000446819848664,86.00150193034577,2.264847946526423e-5,1.0000169375975214,19.0004237325105,0,115.00161942076271,57.00117494149377,7.00070176152888,4.000113047349016,1.1324239732632116e-5
0217009-645,02,170,09-645,459.9597989949749,166.45226130653268,24.623115577889447,14.773869346733669,6.894472361809045,9.849246231155778,24.623115577889447,255.09547738693468,63.03517587939699,268.88442211055275,5.909547738693467,7.8793969849246235,81.74874371859296,0,376.24120603015075,175.31658291457285,90.61306532663316,28.56281407035176,3.9396984924623117
0217010-005,02,170,10-005,470,137,33,11,6,1,30.999999999999996,272,48,283,6,6,60,0,393,157,89,22,2
0217010-010,02,170,10-010,868,188,55,10,21,6,36,478,70,524,13,6,64,7,687,222,181,35,18
0217010-015,02,170,10-015,1085,223,78,23,20,1,39,560,76,696,8,4,100,0,850,308,209,50,17
0217010-020,02,170,10-020,691.3564891772807,156.08824411041664,45.184969653579934,7.403315610688244,13.01821018294824,0.12607876242351593,11.547381493313587,339.2091855346014,54.82393557943649,430.71328891022563,11.248669186165413,4.089563484414487,54.171588264965436,2.9535178881721738,505.848497178316,210.81347781285166,128.87128308391908,41.399722439413125,11.042036223839304
0217010-025,02,170,10-025,515.7534558061177,103.92945388005548,46.619983720156725,13.596885521913045,3.885974211025326,2.9134615384615383,14.56845746850072,239.90980686111618,28.169105894318218,355.4863127629681,9.71268823773149,4.181004338281293e-4,48.56312761333207,3.13575325371097e-4,410.8497123266547,133.06971362052752,107.81124708674251,23.311977837139047,4.856919006962258
0217010-030,02,170,10-030,505.68030705147123,178.41631180462434,61.114278903422964,13.800042370483183,2.957308903465331,1.9714299387746443,9.857444885419278,280.9320953800451,85.75751392777342,297.69082421454186,14.785855737052524,8.87156592072859,67.03033986902324,5.914191419141914,441.60504574978756,189.26080002138818,80.83054623480979,22.671870683697158,3.942974674261644
0217010-035,02,170,10-035,211.97864378330428,327.8722315411978,38.631469496574155,27.73546909562124,2.97165953487326,4.952755943190841,10.896060090540471,199.1012186813022,123.81867474381767,141.6489751681857,2.97165953487326,6.933837429111532,126.79069241621627,3.9621928166351608,180.28087741426964,319.9478608303244,60.423694134433326,25.75440253209744,1.9810964083175804
0217010-040,02,170,10-040,203.34725422380015,52.915621914264676,15.577963740833955,6.506776017556728,3.1592585622481244,2.096813281444259,5.389453860958285,112.67432649640159,20.83216536075466,111.41260866258727,6.288970011963643,1.2493491912512693,32.7941177066924,2.1403769177846703,180.8581681861878,51.28219784344316,34.70886699993233,9.821909428292814,0.13477334972058483
0217010-045,02,170,10-045,1034.6965551727478,296.74917649242343,59.06958263329702,15.954499015689878,13.039195103933015,2.016496256675309,28.01798234819921,488.6176427046936,105.88046379260085,602.3515052147361,22.91462684331153,16.965704994656075,172.73207779225896,0.023662805028346067,738.8580177379202,406.43192044934847,199.05301175166554,49.02851125872008,11.010867444743532
0217010-050,02,170,10-050,224,46,22,3,12,0,7,114,22,149,3,3,19,2,174,49,72,10,4
0217010-055,02,170,10-055,454,103,39,3,9,0.9999999999999999,26,243,39,269,0.9999999999999999,9,52,0,386,123,85.99999999999999,18,0
0217011-055,02,170,11-055,972.0002273323977,230.0001061294685,90.00002983929984,21.00000553718966,6.000003691459774,3.0000024609731826,67.00001599632569,563.0001621166084,79.00003291551631,585.0001304315787,16.00000307621648,9.000005229568012,111.00004706611212,5.000000922864944,834.0001941092597,280.0001295087137,192.0000393755709,41.00001353535251,8.000003076216478
