GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39003002AAC,39,003,002AAC,404.4127436275694,119.5574303322812,5.015916146638522,1.0331671270383704
39003002AAE,39,003,002AAE,400.8555977158942,135.134436655696,8.010506249517892,1.0082690165429895
39003002AAG,39,003,002AAG,180.07627372951222,47.01539911258291,10.001082750103485,6.015278352700536e-4
39003002AAH,39,003,002AAH,276.25625663663084,225.01798828332704,6.730925719339184,0.9611936271976382
39003002AAJ,39,003,002AAJ,358.0270879878373,204.16420719967581,7.89040414298264,0.98630051787283
39003002AAK,39,003,002AAK,195,176,10,7
39003002AAO,39,003,002AAO,387.50647850547114,308.50581587500164,11.610092460457103,1.0844669691698088
39003002AAP,39,003,002AAP,363.9562564862987,250.7857787231461,7.242910576841765,0.9053638221052206
39003002AAQ,39,003,002AAQ,376.06896800479836,282.03823226352955,15.00074965222607,2.000499768150713
39003002AAW,39,003,002AAW,168,229,10,4
39003002AAX,39,003,002AAX,146,199,3,2
39003002AAY,39,003,002AAY,275.4253697903212,194.42719541159153,3.099701358670894,3.009477782454909
39003002ABE,39,003,002ABE,407,275,18,3
39003002ABF,39,003,002ABF,199,267,7,0
39003002ABH,39,003,002ABH,298.1619770561332,202.768716313954,1.9068072737806714,0.008455460880231974
39003002ABI,39,003,002ABI,376,332,11,4
39003002ABP,39,003,002ABP,105,137,3,0
39003002ABQ,39,003,002ABQ,66.09525664760821,175.5323165601635,1.0074711096163298,3
39003002ABR,39,003,002ABR,51.968828436882696,284.9257333106438,4.0030992720176855,0
39003002ABT,39,003,002ABT,200.48906316352594,229.4486125288564,8.233299054284196,3.0338458236936092
39003002ABW,39,003,002ABW,208.11066656251415,265.3865392624979,8.013010517267665,0.9966580082398805
39003002ABX,39,003,002ABX,150,247,6,4
39003002ABZ,39,003,002ABZ,49.24893966721532,383.85040402279344,2.9862949739826212,0.9974081982345882
39003002ACD,39,003,002ACD,419.77570152811927,313.4973836530268,5.830058191630817,2.8871003089635785
