GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39093047AEP,39,093,047AEP,212.9458334216707,358.1284296099311,19.040930727758152,5.033017511346735,0.016256887569122993,230.96065238207655,319.9165130538618,8.057163188173208,18.074427548159306,13.084761736996901
39093047AEQ,39,093,047AEQ,211.5452274337878,271.21926810621994,10.932786030035482,6.950256789067395,2.976574955465504,217.5160721594512,225.54109640242493,11.9141641839653,16.884952895703577,17.87222932121086
39093047AER,39,093,047AER,164.42548162964766,137.31911122223573,11.023421007136568,1.007807002378856,4.007807002378856,158.40303649780844,133.31130421985688,3.015614004757712,11.023421007136568,5.00975875297357
39093047AEW,39,093,047AEW,70.00912842643162,447.04145827004356,11.001901755506587,5.000760702202634,3.000760702202635,101.01055474306155,373.0380351101317,16.001236141079282,23.00142631662994,4.001045965528623
39093047AEX,39,093,047AEX,95.99087157356838,435.9585417299564,19.998098244493413,7.999239297797366,7.999239297797366,110.98944525693844,399.9619648898683,12.998763858920718,14.99857368337006,10.998954034471376
39093047AEY,39,093,047AEY,141,345,12,10,5,139,321,5,12,17
39093047AEZ,39,093,047AEZ,100,554,10,6,7,109,484,13,18,18
39093047AFD,39,093,047AFD,184.25899719575,477.40500053954327,22.679728184187947,4.508418931213315,1.079900548924583,188.7248858978466,437.0829256937638,12.664896758086723,23.3159076007437,6.891242952257689
39093047AFE,39,093,047AFE,238.58662292570747,437.54576361744927,18.040859308258234,6.014592610092226,7.002918522018445,252.52825248533858,377.5486821394677,26.01751113211067,29.052533396332013,11.017511132110672
39093047AFF,39,093,047AFF,186.65181113501103,431.19562786269927,15.970208439359233,1.9962760549199041,2.994414082379856,193.6387773272307,384.28314057208155,14.972070411899281,11.977656329519425,15.970208439359233
39093047AFG,39,093,047AFG,158.814189990147,518.9651920020827,22.819906885083352,6.942648690406507,5.9519799485867555,191.5416695709466,452.48946466302834,7.94571131748797,19.841703716993237,19.84524482706801
39093047AFL,39,093,047AFL,269.6158439468605,501.97568036651836,12.745476259306132,4.902106253579281,4.902106253579281,293.145953964041,448.0525115771463,13.725897510021987,21.569267515748837,12.745476259306132
39093047AFM,39,093,047AFM,211,325,16,7,5,252,279,7,10,4
39093047AFN,39,093,047AFN,147,419,14,9,5,158,386,16,14,7
