GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46081VTD-R2,46,081,VTD-R2,1702.1732515567066,524.1044380303654,141.24225599547856,31.303325120556526,1873.6305346596196,510.340187454459,1765.8189544376482,604.3900967495508,1873.5944624812034,475.2519453041445
46081VTD-S1,46,081,VTD-S1,763.0594906654288,486.42118756819553,148.7778269945881,24.341414747401892,973.9610167132895,452.4609772710015,909.6082280151768,509.00968290967995,956.5163287801431,415.5133514639094
46081VTD-S2,46,081,VTD-S2,1018.7698062786484,490.8884365818305,155.96450299127366,27.99364219176452,1195.729548781844,505.88497268894105,1136.7428581437596,558.8730102780445,1172.7348246953159,455.89637282678694
46081VTD-S3,46,081,VTD-S3,1175.65340309352,617.9877027121933,147.1769702717625,18.380749601828718,1413.4071266054127,533.8389204081826,1343.4604021156504,605.3606806341015,1426.8613534017793,461.83150212515733
46081VTD-SO,46,081,VTD-SO,193,49,16,4,201,56,196,60,210,54
46081VTD-W1,46,081,VTD-W1,40.56018872996422,9.840661964009291,3.957091583411143,0.46860295066710905,42.33046654359552,12.860547646086216,39.935384795741406,15.515964366533167,41.80979659840984,12.079542728307699
46081VTD-W2,46,081,VTD-W2,130.054081676949,31.553557685421517,12.688203090434047,1.502550365972453,135.7303830595116,41.23666004391066,128.05068118898572,49.75111211775456,134.06088265287553,38.73240943395657
46081VTD-W3,46,081,VTD-W3,277.1729618699888,67.24735531890613,27.041264572681833,3.2022550151860067,289.2703697051359,87.88410986121596,272.9032885164075,106.03022161393666,285.7123085771515,82.54701816923928
46081VTD-WW,46,081,VTD-WW,329.2895564606781,79.89181793461896,32.12581038640762,3.8043722826009025,343.66162952828154,104.40888375582477,324.2170600838769,125.96699335722988,339.43454921428054,98.06826328482327
46083VTD-02,46,083,VTD-02,187.69632164242944,58.291702309666384,10.051753635585971,1.004704875962361,183.7715996578272,76.26347305389221,167.68691189050472,90.33875106928998,208.8092386655261,49.17408041060736
