GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16055553066,16,055,553066,532.2834984634443,181.3410602951209,30.055789668578704,4.010413707830102,27.062854814470832,10.011158842810548,3.0115291375637523,0.00371885669117626,0,583.3902412414399,173.34998373299013,34.095954229938215
16055553069,16,055,553069,442,242,26,0,9,9,0,0,0,484,206,30
16055554037,16,055,554037,893.788603544532,259.9432933132672,48.98957072021759,4.998609455107894,35.992286682517005,3.000120649362584,9.997496519604697,1.9994326776676012,0.9996885778949096,967.7731092841336,226.9519045864017,51.98769258198003
16055554038,16,055,554038,710.0598518865886,361.02166965570774,35.00431409621641,5.0001487619384974,62.00312400070844,11.000942158943815,5.000545460441156,1.0000495873128323,0,775.0665957611338,350.02018203632275,45.003471111898264
16055554039,16,055,554039,1206.8731332069287,436.9540672837016,86.99085550041657,2.9996846724281574,62.99337812099131,18.99800292537833,10.998843798903245,0.9998948908093859,0,1342.8588383570052,406.95722055942,69.99264235665702
16055554040,16,055,554040,808,368,61,3,39,17,1,0,3,887,325,67
16055554042,16,055,554042,598,335,24,3,39,17,6,3,0,673,310,36
16055554043,16,055,554043,658.1461471907844,264.50250671977767,23.2432014407523,1.0165989934953417,10.082994967476708,13.022728194280756,9.056295885708208,1.0014428697533084,0,727.4914945755723,236.21598323843233,25.289385255522763
16055554044,16,055,554044,648,398,47,0,24,14,4,0,0,723,367,44
16055554045,16,055,554045,630,326,49,3,28,10,9,0,1,711,291,41
16055554046,16,055,554046,708,293,51,3,34,6,1,0,0,781,282,44
16055554047,16,055,554047,877,370,49,3,22,10,10,1,0,945,334,45
16055554048,16,055,554048,363,174,33,2,6,15,4,0,0,385,173,41
16055554049,16,055,554049,481.3940643026668,219.62083420938558,41.06997429381538,1.000876484854463,10.165341556543655,12.990971254238579,3.0775139670846627,2.9890140886504297,0.9940688018979834,500.8668322729857,216.48205109569258,35.098753799471
16055554050,16,055,554050,355,193,12,0,24,10,9,0,0,410,170,13
16055554051,16,055,554051,492.81813852350126,282.3546361373652,45.221084273533414,2.019115292218944,10.095576461094721,10.995128948576387,1.0865612571489356,0.9985571302466915,0,509.31207685299904,263.9625881901391,58.246329030191525
16055554052,16,055,554052,409,189,33,1,21,10,3,0,0,441,204,36
16055554053,16,055,554053,462.1306340718105,290.23376623376623,53.20244461420932,2.0152788388082508,17.04201680672269,18.04583651642475,11.011459129106187,0.0038197097020626434,0,470.3789152024446,320.26432391138275,47.08785332314744
16055554054,16,055,554054,285.03096399071234,311.089926285302,51.03369843382319,3.8517172469103413,10.605440674783473,11.56059454781692,2.886455303574514,0.9629293117275853,0,347.6478057445654,318.77003446304025,22.146596625865048
16055554055,16,055,554055,252.5072399479813,261.676353762834,33.086176750919094,8.006746154728393,5.045835218975977,28.031472761497547,1.000244917198136,0.001686538682098146,0,297.6714315492635,249.64169908380924,36.037185490072204
16055554056,16,055,554056,230,270,43,1,10,12,3,3,0,294,272,19
16055554057,16,055,554057,369,275,41,1,18,12,4,0,0,417,274,29
