GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16059598008,16,059,598008,151.0000777873272,24.000010037074478,5,0,6.273171549375391e-7,0,0,142.00007841464435,40.000007527805856,11,1.2546343098750783e-6
16059598009,16,059,598009,183.64565585405444,23.984092541106264,0.0031545741324921135,0,0,0,0,169.6942359411431,49.89522433971271,6.974132669389433,3.9865706285650293
16061616001,16,061,616001,321.4002118177309,92.51881172284402,7.303937154687197,2.1066612279226242,1.092427517198249,2.1446337754199822,0.07327586206896552,311.04082014621207,95.18364831899248,8.024603088136981,9.911541860214358
16061616002,16,061,616002,225.94973103448274,48.83649655172414,1.472406896551724,0.4902689655172414,0.0016,0.9773379310344827,0.4870689655172414,214.24727586206896,51.275041379310345,5.368958620689655,4.885089655172414
16061616003,16,061,616003,380.45058873002523,83.86795626576955,2.532380151387721,0.5250210260723297,0.2134146341463415,1.8793103448275863,0.4396551724137931,355.5330109335576,87.74915895710681,10.348402018502943,7.823380992430614
16061616004,16,061,616004,288.4063750024244,57.55895029437542,2.8715569821743925,0,1.9120044575442694,0.9595525246301229,0.007100591715976331,267.4524324783132,64.19061086619456,7.648017830177078,7.633816646745125
16061616005,16,061,616005,243.3682561377901,59.28255520961278,2.141199615783461,0,1.050398443853485,0.9849112426035503,0.9502958579881656,242.45590865112683,55.16422000711289,4.1460245054717495,2.1836891562263183
16061616006,16,061,616006,30.385897435897437,9.076923076923077,0.0038461538461538464,0,0.002564102564102564,0.001282051282051282,0,27.357692307692307,11.085897435897436,0.010256410256410256,1.0102564102564102
16061616007,16,061,616007,34.08717948717948,6.615384615384615,0.03076923076923077,0,0.020512820512820513,0.010256410256410256,0,34.86153846153846,2.687179487179487,3.0820512820512818,0.08205128205128205
16061616008,16,061,616008,0.14717040860483338,0.053038686217975674,0.003344782013746213,0,0.0023891300098187237,0,0,0.13187997654199354,0.06880694428277925,0.005256086021601192,4.7782600196374475e-4
16063632601,16,063,632601,516.5666357394542,209.27070379807705,6.061743154074962,7.062531125159108,5.0307224558086325,4.0050807276987355,2.014630691576264,487.32354074972244,221.3606725062355,31.262947215786053,5.049313578942108
16063632603,16,063,632603,298.5726275885897,101.67587075595775,2.248617561342819,5.9284685492678175,2.057894596565337,0.054492275650709326,1.015324229369991,289.52366506756766,97.77083353559803,21.049347438516264,2.166879147866755
16063632604,16,063,632604,354.5120863356963,66.30635007374315,9.605401753625351,0.0020007780088231635,2.882087374289664,1.920946965524482,0.9608069457637115,314.1695323556704,102.80267510370095,10.572211033415533,6.723981305338628
16063632605,16,063,632605,257.03165015155685,35.31589479024623,3.019330313152717,1.0076687239282558,2.0093047963130175,0.006933552201845685,0.0034667761009228425,239.94629981475438,47.377518234737245,8.047994325017909,3.0144076447987027
16063632606,16,063,632606,38.29931972789115,0.9574829931972789,0,0,0,0,0,36.3843537414966,0,0,1.9149659863945578
16065653401,16,065,653401,310.7340621526735,14.676635040537137,2.955114993973152,1.9403946838501813,0.009893992932862191,1.9403946838501813,0,304.8535141435258,21.487804419878497,6.86063934400567,8.771352049057265
16065653402,16,065,653402,1124.2088150870677,126.62269709329018,33.57515589018394,4.344904901210484,6.138826816171878,2.4845717180926843,2.814104495397032,1137.767313396867,134.9355188040752,34.38158981082489,16.906477298196826
16065653403,16,065,653403,871.6679719591598,101.26652215539316,25.51182114361527,2.5224769979313377,1.7010445788460098,0.2616234540230228,1.7737229099361849,877.1058532637534,82.11489137099996,32.03978472505343,15.778093024588484
16065653404,16,065,653404,682.6807403460379,53.02992577079681,15.033766458828964,1.0019100607026734,2.4371301385598034,0.20313677943940928,0.3867852673956803,672.1743466680633,52.205862578305485,22.399636865297836,12.152163077288787
16065653405,16,065,653405,605.210225295605,94.06852538827009,40.97731347717785,1.576411329104398,1.5576491700314041,5.4986774927924,3.1340604991358023,582.5586447733941,101.74419828398915,40.98669455671435,23.627407777492976
16065653406,16,065,653406,849.8121327268851,133.76355894371272,13.473224435705545,9.623048103757498,1.9246096207514996,3.849219241502999,0,856.5453951281803,121.25359640882796,32.72282997485238,11.547976754657347
16065653407,16,065,653407,897.9812400643127,165.36639277660822,49.414986379263176,2.4203430607587535,1.0767231443600493,5.196597678084143,2.1018328386838476,891.7028815014152,149.2543267358653,52.01158973217617,27.48601520221169
16065653408,16,065,653408,1962.5496902106568,453.7006195786865,132.18975629904998,17.888062783973567,9.466005782734408,9.776951672862452,10.288888888888888,1992.3453944650971,393.6175134242049,145.50202395704255,67.88442792234613
16065653409,16,065,653409,524.5836431226766,144.83271375464685,36.765799256505574,2.2230483271375463,4.178438661710037,4.223048327137547,0,525.7434944237918,123.27137546468401,34.45353159851301,16.20446096654275
16065653410,16,065,653410,1057.8666666666668,379.46666666666664,61.044444444444444,6.888888888888888,2.3555555555555556,14,2.7111111111111112,1013.911111111111,226.11111111111111,85.04444444444444,38.91111111111111
16065653411,16,065,653411,168.06603773584905,70.33018867924528,14.858490566037736,0.990566037735849,1.320754716981132,1.320754716981132,0,161.79245283018867,53.82075471698113,15.188679245283017,5.943396226415094
16065653412,16,065,653412,0,0,0,0,0,0,0,0,0,0,0
16065653413,16,065,653413,202.9090909090909,52.98181818181818,7.890909090909091,1.1272727272727272,2.8181818181818183,1.690909090909091,2.8181818181818183,195.01818181818183,49.03636363636364,16.90909090909091,4.509090909090909
