GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16039392309,16,039,392309,454.51604852023587,255.74697401247676,6.804420198866028,13.37127090793411,0,472.14477800045,255.55139365684528,477.0110769150124,242.49945842884472,609.5083179424837,610.8795887949681,495.49616076854784,220.82873920451684,449.0508517529915,275.89283343629506
16039392310,16,039,392310,330,226,4,7,0,333,218,340,213,456,456,359,185,313,239
16039392311,16,039,392311,333,167,8,7,0,331,173,346,154,417,414,358,145,319,190
16039392312,16,039,392312,438,226,10,11,0,434,238,480,192,580,571,482,183,410,263
16039392313,16,039,392313,328,172,6,6,0,316,186,341,165,416,418,352,148,288,213
16039392314,16,039,392314,387.4282828282828,182.26060606060605,5.975757575757576,4.97979797979798,0,390.4161616161616,176.28484848484848,408.34343434343435,155.36969696969697,475.07272727272726,472.08484848484846,412.32727272727277,148.3979797979798,369.50101010101014,203.1757575757576
16039392315,16,039,392315,633,329,13,14,0,655,334,675,302,853,856,684,291,598,386
16039392316,16,039,392316,447.48398486051434,193.25304167980283,12.195580300181733,5.628729369314645,0,441.8552554911997,205.44862197998458,454.9889573529339,189.50055543359306,553.4917213159401,559.1204506852548,477.5038748301925,164.17127327167717,394.9491774135777,256.1071863038164
16039392317,16,039,392317,68.65331570992892,10.945123610123291,5.305022585909593e-5,2.6525112929547964e-4,0,67.65864688503555,8.95536157835618,65.6688848433552,10.945017519584821,60.69437363870258,63.67922890212656,67.65838163390626,10.94512362003654,68.65347485564988,11.940163786597672
16039392318,16,039,392318,53.57573323179611,16.156538609306228,1.0041296528863746,4.777603614477433,0,58.36061181197867,18.022978767510832,60.324019347649184,14.145257136327565,63.50368716737078,64.43689869805927,53.72280927933687,15.988457018691562,56.35053596701462,18.17812823447049
16041413201,16,041,413201,235,43.99999999999999,1,8,0,233,54,236,48,268,257,249,38,133,152
16041413202,16,041,413202,245.99999999999997,32,11,10,0,245,53,254,45,277,269,251,38,152,146
16041413203,16,041,413203,190.8176720804331,18.112153678176607,6.895227696647105,5.147058823529412,0,196.80633274191348,25.007381374823712,195.07440516809973,30.170681497657068,215.72760565943315,207.11669168827623,201.0630658295801,22.450093262362948,129.4073290569128,93.29671079568719
16041413204,16,041,413204,201,37,6,4,0,207,38,201.99999999999997,46.99999999999999,239,224.99999999999997,206,38,127,120.99999999999999
16041413205,16,041,413205,214.3616162866838,39.03232324350247,4.008080810875616,8.002020202718905,0,210.3515152730893,52.03838385165918,213.3474748676515,47.0484848652537,251.37373750299724,236.3616162866838,221.35757588124602,39.03232324350247,122.23030310995506,142.1595960147934
16041413206,16,041,413206,77.35089589334899,6.216646143469975,2.015839542230484,0.16912751677852347,0,76.45170095444851,8.31704944408972,75.51626440480979,9.2404054568157,79.72915154296203,77.71331200073155,74.5204251706073,9.22832491990295,46.274510505555014,40.42551567682444
16041413207,16,041,413207,161.95779144774698,9.997394533811542,1.9994789067623084,9.997394533811542,0,162.95753090112814,15.995831254098468,162.95753090112814,17.995310160860775,174.954404341702,169.9557070747962,165.9567492612716,10.997133987192697,86.97733244416041,94.97524807120965
16041413208,16,041,413208,243.04987418389652,28.711307618004987,5.091797572887597,14.693840524714433,7.162046444548516e-4,250.96112466936742,40.72283866037005,254.6320698194485,36.632601498182126,280.79248174818235,275.41851906373796,254.63709978164357,34.365986475033445,185.51654897076193,103.34438042317
16041413209,16,041,413209,209.87020477510507,27.307006170079585,1.9010551730304928,6.618148081910042,0,210.7520119824734,33.97728695341143,209.81807207368325,34.90648752570867,233.4082759545739,225.86566663685952,215.4975409103103,27.335442189036932,137.10375122954486,101.96977555217741
16041413210,16,041,413210,269,41,6,22,0,294,42,291,47,313,309,297,38,222,115
16041413211,16,041,413211,133,13,4,12,0,140,21,144,18,149,144,147,13,115,43
16041413212,16,041,413212,118.99685238508768,19.035690235690236,2.5809436750613224,5.225552660846779,0,123.40453402806344,20.881277328336154,123.19173941526883,16.653082864847573,133.6457942928531,130.22309672897907,124.08270030622973,16.25137651020004,82.17454179807122,62.11126955832838
