GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05145000002,05,145,000002,231.47053912218084,39.58554590263666,6.924259173525387,229.5033936293629,41.55982774975689,6.921404631804472,228.49198910117502,42.56552319450295,5.939972791686185,225.52913905963422,49.4812187428656,5.934263708244356,235.42195735814224,41.56696410405918,236.41908917772557,38.599832249937,220.59628898355456,49.47550965942377,7.911400097085503
05145000003,05,145,000003,171.20085876319288,60.501148156333954,8.51415050302356,168.3549241348367,66.18352713359266,7.576264247714439,159.84983001173188,75.64885919544686,7.563258210549528,157.96967394433256,74.70630011700005,7.558585387411853,173.10423431310227,63.342265328374154,174.9934467604203,64.28949722995863,154.19577723965583,76.58689008393428,9.442980378413932
05145000004,05,145,000004,140.57649721206812,42.34970356279693,7.322615429063106,136.4697257484131,48.563534059155266,8.279833610220113,131.1373300574379,57.907932452284015,5.307160926906657,132.05982078166255,57.86687653344248,4.30888682690811,144.6422127568816,45.455036695498805,145.70994177074482,46.49436671433889,130.91947262298004,56.95387850208161,4.375177509818201
05145000005,05,145,000005,213.5178970917226,31.488814317673377,7.064317673378076,215.46644295302013,36.55313199105145,3.064317673378076,203.40212527964206,46.5917225950783,5.115771812080537,204.41498881431767,46.578859060402685,5.1029082774049215,216.55648769574944,36.51454138702461,219.54362416107384,32.54026845637584,204.4407158836689,45.60458612975391,4.064317673378076
05145000006,05,145,000006,153.92166433868178,44.03404521750622,6.283237851882087,150.42545205641173,49.14362006035517,5.804999755746287,144.51014147843046,53.161230588117085,9.697906509059301,145.39738845137188,52.092611580394774,8.922000173728689,158.2624994369917,45.83132934265802,157.59719358983367,47.607736924812116,147.25568427373864,54.415264323194876,5.745898212151263
05145000007,05,145,000007,268.4617254234459,117.5863671318806,15.493540589838972,271.2321696091116,118.96680796112588,14.343470370508578,258.536217528016,126.52926915410804,18.49076471140632,261.9327128752314,128.10310915769415,10.478825680696168,286.11459506883335,106.33870711211836,289.1984239026753,101.2810489142396,259.6755157253066,126.33035167608665,15.453469840313632
05145000008,05,145,000008,251.03024943612542,72.81793495093714,16.288222291656993,246.23959582093218,82.3992421813236,12.455699399502405,226.11885063712057,97.72933374994194,17.24635301469564,236.6582885905457,88.14802651955549,14.371960845579698,248.15585726700945,87.18989579651684,251.03024943612542,84.3155036274009,229.95137352927517,92.93868013474872,15.330091568618345
05145000009,05,145,000009,333.24082222809363,104.06944709172527,9.016323480043761,329.2360960705298,102.07945276408526,14.012088801062141,316.21603593301364,112.09473140831443,19.016759622902676,311.2271971126347,123.08422771444525,14.014067801244842,347.23707902769416,98.08462160743498,350.23988152079846,94.08187445005392,311.22027061199526,122.08923055062525,16.014946629889707
05145000010,05,145,000010,217.8225742445607,43.423999048585436,8.813814326967073,220.67180781756795,40.543210804329604,8.853607848972388,213.48436527243513,43.662760180617326,12.841913973806847,206.82247736412816,58.347891979576886,5.902872143241057,225.6468505251867,43.480270272104235,220.8460588753243,46.33494123231145,203.69065248166214,54.47756568897998,10.967141477405562
05145000011,05,145,000011,24.999328787498726,9.99973151499949,1.999946302999898,25.999301938998673,8.999758363499542,0.999973151499949,20.99943618149893,10.999704666499438,1.999946302999898,22.999382484498827,12.999650969499337,0.999973151499949,27.999248241998572,8.999758363499542,27.999248241998572,6.999812060499643,22.999382484498827,11.999677817999387,0.999973151499949
05145000012,05,145,000012,55,6,1,55,6,1,52,7,3,50,8,4,51,11,51,11,47,10,5
05145000013,05,145,000013,63,22,0,64,20,2,64,22,0,62.00000000000001,23,0,63,20,69,14,61,24.000000000000004,0
05145000014,05,145,000014,113.99698247292487,12.999655896035291,5.999841182785519,112.99700894246061,15.999576487428053,1.9999470609285066,109.99708835106786,19.999470609285066,1.9999470609285066,107.99714129013937,20.99944413974932,1.9999470609285066,114.99695600338913,15.999576487428053,116.99690306431762,13.999629426499547,106.99716775967511,20.99944413974932,3.999894121857013
05145000015,05,145,000015,349.3075313807531,56.40376569037657,7.916317991631799,348.31799163179915,49.47698744769875,14.843096234309623,335.4539748953975,59.37238493723849,16.822175732217573,332.4853556485356,66.29916317991632,14.843096234309623,350.2970711297071,59.37238493723849,362.1715481171548,48.487447698744774,336.44351464435147,63.33054393305439,11.874476987447698
05145000016,05,145,000016,346.4739627340241,57.69662471650287,16.485080268599635,349.8037088095344,56.39791879752746,13.509316493974296,339.79010094721394,65.53759950193445,13.473918263885801,334.8186952461422,74.07551029483702,9.87201494196647,351.62235958553833,66.86067505669942,353.6533997420732,60.10601680971228,335.62182594387866,67.49784319829234,14.59563303241873
05145000017,05,145,000017,221,26,5,220,28,4,218,29,5,208,37,5,219,31,219,27,208,33,7
