GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05043000015,05,043,000015,54.46924428822496,30.616871704745165,1,0.07381370826010544,0.07381370826010544,1,0.07381370826010544,0,46.24780316344464,34.91212653778559,2.2214411247803163,0
05043000016,05,043,000016,278.74078150798016,224.37644468904787,4.942212438084755,1.976884975233902,0.988442487616951,0.988442487616951,0.988442487616951,2.965327462850853,272.8101265822785,212.51513483764447,10.872867363786462,0
05043000017,05,043,000017,10.259869956730594,72.71737469815477,0.009828986228258271,0.9933547613952418,0.9933547613952418,0.9953205586408934,0.001965797245651654,0,9.237028236650575,67.75846408016116,1.0031837476235002,0
05045000001,05,045,000001,556.9963767627142,442.9971183229487,55.99963572479712,21.999856891884587,20.999863396798922,1.999986990171326,8.999941455770967,2.999980485256989,570.9962856939136,457.9970207492336,68.99955116091074,1.999986990171326
05045000002,05,045,000002,291,367,36,30,20,3,6,1,307,399,42,1
05045000003,05,045,000003,766,563,56,27,24,5,4,3,796,570,53,0
05045000004,05,045,000004,215,417,35,9,17,1,2,2,225,400,53,1
05045000005,05,045,000005,804.640295665232,378.91026914781116,52.87630394772894,38.36991815358472,8.553833724538165,2.8320376333369577,0.046151195680969655,6.538892847524194,795.7632762512227,430.79639344045046,50.04439363409631,0.9670881422861374
05045000006,05,045,000006,370.30197554092194,502.0536218250235,56.89275634995296,30.94167450611477,18.964252116650986,4.990592662276575,2.9943555973659453,4.990592662276575,380.28316086547505,529.002822201317,68.87017873941674,8.983066792097837
05045000007,05,045,000007,491.26518863818256,766.8824122901151,56.03048458821335,22.00288839367201,21.980310783135792,4.256742092520866,4.252979157431496,0.7172964635229978,465.7999947848447,799.4961117006019,69.50295558894146,3.5563788369000315
05045000008,05,045,000008,329.929832758943,171.7123962735069,26.050810335598367,9.987184306453168,5.620408844677026,2.1833877308880707,2.0754280525835043,2.0754280525835043,335.6405126899674,182.197496214729,20.082328291210903,2.1833877308880707
05045000009,05,045,000009,639,541,67,43,20,3,4,4,634,586,71,7
05045000010,05,045,000010,822.9999999999999,558,47,32,11,3,8,3,815,576,65,2
05045000011,05,045,000011,607.835250420905,600.7266332438886,43.10033031305604,16.72764215715686,18.648687156385574,5.866817141245927,10.88290557383187,3.91730573853408,581.4726417195756,651.3842467236074,56.151986372102826,2.933857253883121
05045000012,05,045,000012,1044.7022387710679,346.70598445771446,64.18156900526114,21.438671955166466,14.562508804206022,5.982847672739308,5.990687258297315,8.546290379373875,979.6696546805777,419.501549198402,84.71757658925284,3.426741449197546
05045000013,05,045,000013,801.9975942791291,436.3585842869619,33.87171525358768,18.835798539141436,17.857758456454693,3.9613888221819202,16.767374865026774,2.997349020072904,716.4391618134965,527.8346726228818,67.49760493811144,1.9701698246491395
05045000014,05,045,000014,241.60616051235246,183.5343826893215,18.401202417086306,5.785198350423349,5.894065365109341,1.2105276658989286,1.1924864287855264,2.232595383694901,232.44666142671824,192.3679341569206,27.860268419499345,0.35276734573699886
05045000015,05,045,000015,288.8455042124102,84.66603299609909,6.76249544474591,2.6509638960726356,2.4839130150053568,5.194479806376065,1.1714866237490995,2.089314925667206,236.9892997789864,129.87062714440887,19.223962982341757,1.029844084771544
05045000016,05,045,000016,294.26013357101317,52.045718149422314,13.0055101241128,3.000800030477449,2.000005299366432,7.867820613690008e-4,1,1.000789431744585,247.211276242395,86.0764688918961,18.021266962805907,0
05045000017,05,045,000017,84.99838569025194,32.99937326798017,1.9999620162412222,0.9999810081206111,0,1.9999620162412222,0,0,70.99865157656339,42.999183349186275,4.999905040603055,0
05045000018,05,045,000018,636,151,19,13,7,4,1,1,551,229,40,4
05045000019,05,045,000019,1125,278,30,22.999999999999996,16,4,5.999999999999999,2.9999999999999996,1044,352,70,1
05045000021,05,045,000021,1359.412794025243,190.13364248667926,54.475221090227656,30.093440967209254,9.123266341897352,7.078380892170861,5.097213625603088,3.1644023523564058,1246.5827894890806,312.51519462155153,80.12066858369333,2.087951556507686
05045000022,05,045,000022,864.2149055578632,149.58714179237265,30.04520318495535,11.005300228367188,6.354331597566384,4.543206728949511,4.527812171542184,6.308147925344402,773.5739920612792,227.73491589752643,58.07145497629491,3.6068551798264195
05045000023,05,045,000023,591.6798947161443,330.4217729716031,26.308209333412822,11.953329163607574,8.04922858925959,7.856977559320206,5.081178397302016,4.9198000332251794,531.9967360803352,372.1364619351101,53.122551268368056,6.922522875778623e-4
05045000024,05,045,000024,500.2333378182741,236.33642720648572,25.630851531192633,5.963271254178711,6.908169874098279,1.0433096168747236,5.902518794783467,1.0179173515168394,429.41398251368804,287.48036231617175,41.47630128458433,0.0013534562041631394
05045000025,05,045,000025,815.187418993155,189.23072867007045,25.152256107220296,13.91520070641029,5.1510354974205725,3.285576566881246,5.088533517547103,3.1016785323795517,753.9199223055157,248.6988763121627,51.22371203551507,0.06160000359379114
