GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08069069525,08,069,069525,285.32679546322373,366.7777347012536,7.953109324189911,2.9780119997696453,262.55002486119395,388.5640930965918,8.946231682759441,270.4773877425439,384.58347320667997,4.979162552237101,0.9971875863863652,268.47759226601534,382.6311053880146,6.957276813742491,255.6076538827798,363.775331334583,12.91059066140389,3.968424206461285
08069069526,08,069,069526,545.7827470024777,606.0578891512672,22.28127131177219,5.123682872510896,483.4119973328442,665.3848559503309,24.371048617532686,516.6319427310287,634.2097244680517,21.257243048841175,3.051448609768235,513.575039946683,631.237144814889,22.30648009398848,490.3584866324046,596.9035433219625,41.42352827263658,14.144468525485323
08069069527,08,069,069527,417.36879934074625,524.9909724702356,30.80627164220625,13.90914573523102,385.4878630176917,551.9047487946127,41.72743720569306,408.3554605734856,532.0361087999026,29.79747129739535,5.95949425947907,402.3904776193367,536.9868027145708,34.77011999074266,383.4647736334001,507.1124896917985,45.718729027578384,15.899302951503898
08069069528,08,069,069528,625.3691166715059,526.3623436553461,46.6309158372816,12.147019286532352,599.3518413036934,532.4039545012349,47.46063543727822,617.4128762466056,531.1063858730382,28.59114675928763,8.10510147932763,584.9499385994587,545.3594275228457,45.631069317939506,574.6750171621014,489.79369060623986,51.651414298910225,15.316685763904088
08069069529,08,069,069529,393.09469756593114,236.07919601948214,22.00706011026391,20.001841767894934,388.09070706882545,240.0801169034296,29.007213590921822,394.0934697206679,240.0799634227717,19.00429745842151,7.001227845263289,397.08855833961474,236.08211215198244,25.006906629606,366.0870235330356,215.07367071579733,32.007827513553465,17.002302209868667
08069069530,08,069,069530,528.1484870447234,491.1303646101312,52.00701513597119,16.004092162649858,500.13621055677385,509.140887314088,59.008768919963984,543.1508254233805,494.12978001546696,34.00701513597119,5.000584594664265,521.1461486660664,497.12978001546696,49.01052270395678,485.140887314088,468.11984190617443,68.01286108261384,21.003507567985594
08069069531,08,069,069531,317.8029600358322,391.2797206597863,13.235736772473478,5.763226802982064,284.249977938904,404.80870849539235,19.70697962714391,313.48087694237006,378.58161083638925,16.84980381424726,4.566458979405997,301.3441576390951,392.134362243041,16.239538116936437,280.1233955541969,375.9436993032933,20.952622627908745,12.038968948897411
08069069532,08,069,069532,500,472,27,14,454,494,40,488,467,31,7,473,480,34,448,441,35,22
08069069533,08,069,069533,354,350,20,12,341,355,28,352,340,27,8,342,352,27,331,325,31,9
08069069534,08,069,069534,254,255,22,7,241,262,29,255,261,20,3,241,259,31,236,252,27,7
08069069535,08,069,069535,452,570,45,20,421,600,49,440,586,39,5,436,585,42,416,552,57,19
08069069536,08,069,069536,529,757,50,14,498,780,49,539,756,30,5,500,768,45,481,733,47,20
08069069537,08,069,069537,541.3989398786547,699.2710492142802,40.06773020718595,11.042401033345572,505.4925216635887,725.2496919764351,50.97342368890727,528.4660846602047,718.2497268033624,32.954832708858305,4.996578662713526,508.40250052364996,733.2513504046876,36.007462927136125,476.4493610699713,685.1344113165103,57.03707747931639,14.017761765922723
08069069538,08,069,069538,447.0844167705595,701.44682859971,39.29009508396473,14.782579599505672,437.1331180463691,716.2513772319132,31.50325729181975,449.0444371546369,711.2092209068841,15.823962855510178,2.9804123070271697,424.4875264026798,721.9041601671703,26.67065204301251,409.67909813285775,668.8851230978785,46.22125416672481,12.828363091380439
