GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,G16USSDBEN,G16USSRGLE,G16USSLTAN,G16USSGMEN,G16USSOOTH,G16RGTDMAD,G16RGTRGAN
08001001050,08,001,001050,382.3589279200031,322.5852811803641,29.416422484156428,10.113331133508522,9.189760217139385,6.437714227568717,378.67900330032404,313.43429038687793,20.226662267017044,11.01823529034092,0.9192632026298884,331.79370815704027,353.8789994934335
08001001051,08,001,001051,589.8344995038761,600.8773639226647,68.15808469049372,26.843915243424775,10.502525417736974,19.78068642712769,605.8678554182752,578.5056775173006,51.1809236893339,14.802203380912008,13.173220330580873,574.7422961529585,627.5252198366685
08001001052,08,001,001052,721.044807645401,513.8512026903875,65.4564023081834,27.745355060014756,13.25852673671927,21.998261305078945,734.4703109639794,477.8533932390602,55.4691432634449,15.801525018733091,13.733364090728926,737.1980044655608,517.7388636634829
08001001053,08,001,001053,502.1611919954741,499.43163416431105,56.51510111048213,11.439630286194667,6.68549200091405,13.918042195636051,522.7060210401764,463.3378133415676,39.28840802946171,8.712891003658878,8.481417021297123,463.58088777662635,518.6807527956304
08001001054,08,001,001054,297.0454148031038,234.30512496455094,25.162990278546296,9.424303043816364,6.282100025266942,7.074568815400003,292.3620884290944,249.16832698319934,18.868207188203893,2.362417293491821,0.7936217960490115,250.7198273919029,282.1752947489597
08001001055,08,001,001055,365.657269041845,356.6395865373738,27.07713420158255,6.35572939947292,9.770780731851271,3.8656105205337514,369.98534578909835,334.6612152572304,22.683841353266708,3.8656105205337514,1.2450594394695842,301.7736219307628,396.641688398936
08001001056,08,001,001056,458.4719629258586,374.2073531390901,48.02176686772827,19.933563605472113,12.684995021664072,12.684995021664072,463.9083893637146,369.67699777421007,41.679269356896235,12.684995021664072,3.6242842919040203,405.0137696202743,424.0412621527704
08001001057,08,001,001057,434.55364182545605,319.45387783587034,32.20826440574939,4.04150336156243,9.062415241901626,9.032232925790636,414.54870762373275,328.52522169914926,30.104666201401297,5.030289115816309,2.01369205424705,388.1305554013756,356.7772536755513
08001001058,08,001,001058,588.601104810591,277.34085955482084,41.90041763058444,6.98340293843074,11.971547894452698,4.988144956021958,563.6603800304812,309.2649872733614,25.93835377131418,7.981031929635132,0.9976289912043915,485.84531871653866,358.1488078423765
08001001059,08,001,001059,725.7978906083017,599.0459515221182,67.25192076237445,24.641401557918563,16.674325345884643,9.549051612267062,759.423850989489,577.1204476475109,37.74815333191316,9.544114907185802,7.266396930867181,625.9078718454873,671.1503647468729
08001001060,08,001,001060,163.48004606786776,187.3778429731488,14.589325620144708,10.289148253987365,1.2917908445577722,0.4332447725067923,170.76329013555636,172.37562772996398,14.153102045276938,3.432198419963269,1.7175886111621228,147.61630595027097,198.10371126906412
08001001061,08,001,001061,621.9892044704305,446.4130245207962,56.577179777367306,21.502901926041964,14.027420736514955,10.590492057367642,627.7654193547742,420.67050288639496,40.86423515976008,12.244491081724844,9.178787503263273,589.6164258328948,482.7533531442409
08001001062,08,001,001062,441.4456576857457,476.0572241321537,44.570480216212026,5.316260499208212,10.737378481600555,8.107687385612824,445.1740004318296,466.9335767705147,35.0396674147662,2.851161130201121,2.3865863179108895,403.37404403372,508.0637524678797
08001001063,08,001,001063,472.0249579558392,445.91859881514716,63.940610881038374,13.988230029424926,11.238575059352497,3.9613426510259697,470.16781738116026,457.29784428098105,33.935613691036146,8.564585034474714,9.134372983005482,414.3355010038578,512.3511436806821
08001001064,08,001,001064,484.7523992322457,311.5700575815739,66.42610364683301,22.142034548944338,5.535508637236084,8.69865642994242,472.09980806142033,304.45297504798464,52.98272552783109,15.81573896353167,9.489443378119002,468.1458733205374,344.7831094049904
08001001065,08,001,001065,454.61095778331196,340.46191816523145,62.53382170381802,5.955602067030288,18.85940654559591,8.933403100545432,461.55916019484727,340.46191816523145,39.70401378020192,5.955602067030288,4.96300172252524,411.92914296959486,391.0845357349889
08001001066,08,001,001066,110.38904221668803,106.53808183476855,11.466178296181976,6.044397932969712,4.1405934544040885,3.0665968994545683,114.44083980515269,90.53808183476853,19.29598621979808,5.044397932969712,1.0369982774747601,121.0708570304051,103.9154642650111
08001001067,08,001,001067,239,227,27,7,3,4,238,229,18,6,4,209,251
08001001068,08,001,001068,555,400,68,12,14.999999999999998,11,555,416,43,10,7,491.99999999999994,465.99999999999994
08001001069,08,001,001069,432.7029279734663,516.4518817747824,60.81769264143189,5.982068128665432,14.95517032166358,8.973102192998148,408.77465545880455,538.3861315798889,36.88942012677016,7.976090838220577,3.9880454191102883,353.9390309460381,606.1829037047638
08001001070,08,001,001070,323.909091754496,437.0850449973017,45.12777556918031,7.012568088771834,15.031420221929585,8.01885213315775,324.8588193994087,463.13112798946503,28.077503214092978,7.016757451695779,6.008378725847889,279.74361191900016,498.2735663288792
08001001071,08,001,001071,290.2959324032796,334.09788159082376,52.68193301856972,3.9794066700462682,13.915821122921992,7.951694385833744,289.2978772063516,351.9760238935709,20.875155475234745,3.97798287919451,3.9794066700462682,249.53086253207235,364.910875309786
08001001072,08,001,001072,92.22724414904816,148.34536257106126,9.732945101525006,3.2012160686892286,2.6862546728629986,1.2590321426910025,89.61664861323644,141.19628616021083,4.99785442865349,2.2026398595409873,3.2012160686892286,76.84837000826398,152.56247264188826
08001001073,08,001,001073,413.2251795811562,510.0016062742787,46.60928440211173,6.089830959920153,19.92676724395299,7.095017201419214,426.03227989120654,501.9334986264064,28.799304773655457,5.882911304691533,5.9888027910479655,374.6818452000387,512.7981396082308
08001001074,08,001,001074,358.9202906608182,458.674703869002,41.07534661513451,9.779844432174881,22.49364219400223,10.75782887539237,380.4359484116029,477.2564082901343,25.427595523654695,1.9559688864349765,6.845891102522417,294.37331740846395,519.3097393484862
08001001075,08,001,001075,504.9428571428572,572.0228571428571,42.01714285714286,10.32,14.742857142857142,5.897142857142857,479.88000000000005,569.0742857142857,39.068571428571424,11.057142857142857,4.422857142857143,412.0628571428571,603.72
08001001076,08,001,001076,486.0004756267501,459.0005388122015,62.00003957770037,8.000009720838687,13.000013886912411,7.0000055547649644,498.00045201899894,460.00053603481905,37.000036800317886,8.000010415184308,5.000004166073723,402.0003881392019,518.0005686690632
08001001077,08,001,001077,263,288,35,3,12,13,273,302,18,1,5,248,299
08001001078,08,001,001078,184,224,31.000000000000004,6,11,6,187,218,20,9,5,174,248.00000000000003
08001001079,08,001,001079,320,355,50,12,14,6,321,388,22,3,3,276,412.99999999999994
08001001080,08,001,001080,391.56081081081084,388.7837837837838,46.28378378378378,10.182432432432433,7.405405405405405,4.628378378378378,361.0135135135135,388.7837837837838,32.398648648648646,8.33108108108108,9.256756756756756,344.35135135135135,435.0675675675676
08001001081,08,001,001081,487.30385084332454,435.9305019305019,65.00944929892299,23.479221702905914,13.25624872993294,5.198689290794554,470.9488925015241,456.2613289981711,31.082554358870148,12.495986588091851,4.239483844747003,433.45315992684414,468.300853485064
08001001082,08,001,001082,395,367,49,7,10,12,387.99999999999994,383,30,14,3,356,434
08001001083,08,001,001083,442.1353383458646,418.2857142857143,58.70676691729323,7.338345864661654,7.338345864661654,9.172932330827066,421.03759398496237,421.9548872180451,27.518796992481203,9.172932330827066,5.50375939849624,408.1954887218045,436.63157894736844
08001001084,08,001,001084,266,275,37,7,13,9,274,280,17,7,9,251,317
08001001085,08,001,001085,521.6831726020708,539.4064854786981,67.30956397252217,9.827497808210056,11.9308282191568,9.344577123261827,516.752344382914,539.1648115060649,45.758326027366856,6.9654141095784,1.689581506841714,459.1665205473371,578.647304930695
08001001086,08,001,001086,380.21379310344827,443.4206896551724,53.48275862068966,3.8896551724137933,18.47586206896552,10.696551724137931,374.3793103448276,437.58620689655174,35.97931034482759,5.83448275862069,5.83448275862069,363.68275862068964,466.7586206896552
08001001087,08,001,001087,477.3783074687418,405.8465780872601,67.38585606094422,24.425776309720426,10.034092656241475,10.156933347220361,470.99547183660917,383.9681193490951,53.117013098444154,16.324797770139913,13.133379954073611,479.67913027521115,415.97361464486403
08001001088,08,001,001088,452.82082695252683,427.9709035222052,43.2572741194487,10.124042879019909,5.522205206738132,10.124042879019909,451.90045941807045,398.51914241960185,42.33690658499234,5.522205206738132,6.442572741194487,399.4395099540582,449.1393568147014
08001001089,08,001,001089,481.2760257751531,486.83149775407657,64.04203774342302,26.57309308264055,8.625542928164716,11.810034742269634,523.0655895769756,428.78199798439755,45.25816839967649,12.495356128186957,13.63286032419291,486.4625999374377,483.98966397176576
08001001090,08,001,001090,839.376913274497,517.063524387382,88.06916642019704,37.24753960543873,10.119997482238718,23.33532043815038,821.120733574626,487.14716418984443,76.2772872795429,21.27502313382292,25.036360197537604,844.2539535253031,531.1766108133128
08001001091,08,001,001091,107.22203121002813,72.5325505244308,10.587049300149838,5.406152834119067,0.6757691042648833,2.9283327851478274,105.6452366334101,66.90114132222344,10.812305668238134,4.279870993677594,4.054614625589299,108.7988257866462,74.78511420531375
08001001092,08,001,001092,554.2452116875088,533.2807267868544,65.68578143219051,15.87079794620337,5.236712688457016,19.017748047196104,594.7159718503785,469.32562458448143,38.75109249105788,14.48223544890906,14.403517427240077,552.7805963825898,538.0528241703925
