GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25021001540,25,021,001540,704,431,36,2,762,387,5,865,293,1,879,214,60,3,805,265,49,4,716,285,70,33,3
25021001541,25,021,001541,897.7431106959366,462.6226062587576,46.48388603456329,0.026156001868285848,896.8860345632881,495.6627744044839,3.039234002802429,1053.6324147594582,337.9817842129846,1,1056.1746847267632,269.4586641756189,60.98085007006072,0.013078000934142924,984.8085007006073,316.7725361980383,49.87622606258758,1.0261560018682858,880.063054647361,364.9163942083139,67.81083605791686,27.57543204110229,0
25021001542,25,021,001542,729,372,36,1,706,399,6,846,269,0,871,188,54,0,791,228,60,1,710,260,59,42,0
25021001543,25,021,001543,492.45109919661166,229.39545026723587,21.791850146223403,0.06264916467780429,451.85266311472657,275.7417896399879,7.076002554707721,565.1532488487009,170.07162005445562,1.9859154929577465,576.9623012538236,137.87089481999396,26.50604221990655,0.06264916467780429,531.9470990621534,161.00027311842416,24.58277589162661,1.0556069111566775,486.6594045177989,179.87589918988874,29.704187535715487,17.381475007563278,1.0556069111566775
25021001544,25,021,001544,685,583,28,1,887,368,7,902,372,0,987,248,35,1,851,334,44,2,787,383,39,26,1
25021001545,25,021,001545,485,205,21,0,414,285,4,543,155,0,538,117,42,0,510,134,38,0,453,165,34,29,0
25021001546,25,021,001546,738.832708045929,367.91610597684627,28.993416841327154,2.999307599556062,691.8427433161362,415.9058799230797,8.99792880115647,844.8084933339218,274.937330291077,1.9995524055100389,868.8029841428116,201.95398862308377,40.990641237063116,1.9995584079983237,808.8167421143662,245.94392545472638,29.993160030396606,2.9993136020443467,752.8294308247804,262.94012990529416,40.990641237063116,19.995476035194113,2.9993136020443467
25021001547,25,021,001547,750.3341385705731,560.5025988523189,49.95566834690899,0.9991133669381799,891.2091233088564,430.6178611503555,6.993793568567259,958.1497188937145,367.67371903325017,4.9955668346909,1007.1062738736853,269.76060907330856,51.95389508078535,2.9973401008145397,921.1825243170018,316.71893731940304,58.947688649352614,1.9982267338763597,810.2809405868638,396.6480066744574,53.952121814661716,25.976947540392676,2.9973401008145397
25021001548,25,021,001548,681.6658614294269,663.4974011476811,37.04433165309101,8.866330618201269e-4,990.7908766911435,365.38213884964443,4.006206431432741,925.8502811062855,442.3262809667498,1.0044331653091005,1016.8937261263146,301.2393909266914,39.04610491921464,0.002659899185460381,893.8174756829981,364.28106268059696,47.052311350647386,2.00177326612364,790.719059413136,448.35199332554254,38.047878185338284,32.02305245960732,1.0026598991854603
25021001549,25,021,001549,640,240,24,1,496,392,2,708,180,0,702,135,53,0,663,157,53,1,620,176,48,25,1
25021001550,25,021,001550,624,376,37,3,659,356,4,739,282,2,743,216,59,2,684,256,62,2,617,275,62,37,1
