GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI
25003001004,25,003,001004,2222.0778959060303,568.9474290323408,115.38094714641876,69.6264336228389,64.65311693549327
25003001275,25,003,001275,417,88,20,12,6
25003001277,25,003,001277,76,19,5,4,2
25003001300,25,003,001300,101,39,14,6,0
25003001338,25,003,001338,564,218,34,35,11
25003001383,25,003,001383,793,367,51,31,20
25003001384,25,003,001384,721,270,42,40,20
25003001385,25,003,001385,669,218,40,37,17
25003001386,25,003,001386,816,414,49,29,16
25003001387,25,003,001387,731,301,59,35,21
25003001455,25,003,001455,420.2815018716381,396.87835559572324,41.930637077680835,17.552359706936162,15.602097517276588
25003001492,25,003,001492,255,207,34,8,9
25003001495,25,003,001495,789,309,50,25,4
25003001496,25,003,001496,980,366,58,37,10
25003001497,25,003,001497,617,143,38,39,7
25003001498,25,003,001498,1048,370,46,36,20
25003001499,25,003,001499,1233,326,58,38,20
25003001500,25,003,001500,1248,414,73,40,12
25003001501,25,003,001501,1167.662447257384,404.2278481012658,59.29957805907173,46.10970464135021,25.075949367088608
