GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
37171000027,37,171,000027,415.4264548000238,216.04542152711855,164.98004172214266,626.3431950845984,175.5303700246429,486.95495602368993,142.48608922702905,162.63958933680533,601.3706350411921,170.45329233358459,21.27212275095926
37171000028,37,171,000028,284.03744771042375,87.8332750208969,101.93425834107269,367.2940455999416,101.21066157876197,287.2139506286843,83.1978237501392,95.875123201445,354.33463027961824,97.39284569332087,15.212489402385751
37171000029,37,171,000029,629.3067468331469,308.024698128609,423.5948887444448,925.5636847356169,422.9381621670647,663.2561072648668,284.9044116757868,397.15393082806787,871.6858652538017,409.6301720228558,61.18957205913475
37171000030,37,171,000030,923.6580847592921,463.0484193550597,747.0436851103074,1349.180601237189,781.0051898045763,989.891715329047,395.6544704479834,733.2327036967083,1310.2583690895071,723.5790655974008,85.66879610581722
37171000031,37,171,000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37171000032,37,171,000032,906.8552381697248,352.44653021164487,451.30293216398184,1231.4780023489561,474.1658613003034,942.6594226501842,320.69456320306296,433.33556808390523,1216.5171654528642,446.28335061202773,40.856401952336924
37173000BC1,37,173,000BC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37173000BC2,37,173,000BC2,314.2524007658885,232.9964540835113,390.1040282789602,501.5127089623684,426.11732822741,324.0381894837617,188.81379151631197,384.73264047426176,491.5152036232418,377.49165439281245,48.80878010162752
3717300WHCH,37,173,00WHCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37173ALARKA,37,173,ALARKA,159.48852854309644,106.63763608087092,182.93418180261676,245.59226390058072,198.58353903006264,168.28443933967785,95.87282234936579,171.21096637036825,238.73026381497283,187.82572374334757,15.664909326979325
37173ALMOND,37,173,ALMOND,314.98339293225337,192.65746051656632,303.19470721549504,486.00570870140405,325.8398678226006,319.88302207577277,168.12183848492367,304.1743070269575,455.27512781833997,311.459192238635,43.525715997577215
371750000B1,37,175,0000B1,327.851974459477,119.58126728005239,681.6132234962986,418.5344354801834,704.532966391642,285.00202035079155,155.4556474640681,676.6306706929631,395.61469258484,670.6516073289605,53.81157027602357
371750000B2,37,175,0000B2,242,111,529,330,551,235,116,521,311,533,31
371750000B3,37,175,0000B3,447,140,664,562,681,392,198,644,539,636,64
371750000B4,37,175,0000B4,324,87,590,379,616,279,131,576,367,585,39
371750000BD,37,175,0000BD,685.8489971451132,272.4507805381765,532.6330972483752,924.2652833626921,562.6573722893762,654.9470011541032,307.37118143716214,513.6020190730729,887.2447354674117,525.6087128712871,71.07518678248194
371750000CC,37,175,0000CC,735.6478087649402,241.22868525896413,443.58167330677287,925.0422310756971,488.43824701195217,643.9410358565736,324.9609561752988,436.60398406374503,907.0996015936255,454.54661354581674,50.83745019920318
371750000CM,37,175,0000CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371750000DR,37,175,0000DR,694.736073349288,182.61156140520657,810.7413581770081,845.2050067508923,826.8574718553699,591.512720685065,304.8041134921072,765.7183332911006,814.1104070167536,801.7117392845853,55.229067174175626
371750000EF,37,175,0000EF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371750000LR,37,175,0000LR,490.9970892629416,191.99886175243844,352.9979073782819,659.996087389104,376.99776506974376,478.99716038394786,198.99882029038386,352.99790733594745,637.9962177887031,349.99792518272466,44.999733214581326
371750000PF,37,175,0000PF,332.2087128712871,124.70297029702971,260.379801980198,435.96158415841586,273.34891089108913,335.2015841584158,121.71009900990099,252.39881188118812,429.97584158415845,257.3869306930693,24.940594059405942
371750000RE,37,175,0000RE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371750000WC,37,175,0000WC,501,177,486,646,515,475,206,473,627,488,41
37175000TC1,37,175,000TC1,296,120,79,410,88,317,99,79,404,81,11
37175000TC7,37,175,000TC7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37177000001,37,177,000001,6.923357664233577,9.89051094890511,95.93795620437956,12.857664233576642,98.90510948905109,10.87956204379562,6.923357664233577,93.95985401459853,12.857664233576642,98.90510948905109,0.9890510948905109
37177000002,37,177,000002,165.6515414676509,109.83407929456561,187.7291993720565,260.17620829019006,198.47401382811717,212.45153478740104,66.44467083068908,181.19910484652127,247.9275025885968,194.37249073115333,18.19958916463476
37177000003,37,177,000003,110.48965378151617,74.04892487335873,120.24909612629195,171.45382240795115,126.31538090534268,142.68663180257437,41.55616145451862,115.92161580771199,166.3702944194124,123.13088846991756,12.69915048986041
37177000014,37,177,000014,12.16762740080006,19.33258379506547,6.1944782633902324,31.269042827208654,6.1944782633902324,27.773676712964114,3.7138337433017785,5.097220496765805,26.233839375191526,6.1817775237905925,4.194515533248855
37177000015,37,177,000015,67.5854320451585,29.315900664684857,106.2594191522763,99.96607268111828,100.9468335615752,83.05797621831057,23.09711413206854,98.32091920237816,96.78563913290357,102.9369050402485,4.061466648852667
37177000016,37,177,000016,5.8484649798535555,7.240922154773232,4.636348734890166,11.08153097740592,6.631111296742922,10.90345808039962,2.219972402184255,4.60230538693308,11.071056101111433,5.607542825080324,1.0445182242515754
