GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOPIE
150090301002017,43887,0,0,0,0,0,0,0
150090301002018,87980,0,12.793996188055909,4.155019059720457,0.2596886912325286,0.2770012706480305,0.03462515883100381,0.06925031766200762
150090301002019,1123948,0,0,0,0,0,0,0
150090302011000,1812652,0,0,0,0,0,0,0
150090302011001,25158783,0,45.940980241211186,15.203489863997946,0.897100333589941,0.7790608160123171,0.09443161406209905,0.10623556581986143
150090302011002,1248163,0,44.942263279445726,14.872979214780601,0.8775981524249423,0.7621247113163973,0.09237875288683603,0.10392609699769054
150090302011003,237328,0,0,0,0,0,0,0
150090302011004,53276,0,50.93456505003849,16.85604311008468,0.9946112394149346,0.8637413394919169,0.10469591993841416,0.11778290993071594
150090302011005,1151275,109494,0,0,0,0,0,0
150090302011006,0,3131875,0,0,0,0,0,0
150090302011007,3190206,0,0,0,0,0,0,0
150090302011008,0,126687,0,0,0,0,0,0
150090302011009,0,67746,0,0,0,0,0,0
150090302011010,1426455,163322,32.9576597382602,10.906851424172439,0.6435719784449576,0.5588914549653579,0.06774441878367975,0.07621247113163972
150090302011011,0,202771,0,0,0,0,0,0
150090302011012,138220,0,0,0,0,0,0,0
150090302011013,17550,0,0,0,0,0,0,0
150090302011014,2354531,39329,283.6356171413908,93.86502437772646,5.5386194508596365,4.809853733641263,0.5830125737746985,0.6558891454965358
150090302011015,145965,0,0,0,0,0,0,0
150090302011016,118624,0,63.91788555298948,21.152681549910188,1.2481395945599179,1.0839107005388762,0.13138311521683346,0.14780600461893764
150090302011017,10607918,26042,360.5368231973313,119.31434436746214,7.040287400564536,6.113933795227098,0.7410828842699512,0.8337182448036952
150090302011018,1784804,32237,0,0,0,0,0,0
150090302011019,220697,0,30.960225814729277,10.245830125737745,0.6045676161149601,0.5250192455735181,0.0636386964331537,0.07159353348729791
150090302011020,12079339,16801,49.93584808827303,16.525532460867336,0.9751090582499359,0.846805234795997,0.10264305876315115,0.11547344110854504
150090302011021,221747,0,0,0,0,0,0,0
150090302011022,242748,0,0,0,0,0,0,0
150090302011023,16227003,29788,0,0,0,0,0,0
150090302011024,1410885,0,0,0,0,0,0,0
150090302011025,14879325,0,120.84475237362074,39.991788555298946,2.359763920964845,2.0492686682063126,0.24839620220682576,0.279445727482679
150090302011026,2732014,0,101.86913010007699,33.71208622016936,1.9892224788298691,1.7274826789838338,0.20939183987682833,0.23556581986143188
150090302011027,144895,0,89.88452655889145,29.745958429561203,1.7551963048498846,1.5242494226327945,0.18475750577367206,0.20785219399538107
150090302011028,4325823,21462,0,0,0,0,0,0
150090302011029,3467286,0,5.992301770592764,1.98306389530408,0.1170130869899923,0.10161662817551963,0.012317167051578136,0.013856812933025405
150090302011030,1763005,0,0,0,0,0,0,0
