GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47013000615,47,013,000615,517.99,111.15,1.03,13.3,1.01,0.03,6.03,0.01
47013000616,47,013,000616,327.82,61.76,0.95,5.7,0,0,1.9,0
47013000617,47,013,000617,234,44,0,3,0,0,0,0
47013000618,47,013,000618,332.79,47.06,0.01,7.96,1.79,0.89,0.01,0
47013000619,47,013,000619,161.86,48.62,1.01,2.36,3.02,0.99,1.08,0.02
47013000620,47,013,000620,243.89,64.86,0,7.31,0,0,2.74,0.91
47013000621,47,013,000621,596.13,210.08,0.98,15.63,1.96,0,3.91,0.98
47015000701,47,015,000701,924.27,215.74,0.06,23.2,1.86,3.73,2.85,3.62
47015000702,47,015,000702,152.73,70.25,0.08,3.16,0,1.04,3.26,0
47015000703,47,015,000703,796.27,152.86,2,22.98,1,3,5,3
47015000704,47,015,000704,700.5,175.88,1.2,11.33,1.13,5.26,2.27,2
47015000705,47,015,000705,519.48,227.05,2.64,19.39,1.87,3.75,3.85,0.24
47015000706,47,015,000706,300.46,87.5,0,4.98,0,0,1.99,0
47015000707,47,015,000707,226.81,71.55,0.1,9.32,0.07,0.14,3.98,0
47015000708,47,015,000708,150.61,60.43,1.92,2.88,0,0.96,5.76,0
47015000709,47,015,000709,205,59,0,8,1,0,0,0
47017000801,47,017,000801,466,138,1,15,1,1,1,0
47017000802,47,017,000802,146,27,0,6,0,0,1,0
47017000803,47,017,000803,442.04,143.33,0.99,11.05,1.01,0,2.05,0
47017000804,47,017,000804,397.41,93.46,0.91,4.54,3.63,2.72,0.91,0.91
47017000805,47,017,000805,1172.08,396.64,2.97,35.7,3.97,0,3.97,2.97
47017000806,47,017,000806,210,89,1,4,0,2,2,0
47017000807,47,017,000807,845.92,233.36,3.03,19.3,2.03,5,2.03,3.03
47017000808,47,017,000808,474.79,244.89,2,9,1,1,5,3
47017000809,47,017,000809,807,208,2,25,1,2,3,6
47017000810,47,017,000810,270,82,2,8,0,1,3,0
47017000811,47,017,000811,90,18,0,5,0,0,1,0
47017000812,47,017,000812,591,85,0,9,2,1,5,2
47017000813,47,017,000813,115,23,0,1,0,0,0,0
47017000814,47,017,000814,244,60,3,2,1,1,0,2
47017000815,47,017,000815,322.96,105.67,0.01,5.95,0.99,0,2.95,0
47017000816,47,017,000816,320.59,51.54,0.09,6.46,1.37,0.28,0.09,0.09
47017000817,47,017,000817,442,194,2,8,1,1,4,1
47017000818,47,017,000818,284.21,106.11,0,5,0,0,2,0
47017000819,47,017,000819,115,28,1,1,0,0,0,0
47019000901,47,019,000901,1726.42,560.26,0.97,88.36,6.8,12.62,24.27,25.25
47019000902,47,019,000902,1034.02,221.58,2.03,23.46,0.19,3.35,10.68,3.7
47019000903,47,019,000903,315.7,66.35,1.01,11.05,1,0,2.01,6.01
47019000904,47,019,000904,950.01,244.02,0.84,21.66,0.01,2.52,8.32,6.66
47019000905,47,019,000905,1012.22,311.45,3.89,40.88,0.97,1.95,16.55,5.84
47019000906,47,019,000906,907.07,179.48,3.03,19.06,0,3,10,3
47019000907,47,019,000907,665.28,138.85,0,16.98,0,0,2,7.99
47019000908,47,019,000908,1436.04,202.27,2.24,18.46,0,6.91,5.99,2.04
47019000909,47,019,000909,450.01,73.87,1,9.03,0,0.09,3.01,2.96
47019000910,47,019,000910,704.92,144.55,0.99,15.84,0.99,3.96,4.95,1.98
47019000911,47,019,000911,1221.46,222.51,2.22,22.76,2.14,7.57,6.04,4.62
47019000912,47,019,000912,542.62,219.29,1.07,24.22,2.91,0.05,7.19,4.97
47019000913,47,019,000913,230,38,0,3,0,0,1,0
47019000914,47,019,000914,139.69,24.18,1,1.03,0,0,0.01,0.01
47019000915,47,019,000915,1225,151,4,13,1,1,5,6
47019000916,47,019,000916,639.31,72.82,1,8.97,1,0,3.99,1.99
47019000917,47,019,000917,1238.66,215.88,0.99,27.76,1.98,3.97,3.99,4.98
47019000918,47,019,000918,1045.7,142.47,1,18.06,1,3.01,5.01,0.01
47019000919,47,019,000919,691,134,1,12,0,4,7,1
47019000920,47,019,000920,189.02,38.8,0.99,5.97,0,0,1.99,1
47019000921,47,019,000921,480,39,0,6,0,0,1,0
47019000922,47,019,000922,53.87,12.38,0.73,1.46,0,0,0,0
47021001001,47,021,001001,1929.59,508.81,5.81,59.38,0.97,6.79,9.73,15.49
47021001002,47,021,001002,1068.08,289.15,1.88,38.62,0.94,6.59,6.59,3.77
47021001003,47,021,001003,2127.71,539.4,1.99,97.52,0,8.96,12.94,8.96
47021001004,47,021,001004,1482.4,680.62,4.12,80.98,1.06,12.04,11.43,15.08
47021001005,47,021,001005,509.97,143.94,1.94,7.83,0.97,0.02,7.72,0.98
47021001006,47,021,001006,1939,905,4,86,4,8,28,41
47021001007,47,021,001007,1281,552,4,57,4,7,16,11
47021001008,47,021,001008,963.68,260.78,2.28,35.82,1.07,0.62,6.62,1.75
47023001101,47,023,001101,657,107,0,6,1,1,2,1
47023001102,47,023,001102,1101,218,4,27,0,4,4,11
47023001103,47,023,001103,559,93,0,12,0,1,0,4
47023001104,47,023,001104,296,65,0,6,0,0,2,4
47023001105,47,023,001105,706,330,0,24,0,0,1,5
47023001106,47,023,001106,383,169,0,12,0,2,0,6
47023001107,47,023,001107,372,66,0,5,0,0,1,3
47023001108,47,023,001108,379.29,81.85,0,6.99,0,1,0,0
47023001109,47,023,001109,208,52,1,9,1,1,0,0
47023001110,47,023,001110,223,26,0,3,2,1,0,3
47023001111,47,023,001111,196,35,0,4,0,1,0,0
47025001201,47,025,001201,742.46,162.58,1.97,17.11,1.32,0.66,5.92,0.66
47025001202,47,025,001202,141,48,0,1,1,0,0,0
47025001203,47,025,001203,501.85,78.69,0,9.01,0.24,2.24,1,0
47025001204,47,025,001204,1102.05,238.85,0.99,23.69,7.89,3.95,3.95,5.92
47025001205,47,025,001205,326.6,61.22,1.77,8.05,0.04,0.05,0.05,0.04
47025001206,47,025,001206,949.17,231.5,4.01,31.17,4.02,2.02,5.03,0.01
47025001207,47,025,001207,256,50,0,11,0,5,1,1
47025001208,47,025,001208,638.87,133.95,1.35,13.1,1.24,5.16,1.02,2.18
47025001209,47,025,001209,113.55,44.37,0.01,5.33,0.11,0.06,0.06,2.08
47025001210,47,025,001210,1135.17,324.69,0.99,19.71,2.95,2.95,4.92,0.99
47025001211,47,025,001211,386.7,78.05,0.04,10.14,0,0,0,0
47025001212,47,025,001212,54.57,20.46,0,0,0.76,0.76,0,0
47025001213,47,025,001213,965.79,155.78,1.88,18.63,1.43,2.16,4.03,3.12
47025001214,47,025,001214,155,16,0,1,0,0,0,0
47025001215,47,025,001215,565.01,108.9,1.92,13.73,0.98,0.07,2,1.91
47025001216,47,025,001216,117.37,18.41,0.03,4.18,1.01,0,0.03,0.03
47025001217,47,025,001217,451.09,60.58,1.02,5.08,1,2,0,0
47027001301,47,027,001301,185,42,0,1,0,0,0,0
47027001302,47,027,001302,209.32,73.14,0.01,4.79,0,0.95,0.95,0
47027001303,47,027,001303,478,100,0,5,0,3,2,0
47027001304,47,027,001304,197,83,0,6,1,1,0,0
47027001305,47,027,001305,316.48,223.77,0,4.27,1,3.05,4.05,0
47027001306,47,027,001306,325.53,95.85,1.99,11.93,0,1,1,0
47027001307,47,027,001307,429,89,0,14,0,1,3,0
47029001401,47,029,001401,418.41,75.28,0.98,10.75,0,1.95,0.98,0.98
47029001402,47,029,001402,417.01,86.23,1,7.35,0.09,0.09,1.13,0.18
47029001403,47,029,001403,767.24,106.21,1.73,10.47,0.02,0.93,1.76,0.02
47029001404,47,029,001404,466.81,84.14,0,10.02,1.99,1,1.99,0
47029001405,47,029,001405,529.53,145.43,3,7.05,1.01,2.03,14.01,2.01
47029001406,47,029,001406,644.64,175.38,0,28.44,1.9,1.9,2.84,3.79
47029001407,47,029,001407,526.49,142.53,0.97,15.51,0,0.97,3.88,0.97
47029001408,47,029,001408,311.83,61.28,0.01,3.14,2.01,1.07,6.05,0.04
