GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-071,11,001,02-071,2025,65,6,6,5,5,10,1882,29,22,26,36,17,26,14,6,1008,59,17,51,396,776,240,269,88,58,121,40,16,24,30,31,58,8,27,21,16,12,6,15,14,1722,80,172,16,1615,158,112,18
1100102-072,11,001,02-072,3179,117,8,16,7,7,20,2918,36,42,63,71,20,43,23,13,1449,86,22,73,586,1168,377,460,185,109,114,83,12,53,74,66,100,17,47,27,31,14,22,14,27,2689,147,312,18,2530,344,121,22
1100102-073,11,001,02-073,1674.2050843314594,87.24810559765338,8.134930334881448,6.31483744805671,4.067465167440724,3.0449767782938157,15.213639696895624,1525.2598386702518,30.483500366658518,24.438523588364703,32.505988755805426,35.416035199217795,20.213639696895623,25.416035199217795,8.25861647518944,15.179907113175263,701.050843314593,63.967000733317036,12.213639696895624,49.5622097286727,464.25103886580297,405.92495722317284,613.34172573942806,253.10339770227327,82.24810559765338,86.86580298215596,55.798337814715225,26.348570031777072,21.191151307748715,27.382302615497434,19.247372280615988,18.472256172085064,32.326081642630164,15.20239550232217,11.213639696895624,8.08995355658763,8.157418724028355,5.179907113175263,6.067465167440724,7.179907113175263,11.16866291860181,1322.280860425324,91.38303593253484,211.61989733561475,18.31483744805671,1243.9765338548032,185.33879247127842,111.82155952089954,25.303593253483253
1100102-074,11,001,02-074,3954,180,26,28,11,11,28,3528,84,66,102,97,61,73,43,20,1691,165,54,109,903,1048,920,652,238,182,121,101,49,82,94,65,57,23,31,20,47,22,26,23,33,3230,241,454,31,3112,336,255,47
1100102-075,11,001,02-075,3353,132,21,15,7,3,38,2957,79,60,109,81,52,38,25,20,1457,130,69,96,875,708,744,564,247,137,113,98,31,70,70,45,62,51,38,30,26,25,18,22,16,2743,198,400,37,2667,312,218,33
1100102-076,11,001,02-076,1359.78398421227,63.98983455116566,9.998411648619633,9.998411648619633,2.99952349458589,1.9996823297239268,10.998252813481598,1186.8114626911506,27.995552616134976,33.99459960530675,40.993487759340496,45.992693583650315,12.997935143205524,32.99475844044479,4.999205824309817,3.9993646594478536,641.8980278413804,60.99031105657976,20.99666446210123,49.99205824309817,313.95012576665647,260.9585440289724,214.96585044532213,229.96346791825158,115.98157512398775,66.98935804575154,44.99285241878835,42.99317008906443,16.997299802653377,29.9952349458589,38.99380542961657,7.998729318895707,30.995076110720863,14.99761747292945,14.99761747292945,11.99809397834356,11.99809397834356,9.998411648619633,7.998729318895707,7.998729318895707,4.999205824309817,1141.818610272362,79.98729318895707,153.97553938874236,13.997776308067488,1147.817657261534,116.98141628884972,83.98665784840492,6.998888154033744
1100102-077,11,001,02-077,2390,88,13,17,12,6,21,2127,47,31,58,66,32,44,19,12,1023,77,33,71,609,640,411,329,176,103,61,63,38,38,51,37,98,20,29,23,28,5,12,10,9,1941,122,303,28,1858,220,163,36
1100102-078,11,001,02-078,2132.9627741894233,66.10013634060465,14.012173162176873,10.020111770274253,6.0110613162106175,6.016194886470834,9.02820921350967,1939.7500615216043,34.04414042435193,33.021277610888006,57.05149768654466,32.0681690784296,15.01529587029011,37.03964219464386,11.037841013477959,10.011220151348654,870.470058954068,51.08113641629666,23.01921275409353,72.04498859468961,425.415050205823,696.1025832533774,215.16381348693508,272.3990618515288,118.1322115920747,77.05298119743448,72.07859505408807,53.05446155951986,25.007992602744878,57.031227081132364,50.151735718835404,30.01450169459993,210.05520174056255,15.015613540566184,22.073829999946973,19.012490832452947,16.028368048647707,18.009526959477746,24.025086505396434,8.027732708095561,14.01931759458407,1788.5312177244623,82.10797010821149,222.23615682718778,16.026039516224653,1689.4633694651134,193.28055777836383,110.10331304336539,15.014342859461891
1100102-079,11,001,02-079,1523.2272570044968,70.97163611207195,4.091663784157731,14.201660325147008,9.091663784157731,8.164994811483917,15.201660325147008,1404.1189899688688,29.25665859564165,24.384987893462473,47.568315461777935,36.53164994811484,6.091663784157731,27.366655136630925,14.274991352473194,6.073331027326185,687.6278104462124,52.51331719128329,22.164994811483915,29.696644759598758,298.6381874783812,490.01625735039784,120.17329643721897,190.0882047734348,93.6682808716707,30.53164994811484,30.824974057419578,39.696644759598755,11.128329297820823,33.43998616395711,55.33829124870287,11.29332410930474,130.95330335524042,12.238325838810102,27.43998616395711,14.29332410930474,22.56831546177793,9.183327568315462,18.256658595641646,3.293324109304739,10.219993081978554,1281.8557592528537,76.78830854375649,172.95157384987894,14.109996540989277,1240.3241093047388,146.96990660671048,80.06329989622968,17.10999654098928
1100102-080,11,001,02-080,1302.6169598254787,89.83565240175716,3.9926956623003185,20.96165222707667,2.9945217467252387,3.9926956623003185,19.96347831150159,1165.867133391693,34.936087045127785,30.943391382827468,33.937913129552705,26.950695720527147,16.968956564776352,26.950695720527147,13.974434818051114,14.972608733626194,646.8166972926515,61.886782765654935,14.972608733626194,60.888608850079855,279.4886963610223,339.37913129552703,198.63660919944084,174.68043522563892,71.86852192140573,40.925130538578266,20.96165222707667,35.934260960702865,27.948869636102227,10.979913071325875,40.925130538578266,15.970782649201274,39.92695662300318,7.985391324600637,26.950695720527147,16.968956564776352,9.981739155750795,4.990869577875397,3.9926956623003185,5.9890434934504775,18.965304395926513,1006.1593068996802,102.8119133042332,147.72973950511178,14.972608733626194,987.1940025037536,142.73886992723638,82.8484349927316,34.936087045127785
