GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-037,11,001,02-037,2672.0918032786885,59.36393442622951,39.77049180327869,54.00983606557377,37.77049180327869,2432.5016393442625,134.2065573770492,152.84262295081967,15.59344262295082,2276.806557377049,152.2688524590164,118.58032786885246,302.48524590163936,953.5311475409836,221.77704918032788,38.47868852459017,2403.5540983606556,41.363934426229505
1100102-038,11,001,02-038,2132,61,34,31,39,2007,96,128,12,1819,123,85,239,857,175,32,1963,43
1100102-039,11,001,02-039,3020.5462889790188,65.29902415952171,43.843630507107434,69.03039696863723,55.037748934454015,2758.417349138653,142.72500994866888,226.68089815376823,20.522550450135395,2483.228604466383,205.22550450135395,121.26961629625461,430.9735594528433,1524.2657925236927,186.56864045577632,29.850982472924212,2688.454108967737,66.2318673618006
1100102-040,11,001,02-040,3201.05758188966,99.90816422876593,58.94581689497189,89.91734780588934,53.950408683533595,2985.255947155526,166.8466342620391,252.7676554987778,14.986224634314889,2701.5167607458307,221.79612458786033,133.87694006654635,528.5141887701717,1849.3001198744573,190.82459367694292,26.975204341766798,2840.3891090238153,69.93571496013614
1100102-041,11,001,02-041,2721,79,35,52,45,2480,137,179,15,2247,195,120,370,1140,189,30.999999999999996,2434,48
1100102-042,11,001,02-042,1471,28,26,29,23,1374,68,87,5,1223,112,70,186,700,101,19,1354,31
1100102-043,11,001,02-043,1355.30532868696,23.987704932512564,15.991803288341709,29.984631165640707,20.989241815948493,1290.3386278280716,52.97284839263191,64.96670085888819,2.9984631165640705,1145.4129105274749,83.95696726379397,55.97131150919598,166.9144468220666,547.71926262570355,121.93750007360553,15.991803288341709,1244.3621933740892,30.98411887116206
1100102-044,11,001,02-044,1970,158,23,39,46,1924,97,101,11,1709,151,88,237,671,246,33,1831,34
1100102-045,11,001,02-045,1791,35,22,39,25,1698,58,97,13,1463,81,67,198,777,125,20,1604,32
1100102-046,11,001,02-046,2129,52,27,43,40,2039,70,110,9,1778,106,71,211,854,176,33,1928,38
1100102-047,11,001,02-047,2663.6354286537235,69.84115758896132,17.409200868225,54.672567856655405,23.33887991895066,2471.355962930527,111.26630303156064,160.44787552532205,21.486874117721964,2186.56123362227,133.69530109297204,105.87788201218852,332.6465331788821,1094.94296590526,171.14151385761306,33.503893197535966,2386.495997727005,45.26040455973971
1100102-048,11,001,02-048,2204,65,25,50,31,2056,93,119,15,1830,126,71,241,949,185,33,1909,53
1100102-049,11,001,02-049,719.6946713130402,12.012295067487436,14.008196711658291,10.015368834359297,10.010758184051507,662.6613721719284,28.02715160736809,52.033299141111804,5.0015368834359295,598.5870894725251,36.04303273620603,33.02868849080402,102.08555317793342,317.2807373742965,50.062499926394466,11.008196711658291,647.6378066259108,15.01588112883794
1100102-050,11,001,02-050,1936.8690119760479,182.1369760479042,33.02919161676647,35.02170658682635,48.04565868263473,1819.7230538922156,174.14520958083833,133.1175149700599,29.030688622754493,1592.497754491018,308.2821856287425,107.07260479041916,195.1631736526946,1127.0194610778444,132.08982035928145,19.028443113772454,1694.568113772455,75.05464071856288
1100102-051,11,001,02-051,3076.282704126427,309.7304653204565,56.147497805092186,35.28797190517998,107.23880597014926,2886.355575065847,295.72344161545215,190.99034240561897,59.182616330114136,2387.5899912203686,500.9762949956102,140.3441615452151,190.83318700614575,2164.9060579455663,158.5943810359965,38.280948200175594,2584,114.5478489903424
1100102-052,11,001,02-052,1190,81,10,26,28,1105,77,82,20,928,156,38,90,744,60,14,968,36
1100102-053,11,001,02-053,976.3157399261235,48.61482274020658,15.872261625645072,21.827456512691512,6.945761160329076,934.6454986215109,40.677905444227335,57.54250293025763,4.960499577191086,860.22955026971,63.49809105888243,40.683214205535116,114.09502944960016,421.6623227609492,80.37409255068499,18.850448931535823,862.2203172349449,21.825490304799743
1100102-054,11,001,02-054,1771.970280414419,68.95992631054422,13.991869106487233,38.977349653785865,22.98664210351474,1694.015581106847,60.96457253540866,107.93727596433008,8.994772997027507,1552.098051598191,111.93495285189786,49.97096109459726,178.89604071865818,668.6114594457114,173.89894460919848,23.986061325406684,1623.056816352519,30.981995878650302
1100102-055,11,001,02-055,1791,43,17,30,30,1719,52,73,14,1530,98,74,173,592,161,32,1601,33
1100102-056,11,001,02-056,2285,58,27,47,28,2195,75,99,13,1909,96,83,227,744,214,29,2075,19
1100102-057,11,001,02-057,1832,57,16,37,35,1789,52,85,7,1587,78,58,203,653,201,28,1701,21
1100102-058,11,001,02-058,1640,33,8,34,11,1577,45,62,13,1460,60,58,160,590,182,24,1502,21
1100102-059,11,001,02-059,1878,58,19,37,29,1833,61,92,12,1687,83,70,225,761,217,23,1709,40
1100102-060,11,001,02-060,1566.0297195855812,57.04007368945578,8.008130893512767,23.02265034621414,12.01335789648526,1450.984418893153,48.03542746459134,59.062724035669916,6.005227002972493,1298.901948401809,96.06504714810214,83.02903890540274,123.10395928134182,461.3885405542887,180.10105539080155,17.013938674593316,1339.943183647481,16.018004121349698
1100102-061,11,001,02-061,1241.7557969798422,48.99036558133032,5.998820275264938,23.995281101059753,10.997837171319052,1197.764448294566,41.991741926854566,49.99016896054115,3.999213516843292,1094.7847002358512,69.9862365447576,68.98643316554679,109.97837171319053,440.91329023197295,135.9732595726719,17.996460825794813,1129.77781850823,13.997247308951522
