GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-028,11,001,02-028,1710,167,39,92,58,13,1563,100,193,125,51,1822,190,10,1780,216,42,1148,195,251,394,1032,77,21,1645,67,1451,380,37
1100102-029,11,001,02-029,902,61.00000000000001,21,52,27,12,804,33,108,70,29,965,79,4,918,110,14,611,76.00000000000001,155,186,572,25.000000000000004,13,892,31,751,211,16
1100102-030,11,001,02-030,832.6179401993355,78.23255813953489,18.626799557032115,49.36101882613511,47.498338870431894,13.03875968992248,773.9435215946844,35.390919158361015,94.06533776301218,76.36987818383167,28.87153931339978,923.8892580287929,78.23255813953489,8.382059800664452,906.1937984496124,86.61461794019934,26.07751937984496,493.610188261351,91.27131782945736,108.03543743078627,224.452934662237,660.3200442967885,24.21483942414175,15.832779623477299,781.3942414174973,54.94905869324474,746.0033222591362,154.60243632336656,31.665559246954597
1100102-031,11,001,02-031,1596.969943135662,134.2323314378554,52.31112916328188,108.57026807473598,46.38911454102356,17.76604386677498,1492.3476848090984,73.03818034118603,171.73842404549146,121.4012997562957,54.28513403736799,1740.085296506905,168.7774167343623,9.870024370430544,1685.8001624695369,196.41348497156784,34.545085296506905,975.1584077985377,161.8683996750609,214.1795288383428,366.1779041429732,1249.5450852965068,46.38911454102356,21.714053614947197,1511.1007311129163,67.1161657189277,1431.153533712429,320.7757920389927,38.49309504467912
1100102-032,11,001,02-032,1813.4713073852295,142.0188373253493,35.75299401197605,94.34817864271457,46.67751996007984,25.821606786427147,1641.6583083832336,72.49912674650699,217.49738023952096,101.30014970059881,81.437375249501,1960.4558383233534,142.0188373253493,17.876497005988025,1894.9086826347307,162.874750499002,47.67065868263473,1105.3633982035929,159.89533433133732,220.47679640718562,431.0222055888224,1373.5108532934132,56.608907185628745,26.814745508982035,1709.191741516966,60.58146207584831,1557.2415169660678,324.7563622754491,43.69810379241517
1100102-033,11,001,02-033,2022.7494101834645,105.55995050129626,44.78200113183595,114.05580935829491,67.03187255756686,23.52419394926622,1769.430086665749,67.48582385038353,241.03601561245324,133.56220031201966,87.27391672593511,2162.522555463785,146.95330937741375,13.264563784308777,2063.2340548787483,187.6155218299034,49.88345148782894,1227.922291910432,150.97904812979405,276.57414959353326,470.96073466094634,1402.7477090837483,82.16324295852739,20.38982141081821,1882.7729583935577,72.21579111891161,1675.7189299561796,404.2249308853557,43.98543717163375
1100102-034,11,001,02-034,2112.635328921617,120.06958110677252,47.880507803314195,112.70334913703188,36.094536651729165,15.469087136455355,1839.3481228442392,86.18491404596556,258.55474213789665,145.8513930008648,69.97920371253613,2208.3963445282457,167.95008891008672,10.312724757636904,2095.6929953912136,213.62072712247874,61.87634854582142,1444.5180892661406,148.79788578876105,338.11004741109565,451.55001974510157,1357.596552023201,84.71166765201743,24.30856550014413,2078.7506618608104,58.1932325609511,1798.8338470106657,429.45132383587963,33.1480438638329
1100102-035,11,001,02-035,2325,65,46,171,44,20,1895,57,389,147,119,2474,140,11,2286,185,93,1533,90,347,434,1503,79,28,2266,75,1901,577,34
1100102-036,11,001,02-036,2272,71,43,99,56,9,1876,73,273,173,109,2358,132,6,2207,199,77,1714,98,361,536,1054,98,25,2265,54,1997,422,22
1100102-037,11,001,02-037,1843.839344262295,32.41639344262295,37.77049180327869,89.18688524590164,33.8327868852459,18.708196721311477,1540.383606557377,55.47868852459016,221.62295081967213,121.08196721311477,96.83278688524591,1910.7245901639344,111.08196721311475,9.354098360655739,1786.7672131147542,153.91475409836067,72.94754098360656,1418.1967213114754,62.18688524590164,271.51803278688527,467.34754098360656,830.7639344262295,76.1344262295082,19.124590163934425,1854.3081967213116,40.65573770491803,1639.4557377049182,324.4032786885246,19.239344262295084
