GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003001374,32,003,001374,0.07686228559801644,0.06858480868746084,0.004138738455277808,0.0011824967015079452,0,0.005912483507539727,0.07508854054575452,0.07154105044123069,5.912483507539726e-4,0.0017737450522619178,5.912483507539726e-4,5.912483507539726e-4,0.005321235156785753
32003001375,32,003,001375,0.5287374975389785,0.47179653626555007,0.028470480636714226,0.008134423039061207,0,0.04067211519530604,0.5165358629803867,0.49213259386320307,0.004067211519530604,0.012201634558591811,0.004067211519530604,0.004067211519530604,0.03660490367577544
32003001376,32,003,001376,0.8815134882444372,0.7865812664334978,0.04746611090546969,0.01356174597299134,0,0.0678087298649567,0.8611708692849501,0.8204856313659761,0.00678087298649567,0.02034261895948701,0.00678087298649567,0.00678087298649567,0.06102785687846103
32003001377,32,003,001377,1.0569632039048458,1.9724691716496312,0.006876393424447378,0.0019646838355563937,0,0.00982341917778197,1.0540161781515112,1.977380881238522,9.823419177781968e-4,0.0029470257533345907,9.823419177781968e-4,9.823419177781968e-4,0.008841077260003771
32003001378,32,003,001378,20.89435199333605,18.722849500412448,1.0857512464618013,0.31021464184622893,0,1.5510732092311448,20.429030030566704,19.498386105028022,0.15510732092311447,0.4653219627693434,0.15510732092311447,0.15510732092311447,1.3959658883080304
32003001379,32,003,001379,0.002055085920440408,0.0018337689751622103,1.1065847263909889e-4,3.161670646831397e-5,0,1.5808353234156986e-4,0.0020076608607379367,0.0019128107413329955,1.5808353234156984e-5,4.7425059702470954e-5,1.5808353234156984e-5,1.5808353234156984e-5,1.4227517910741285e-4
32003001380,32,003,001380,0.001485649924887424,0.0013256568560533935,7.999653441701513e-5,2.2856152690575752e-5,0,1.1428076345287875e-4,0.0014513656958515602,0.001382797237779833,1.1428076345287876e-5,3.4284229035863625e-5,1.1428076345287876e-5,1.1428076345287876e-5,1.0285268710759087e-4
32003001381,32,003,001381,1.9672421185780231,0.8630775827311591,0.05208226792343202,1.0148806479781234,0,0.07440323989061716,1.944921146610838,0.9002792026764678,1.0074403239890617,0.02232097196718515,0.0074403239890617175,0.0074403239890617175,0.06696291590155545
32003001382,32,003,001382,0.0011454658334117717,0.0010221079744289654,6.167892949140308e-5,1.7622551283258025e-5,0,8.811275641629012e-5,0.0011190320064868844,0.0010661643526371106,8.811275641629012e-6,2.6433826924887034e-5,8.811275641629012e-6,8.811275641629012e-6,7.930148077466111e-5
32003001384,32,003,001384,86.58053440413609,79.25562963238872,4.69324447065221,1.428972927791512,8.018894137260351e-4,6.55182230394332,84.5351864716545,82.49634207305948,0.8344136779821366,1.961171637885254,0.7069602663396394,0.653278385176348,5.908083834231851
