GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003007529,32,003,007529,528.6213141042246,291.9496460475096,10.105567364336808,3.94710086103006,7.501964536206752
32003007530,32,003,007530,447.42027292007464,318.3071336995582,8.008628715950222,2.0023444498471563,11.004763668565042
32003007531,32,003,007531,541,303,8,1,6
32003007532,32,003,007532,491,323,9,3,13
32003007533,32,003,007533,0,0,0,0,0
32003007534,32,003,007534,786.8654294650765,1653.7112364173192,6.998777905030977,3.999301660017701,23.995809960106204
32003007535,32,003,007535,0.03221142191902976,0.05905427351822122,0.0026842851599191463,0,0
32003007536,32,003,007536,336,844,6,1,9
32003007541,32,003,007541,0.8179407214412866,0.0028634668279928855,0,0,0
32003007542,32,003,007542,11.403674653890354,20.920817249475228,0.9517142595584875,0,0
32003007543,32,003,007543,0.9585417667924194,1.5557572228271794,0,0,0
32003007545,32,003,007545,382.8526740665994,747.0716448032291,10,1.2926337033299697,12
32003007550,32,003,007550,12.304357983313897,19.075648566448837,0.0011452036212640298,0.6145307769929365,0
32003007551,32,003,007551,245,666,14,2,8
32003007552,32,003,007552,352.38782171984406,622.9211395981264,8.984976395229694,2.994755037447271,11.979020149789084
32003007553,32,003,007553,385,471,17,2,10
32003007554,32,003,007554,274,458,6,2,7.000000000000001
32003007555,32,003,007555,446.04522493637126,810.0799443634437,17.001153043703514,5.000384347901172,15.001537391604687
32003007561,32,003,007561,334.7630400719029,664.5296168591506,8.993633912379481,2.9978779707931604,8.993633912379481
32003007562,32,003,007562,310,648,12,2,5
32003007563,32,003,007563,212,473,2,0,10
32003007564,32,003,007564,278.853749140462,639.8745755802591,7.72117181176084,1.0579819961471988,8.686318288230945
32003007569,32,003,007569,647,651,10,3,19
32003007570,32,003,007570,353,396,5,2,9
32003007571,32,003,007571,400,349,10,3,17
32003007572,32,003,007572,461,458,18,7,13
32003007573,32,003,007573,475,689,14,1,11
32003007574,32,003,007574,452,659,14,2,9
32003007575,32,003,007575,239,444,13,1,3
32003007581,32,003,007581,502,880,10,3,10
32003007582,32,003,007582,644,743,12,1,7
32003007583,32,003,007583,546,916,8,6,14
32003007584,32,003,007584,426,768,13,5,15
32003007585,32,003,007585,306,762,3,1,8
32003007590,32,003,007590,77.92543859649123,82.9298245614035,3.5745614035087723,0,0.7149122807017544
32003007591,32,003,007591,355,494,9,3,9
32003007592,32,003,007592,518.557564944537,513.1202219360878,12.306287779427699,0.0024721832736576024,1.2947075248290922
32003007593,32,003,007593,663.0565725182547,1115.337850366147,25.305454450197022,4.401874945317226,14.841090284648091
32003007594,32,003,007594,716.1124694376527,971.6625916870415,18.117359413202934,3.8141809290953543,18.117359413202934
32003007595,32,003,007595,262.53936272462187,680.4489001195775,4.520248645278746,1.2806333001846197,4.539563906487718
32003007596,32,003,007596,191.4968152866242,313.4294813466788,1.5632393084622385,0.7816196542311192,7.034576888080073
32003007601,32,003,007601,483.6558671710983,927.4125581771764,17.51671148708203,2.919451914513672,20.436163401595703
32003007602,32,003,007602,565,888,16,1,10
32003007603,32,003,007603,713.3667617086792,1211.8280554549112,21.888519885064078,1.9898654440967343,15.918923552773874
32003007604,32,003,007604,472.3900441083806,799.471329552615,8.604284814114681,2.1638311279143037,9.638311279143037
32003007605,32,003,007605,425.6099558916194,696.528670447385,18.39571518588532,0.8361688720856962,8.361688720856963
32003007611,32,003,007611,426.26380750513744,675.3780569518777,9.230264791229141,0.02093316283901281,7.209331628390128
32003007612,32,003,007612,329.4311952626832,425.4728320743182,10.421154128468217,0.9604800440977901,9.454668819511783
