GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
1719500UG01,17,195,00UG01,232.98022899630345,469.9647571748821,9.999315386687703,1.9998377741421656,0.999963788646231,0,239.97996691866203,452.9657124640009,5.9995554944187885,7.999497129042014,1.9998658888036935
1719500US01,17,195,00US01,84.93797516359669,239.8234599973011,8.993250417554343,0,0.9992179340809736,0,86.93652663608887,233.82792118415477,2.9976538022429207,5.995712219641654,1.9984358681619472
1719700CH01,17,197,00CH01,466.5061255800382,734.7152516273978,17.032258470476474,3.0711902393432053,1,0,451.36374510135175,666.4371639684153,56.74416086390852,22.533926795074038,11.498331675402435
1719700CH02,17,197,00CH02,520.2403579599559,845.8647002492033,27.530394075055376,1.8987115448381637,7.102500753821725e-5,7.102500753821725e-5,516.4438581953775,785.1033028891032,46.51864592355763,14.240620686316381,13.290554663821917
1719700CH03,17,197,00CH03,479.62075090106504,773.049347707994,17.233634530493408,2.2704843758696702,1.04745153200632,1.047800876984486,488.5895493541478,669.1281420802845,53.92647901559622,20.031372303251565,8.439717826883653
1719700CH04,17,197,00CH04,396.5328589866628,606.6370331948689,16.768717400675648,8.877386398381159,0.9863966855122579,0.9863966855122579,400.4785769938755,529.6974879051598,59.18359110647358,14.796055294814819,6.904803051618543
1719700CH05,17,197,00CH05,499.5363724571924,747.0016566776613,14.29298321397551,5.020205738894863,1,0,491.4959609794027,683.3550730330257,45.49504060292414,20.15154304171147,14.141440172264039
1719700CR01,17,197,00CR01,739.9238608562445,261.9428591382259,7.921490647637711,2.976487454590638,0.9862154341503861,3.948102339802802,662.8301495360065,216.39664609599828,109.71913617777025,11.89134926942433,7.9284536587852825
1719700CR02,17,197,00CR02,548.918035035544,315.77542875700647,11.804688925495569,7.869792616997046,0.9837240771246307,0,509.5690719505587,271.5078452863981,78.69792616997046,13.77213707974483,8.853516694121677
1719700CR03,17,197,00CR03,490.1703345848236,374.7702745199291,7.954800907091005,4.979888528369563,0.9862121519486909,0.9699362290733218,454.6015934231693,326.51098276594473,59.498247574428845,14.776906356354996,6.936036909391575
1719700CR04,17,197,00CR04,708.2600528592922,338.79234576875666,10.506828004677624,5.236724719684843,1.0432131187329057,1.0440256014743445,638.5892968255822,318.73846167387353,81.42449326450077,11.466502139799834,6.26243607302234
1719700CR05,17,197,00CR05,775.4972410912859,212.40368097776113,11.700965645970443,4.87964957175363,0.9750804704975369,0.0084944385318913,691.619084532168,186.11473324772115,107.22062678133555,11.688223988172606,5.850482822985222
1719700CR06,17,197,00CR06,635.2315881032824,404.14432543374505,11.887881114624687,5.940834574473943,0.9978196296351319,1.9547664847911195,545.6755140375965,385.60042422092806,99.92241439812256,9.08596176327361,5.992094005151408
1719700CR07,17,197,00CR07,736,266,4,5,0,1,665,238,94,6,5
1719700CR08,17,197,00CR08,643.441262282566,443.8379340835112,9.013430166474546,4.987410975998956,0.013880926798625274,1.044677346315117,593.890021675363,392.75257585562304,72.75984489133175,15.99302934751336,10.991737444715778
1719700CR09,17,197,00CR09,505.5576251869615,474.33315132106446,13.209914588028415,2.1292115581313813,2.013854191112092,1.0299975600114042,482.22526801955576,429.3783308535131,62.7573107425398,10.325890055716432,7.1852423918267165
1719700CR10,17,197,00CR10,326.9909908999765,435.00200560688586,5.071595752195987,1.0899930025570732,0,1.0117097072627188,326.808329877623,381.55100492843286,37.563731327544524,15.09736231364643,3.113412417082511
1719700CR11,17,197,00CR11,332.2452057264484,493.8889769881529,5.879487373935426,6.852937311262909,0,0.9801374804258499,318.5420061211619,454.6660901590631,46.05308649381821,8.829262375550691,8.813212272114608
1719700CR12,17,197,00CR12,408.7638033735752,419.10901740496126,11.048916873868587,3.057069686180018,0,1.0081528123114312,386.6496640012151,374.782904912504,62.38318217863726,9.07337531080288,8.07337531080288
1719700CU01,17,197,00CU01,185.70805777841048,571.6581189599235,6.035755765755756,1.0078003382617102,0,0.0066336009393018125,205.74462584931135,519.4376697163323,27.13048720384477,4.035580138496152,3.0289387533188794
1719700DU01,17,197,00DU01,745.4496004929606,526.2073529612129,16.465758200013653,7.22627059340994,0.1336700138805888,0.8915703554154694,687.7989840430032,543.7620650204368,29.76785941437717,14.72076973317936,10.778781976696395
1719700DU02,17,197,00DU02,830.6837653702136,496.59772101535657,16.1848713364165,7.203804970499915,4.191992574259634,0.08674125926274458,738.0535830224551,559.8901783674511,39.278741949880505,7.832460938568193,5.757926847689952
1719700DU03,17,197,00DU03,813.5405169357292,489.9245130059237,19.55721800118702,1.254099567734667,2.058223033439656,0.054276931692571584,725.1492109044747,564.5222879476089,22.705714288919214,9.397015114987365,6.293359722754877
1719700DU04,17,197,00DU04,645.1997636835133,321.1575574818084,17.307892319378897,6.730847013091793,1.9230991465976552,0,600.0069337384684,329.8115036414979,37.50043335865428,8.653946159689449,8.653946159689449
1719700DU05,17,197,00DU05,575.5536099425775,316.10716400991305,5.964286113394585,5.964286113394585,0,1.9880953711315283,543.744084004473,301.1964487264265,51.690479649419736,4.970238427828821,3.9761907422630567
1719700DU06,17,197,00DU06,624,285,9,5,1,0,576,292,42,5,4
1719700DU07,17,197,00DU07,674.9006893535435,428.6335152131801,12.347453511286849,1.0045522730042116,2.81935636482622,0.9674402733850294,609.7826759227714,471.6052179516516,24.92853952916738,7.645628279553185,7.560490356456844
1719700DU08,17,197,00DU08,748.2028898739978,240.7492755411096,11.297438173786274,4.137495553842416,2.0290804763534287,5.011904628868471,698.3290246177968,217.7908529681865,56.87658963947212,16.16062371576161,12.154671401327372
1719700DU09,17,197,00DU09,611.9407221014441,292.53271369106676,11.442591951182523,6.658848228858332,2.839560312710892,0.010816929202620774,579.1385281671954,282.2812741914591,39.057694532738175,12.374664433930338,3.997514471229288
1719700DU10,17,197,00DU10,1236.1965293649873,373.29149842981684,24.606883687655603,9.14478509570415,2.599473799783453,4.558332777376569,1152.1828145029824,359.88678561568076,86.26823731119549,23.813381439363628,15.261486159352215
1719700DU11,17,197,00DU11,739.7320115147237,250.41511673844732,12.472783592336457,8.6350040254637,1.9188897834363778,1.9188897834363778,704.2325505211506,218.75343531174707,47.97224458590944,17.2700080509274,15.351118267491023
1719700DU12,17,197,00DU12,680.2378613457189,311.5131393941498,10.362159559299304,4.229690672816434,2.047351289529921,1.047897622554045,644.1414941873505,280.6719156576268,62.43313154350819,7.471030242505929,9.432596184728448
1719700DU13,17,197,00DU13,905.1443975653276,372.20503735077455,15.87852638036802,6.947085361921438,0.9930404852099513,0.9926523141474547,847.5843943000232,345.40004608814303,70.47174384049666,15.878310838950297,16.87245845789164
1719700DU14,17,197,00DU14,779.4311446558302,374.0565873912941,15.016560930898025,4.013248744718421,1,1.0033121861796053,707.2522866021316,357.0102167847796,69.14904837808223,15.033121861796053,13.046370606514472
1719700DU15,17,197,00DU15,707.4517931461555,307.4620190921303,4.819153904265365,3.8553231234122918,0,0.9638307808530729,655.4049309800896,293.96838816018726,43.37238513838828,9.63830780853073,13.49363093194302
1719700DU16,17,197,00DU16,804.4556090565292,298.95991714967886,20.842784060948695,4.964164427902372,0.002915885322290457,1.98829006795101,758.7701337161515,279.1047173807305,63.56404858266423,15.881535518368612,8.936370735820956
1719700DU17,17,197,00DU17,640.7574137334002,225.42638223030073,8.197322990192754,2.732440996730918,1.366220498365459,1.366220498365459,602.5032397791674,217.22905924010797,30.739961213222823,10.929763986923671,11.612874236106402
1719700DU18,17,197,00DU18,767.5997809046216,298.1462562970445,12.223642036190906,11.083285067342535,2.002322784916218,4.002322784916218,710.014379308439,271.29349828077284,74.86097110334718,15.280713937696742,14.28187533015485
