GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17095000801,17,095,000801,111.21462229829146,138.29213548344003,15.494422158710343,1.8121181337067853,3.588010975423988,118.53271845904165,139.91604858737213,4.692465530677833,2.7215740201021053,0,110.49025955287179,139.90274623994733,8.17802440773112,5.471166214081879
17095000802,17,095,000802,134.48141336085013,209.16087557568684,21.91589949432667,3.983199786366743,1.9915998931833716,154.39187851314412,191.2406268716913,19.911848597178924,2.9887832846599873,0,153.39469512166752,187.2643443097492,12.942632415922054,5.983100348859696
17095000803,17,095,000803,166.01130077934255,223.0160205165974,24.001861304832893,1.000265900690413,5.000132950345207,174.0123643821042,210.01502338900835,15.001130077934256,7.0002659006904135,1,169.01223143175903,223.01508986418094,12.000731226898637,6.00079770207124
17095000804,17,095,000804,110.70136984891175,144.31074905869147,11.861526237974589,2.965117229236887,2.965279894010278,123.5506991699251,138.38051460021768,7.907629937058595,5.930397123247165,0,115.64339456241328,142.3338415744268,8.896002346804224,6.91885086537949
17095000805,17,095,000805,169.6489877453812,192.97284834819055,23.50229478696186,1.9979696697592197,3.077822748443573,177.8834711558323,187.9779241737925,14.309260663533513,4.076807583323183,1.9979696697592197,183.71564367750048,184.90010142534894,9.314336489135462,5.116226540105164
17095000806,17,095,000806,183.57502476069925,259.1814578907467,30.023911115151503,4.202608701192892,2.482147012486819,200.60269372425606,244.41768612689415,17.731273797150195,4.385569246490317,0,197.51285037489183,245.35313500705968,12.181120304324834,12.651705919135042
17095000807,17,095,000807,47.86062081233782,100.65759460662721,12.517489674398373,0.22079121752704542,1.9982579012923742,53.851623227611405,100.16611363990965,7.6539934241725,2.159229803647609,0.024810419485839227,49.96368656892479,98.42354075033735,7.649449771620096,3.1834974726527525
17095000901,17,095,000901,183.23724678338576,330.54323981491234,24.068605618248522,10.999974217853074,6.01054930165776,217.2688571870544,305.5432984107008,15.04221830111489,13.01053289483699,0,215.2477351454235,301.53274442137996,17.04221361345181,8.01582629631818
17095001001,17,095,001001,155.99997622928348,317.99995154430866,21.999996647719467,0.9999998476236122,11.999998171483346,165.9999747055196,315.99995184906146,15.999997561977795,4.99999923811806,0,168.99997424839046,311.99995245856695,11.999998171483346,7.999998780988897
17095001101,17,095,001101,77.99883547410465,155.99768091488463,17.999732221589085,2.9999570313774,3.9999352334967146,103.99840327932357,130.99809629512268,15.999760867337486,9.99984182124503,0,95.99854776234312,140.99792565802358,13.99978452974823,5.999906587748314
17095001201,17,095,001201,58.957485020586894,121.9119994894049,13.989903220926891,2.9978221115263324,0.9993240625284484,60.95643329776182,119.91306788734764,11.991355146576002,3.997196199407785,0,64.95332934505157,118.91397727646655,7.994292348109561,2.9978721368793364
17095001301,17,095,001301,224.9998665272417,369.9997902069246,12.999995765233365,5.999996039534976,7.999995388032416,224.99986853319902,372.9997882266921,11.999994753679747,7.999995388032416,0,197.99988501798674,389.99977633672205,10.99999541375725,11.999993082048624
17095001401,17,095,001401,56.54729362889834,141.3678081688051,6.824668511102729,1.9499165077943066,3.8997928739739773,62.39703361471772,132.59326110992856,6.824646756541377,4.874752663385927,0,71.17150154828263,126.7436026603729,6.82465078412695,0.974970054173537
17095001501,17,095,001501,123.45330758042817,231.6332579799705,17.175399674142287,2.0501133871940316,5.100228298151942,129.60364880864498,224.40774811853834,12.175398759883958,6.125283848926048,1,118.82915882245355,234.25740780457986,9.175398150378408,8.025057836419924
17095001601,17,095,001601,164,281,33,5,4,196,260,20,15,0,180,280,15,11
17095001701,17,095,001701,41.043668630130334,118.09029784535426,7.010362047827537,1.0022204388201865,7.40146273395532e-4,42.04514892267713,116.08881755280747,2.0088817552807465,5.002960585093582,0,40.04810950777071,112.08807740653407,8.005921170187165,4.002220438820187
17095001801,17,095,001801,145.0000027773525,228.00000587516874,16.000000907980624,0,4.000000160231875,159.00000352510125,213.00000507400938,13.000000801159374,5.00000032046375,0,153.00000347169063,209.00000555470498,13.000000587516874,12.00000010682125
17095001901,17,095,001901,50.84588656306639,107.55860619110197,16.622693684079398,0,2.9334165324845993,64.53516371466118,92.89152352867897,14.667082662422995,5.866833064969199,0,63.55735820383298,101.69177312613277,10.755860619110198,1.9556110216563996
17095002001,17,095,002001,36.15411065958112,97.44138793372929,5.377305407939981,1,1.066583307283526,45.46483276023758,88.10847139731166,4.33291653641763,1.1331666145670523,0,38.4426383244764,97.30822131916224,5.2441387933729295,3.044388871522351
1709700Ant1,17,097,00Ant1,307.3740149767963,498.2266355931047,52.24455072074138,8.539592757984167,12.474858277497454,314.496160661467,480.1621094385928,51.60234438497514,24.997567988338957,3.085993172268181,272.02570080972373,518.4020147904916,49.43480070600464,26.062338005914743
1709700Ant2,17,097,00Ant2,337.82939630509486,410.43797568573837,31.952943593091096,13.552371789134003,11.615755026934057,365.901708474538,365.9229157857157,39.68806719637723,23.229537280735308,1.9361235689167435,303.96350922739754,421.0841893483644,33.880682876193404,23.233482827000923
1709700Ant3,17,097,00Ant3,313.01615904860734,418.07706691592284,40.05252400026021,9.055350131404055,16.013064554079047,299.2662519954456,418.7683576991608,40.105490973760446,24.059322061243748,1.0090926242393525,253.0333756876862,471.92584407115754,33.09480957758522,21.07176941865087
1709700Ant4,17,097,00Ant4,307,385,37,14,20,307,409,29,11,0,247,447,26,20
1709700Ant5,17,097,00Ant5,336.5130919220056,358.6451253481894,37.06685236768802,13.021727019498607,13.021727019498607,361.5130919220056,311.641782729805,38.05515320334262,28.03342618384401,1.0033426183844012,300.44456824512537,375.71866295264624,42.04345403899722,21.03509749303621
1709700Ant6,17,097,00Ant6,301.1172119407108,384.22270758179246,47.14446395661056,13.029705839855877,10.03204745331277,327.04981915655117,370.3169637589449,36.10595107175268,16.023741241716944,2.012930863090223,298.9919685524774,390.3883046349345,32.09820426898242,24.017496939165223
1709700Ant7,17,097,00Ant7,359.4481040746332,429.21322434286304,51.51400113629454,10.13279984715114,17.681546599659992,360.8606679604228,435.1085811924405,38.993846911448586,15.880061156289115,0.1962013973570654,282.64600599723923,489.1880530104131,39.992938991607765,24.47724914485072
1709700Ant8,17,097,00Ant8,293.9569830011016,369.5580179398899,38.306707121443324,12.440629800048592,12.448199203028711,293.9672644378939,367.64516676361575,31.598758026511693,19.13784870210671,1.9122135207074944,254.67647170046246,411.6804373169326,24.908277977073986,20.10861402909191
1709700Ant9,17,097,00Ant9,371.64862671359975,418.47834643354395,49.81885076589809,10.96014716849758,10.96014716849758,358.6957255144663,441.3950177858571,36.865949566764584,9.963770153179619,3.985508061271847,336.7754311774711,465.30806615348814,33.8768185208107,9.963770153179619
170970Ant10,17,097,0Ant10,253.81055565375948,354.735225421593,28.978370527397736,8.993287405054469,6.994779092820143,251.81204734152516,370.72329191946756,16.987320653991777,10.991795717288795,5.99552493670298,188.85903550614384,436.6740662232003,18.9858289662261,7.994033248937306
170970Ant11,17,097,0Ant11,204.6081763851512,292.70611710525736,34.501642545494406,8.599589881285663,14.838814082896796,202.30978051768773,308.2473719480917,24.30093340566526,15.701343524379595,0.7799030252013919,156.89982392140902,348.97791039316206,24.29576925464767,14.126045020924048
170970Ant12,17,097,0Ant12,223.1711590170497,373.7086207902418,38.7142167086124,4.826613576540718,5.037407219944391,231.0325264775916,363.2093153483902,26.127426902449614,21.273886587953726,0.11425276304314319,193.9062000081246,400.3843229449774,24.821562759560912,18.286883258846863
170970Ant13,17,097,0Ant13,284.45184854876976,328.36722165805355,42.91729644770913,7.9846132925970466,11.97691993889557,273.47300527144887,339.3460649353745,31.938453170388186,9.980766615746308,1.9961533231492616,228.55955550059045,378.27105473678506,24.95191653936577,12.9749966004702
170970Ant14,17,097,0Ant14,248.8373462742116,402.3680024522846,26.890610943867348,10.16284484800321,9.085619362456063,257.15044515485465,393.90255106977446,26.33198510368811,10.77225485547147,1.0264413182581253,192.321531630248,450.82463905205026,22.480140667100716,17.44950241038813
170970Ant15,17,097,0Ant15,280.6979594653569,505.59655548549927,26.409662997397273,10.758092851137409,9.779496828930442,309.047413064101,435.2171913406188,40.09011994478953,26.40071368381991,2.9357880666208955,253.29279618677324,489.9956981161778,38.13591100490139,32.26483205574723
170970Ant16,17,097,0Ant16,333.6977159243185,478.7726925078833,38.86759073029034,14.221524349217614,8.533036091589977,343.19594211554676,456.9547738827525,45.49940231686232,17.06667959347701,3.791515624689018,244.62564702808808,546.9829217241654,40.766993004417166,21.806985239783863
170970Ant17,17,097,0Ant17,270.6315558888792,439.209613609682,30.507240631044823,13.882521620937815,8.59131979954969,308.34707635689307,398.30053989939296,29.03791693160984,18.257666018792612,2.24523602364181,265.2724693171219,417.9763551363111,37.70817432609229,22.574092251880256
170970Avo18,17,097,0Avo18,458.9401307159585,279.2374745525144,35.49127901358946,10.328931388090979,5.4293142051251095,474.9428099445296,251.84052750683333,34.975900401073666,11.442546590336086,0.05409685400872231,423.9444574559857,293.68978748234633,38.00921559743889,14.42164485334279
