GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17163000CT4,17,163,000CT4,291.27794300099544,192.82395134864217,13.087698331796632,13.817453277368767,284.369216362311,209.6490521989453,15.03823786467166,350.09432401363733,151.80115143571686,8.947893962205201,304.9181406970726,182.5938030765843,19.594023119396052,286.8858342935146,198.10949154893873,22.513042901684592
17163000CT5,17,163,000CT5,287.7150604990972,67.12777753387348,13.41911576965436,11.50237568983606,286.7560020993303,75.74971486454474,16.293766778501638,304.9794701321564,64.23891788652662,8.630508608736514,278.13096135283376,73.82963236576802,22.047878173970076,287.7107998583785,76.70002273389655,16.30076135034041
17163000CT6,17,163,000CT6,433.74247260929184,61.77574109334292,4.9999990186833365,5.5738725254958545,423.5010599992592,57.51494584985542,7.1354617271214185,458.669369416515,39.96996873442953,9.208174239631052,403.7754601962597,59.2675984392368,10.905932890163138,399.464384255765,59.33820588194085,12.309510506212465
17163000CT7,17,163,000CT7,212.2575034035878,3.8358899835800835,0.07121510528136606,4.749040073325658,206.70000597831785,7.5383304213782685,2.8719311447182307,217.94060760882675,0.9587303283199223,1.9625332092115586,214.0918155775594,0.9820893970910649,1.9819708950762533,208.51357333878926,5.630188886854346,2.9405319947286315
17163000CT8,17,163,000CT8,154.19031719532555,78.52766732432842,12.019911974502959,1.0298679617544393,149.14053725906814,83.57744726058583,7.059735923508878,169.24009713158296,68.47788738807103,4.069691910760358,155.13058127181665,78.5376233115799,5.119471847017757,148.19031719532555,78.45797541356806,10.129427834269237
17163000CT9,17,163,000CT9,301.1250637994184,53.61595231873824,11.453742845861823,2.888916363050271,295.38120527543094,66.0487106588369,6.688899816111194,314.54250000077275,44.98600861520994,7.645265842272629,297.3052620617915,54.5638247943714,9.572153812142616,298.26162808795294,57.424429322327434,7.662252943329173
17163000FR1,17,163,000FR1,212.21482811935826,494.67469563700024,34.16949111307611,8.13535561091008,196.06149621485184,521.9275892186299,18.156553465906764,302.86396874441834,433.14064878530434,9.146555949953301,226.11776826401402,486.7449432801599,16.154936260010597,222.0297956079564,484.79800484416006,22.1613922332033
17163000FR2,17,163,000FR2,243.33548471437544,474.1591500734493,28.97960943002828,14.92944097574779,224.36171000113282,506.0798507745777,20.95951122321003,346.07016682882926,396.39510408302573,15.944808521850238,247.37768446743175,470.1426726011491,19.97949823847649,240.3954692406864,472.11768929283687,23.976687669039528
17163000FR3,17,163,000FR3,220.60810581410524,435.2566780083326,30.94679504032598,11.977397470051494,190.66616761178437,469.1943226023537,26.94914430761586,317.4352533581381,360.39366627028903,20.958501231580257,222.60926438967212,430.2642810108686,36.92693867490835,210.6334223924285,432.2592176952039,37.92712909448983
17163000FY1,17,163,000FY1,87.15646891138996,141.65745436081946,9.192373112874275,6.100885518995618,77.93309624748399,153.91559726851054,7.154611853540411,113.67963159520552,123.31404086977984,7.118560870801324,84.05464813383406,141.69568557901852,10.228189116180763,86.020422587821,143.7156516672453,8.19536412842304
