GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44005442705,44,005,442705,313.64782147160025,250.74704522936122,0.014279151553567265,293.5308418022512,214.90292567324096,22.478939720964686,6.113585477787298,17.231269365965982,2.083255349249871,2.015991432465383,289.3249328134435,203.0226833965794,9.158578169717389,11.191558750536531,25.35340896244864,3.145177645015245,367.8755349157431,106.52466385041058,11.071310068521122,302.79446593358966,248.49964648302839,0.0016527363933392764,332.09689284844785,218.1649128359188,0.026079198517125618
44005442706,44,005,442706,328.2994657286295,275.87716774441765,0.9886416240853346,325.3269157906401,209.63641224650468,34.60488603375562,7.910458005829355,16.809115964695152,5.933395593183133,0.9890832951342275,307.53909580045973,221.48951163035525,10.879695410952056,13.842970256914702,25.706007239365377,10.874616193889787,421.24370351097105,108.7728830373559,4.944533133573351,340.15919017821346,257.0907685315518,4.4167104889294414e-4,362.902805913714,232.37075288997843,1.9766207415973298
44005442707,44,005,442707,910.0300360629471,709.9024944241095,1.8512979305157395,876.7274916629013,578.4486310360459,74.96975930492337,20.35647035470906,40.723349884036885,17.58863148672687,3.699993567376787,875.7302796221395,556.2838005961235,39.78729174416025,34.23600024626772,53.705856040539295,18.51818389246678,1133.9811363417757,297.08517541516443,14.822093765572031,915.5722195330483,665.4830544131778,1.8539002241704317,978.5098434364467,602.5389247756427,0.9295524057399079
44005442708,44,005,442708,1086.2539922758335,723.0449370049924,2.0382586971005305,1065.1260078658802,570.7373853770292,76.14132500707568,16.3365642671031,40.686306129916666,20.235103338231983,2.0717124823079986,1009.6552530361789,585.057082559722,31.69430735548956,27.543345340686532,72.59570665292723,24.150001826529028,1288.4089028186975,288.7091447311268,25.09027537098676,1083.1329405833499,683.5887439041687,3.9987613839808174,1147.1029376540266,614.6895718647396,3.982034491377083
44005443301,44,005,443301,683.7523483361803,486.54105274955754,2.79,668.849392852664,419.56319848460043,45.591538478360924,10.234251015465972,20.467935228869816,7.444251015465972,0.9311336041242593,658.6242106701922,386.07441305263745,21.39991903608727,27.908502030931945,27.9104858381494,3.7225506092795833,833.5177734650633,201.88340086704576,5.583400812372778,681.8878139196833,440.0294333072839,2.79,724.6851013825782,412.11753046397916,0.93
44005443302,44,005,443302,686.2097951780792,512.2546510222916,0,608.362465473003,451.70672791834346,73.04193898254064,14.416172167606705,26.910188046199185,14.416172167606705,3.844312578028455,624.7007939296238,421.9133054386229,33.637735057748976,28.83234433521341,35.55989134676321,8.649703300564022,806.3445632414683,248.91923942734243,11.532937734085364,670.8325448659654,472.85044709749997,0,729.4583116808993,432.48516502820115,0
44005443303,44,005,443303,420,293,1,409,240,36,10,10,6,4,396,249,20,8,18,4,488,127,4,429,259,0,456,235,2
44005443304,44,005,443304,581.117447650754,461.34603994229735,1.0677251670287249,571.6266759548212,388.29613372739703,31.040396166521063,11.826318360125649,31.57363173579275,6.759457230864378,0.17720087667081555,554.0383002035669,368.28693569138704,12.870852155244432,22.834029200281396,35.101906268211785,1.438118316008648,728.5634056166509,163.88958606348,9.597599721506263,615.4463779312526,387.6448470385585,1.0677251670287249,630.8424962460036,376.3445642714329,0.02264705882352941
44005443305,44,005,443305,127.11599707028067,97.09266805055942,2.1600944186345067e-4,116.1147010136295,78.07776339907085,19.005832254930315,4.002376103860498,5.006480283255904,2.0012960566511806,0,111.11081284367594,76.0738752291173,3.002376103860498,6.0045361982791325,14.007128311581495,2.1600944186345067e-4,150.1460223826997,45.032185406837655,2.001944084976771,118.1235574007459,90.07733138018712,2.1600944186345067e-4,129.12614951404825,83.07538729521035,0
44005443306,44,005,443306,607.7392142129712,498.1934738290672,1.938923769494793,562.1857402564011,411.93038274711216,74.62845240385874,14.53946213367393,30.046687257347536,13.568849384742594,4.845829741214772,586.4133544768963,394.4866451884244,30.045152771768947,15.509307639815974,36.83133116194434,4.846048953440285,720.1841881407022,229.70234773228614,8.723129249640577,612.5857015908625,451.6708120030316,0.9690782633527494,655.233475242953,414.839152022749,2.1921222551256857e-4
44005443307,44,005,443307,524.1969778086087,429.5248674091403,3.0458083004362093,534.0455532612406,349.0357488300148,37.55995235310247,8.292722778596302,22.285760680424435,3.181258811927182,0.06020022732932122,482.1877639894597,354.87151446473763,16.194144079552014,19.179752152658903,43.01946656701701,4.991063512010477,630.51241830396,166.93440324763245,9.997177080853284,529.2482415479485,390.35076109477484,0,560.7767775275079,355.1273654308872,1.9904053820712586
44005ZZZZZZ,44,005,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44007440301,44,007,440301,466.5981052560248,543.2558519524629,2.0066730752280044,340.02541376796944,528.6695067916909,58.40372918911467,18.2012371224611,38.33300825747714,13.244965895951877,2.9433924320996416,467.0659245960466,406.7698143675203,30.97303829221712,45.30737784087541,26.758002097261915,1.9400558944856396,588.9098239894233,287.0895175449608,24.011660298077953,513.6934352237794,455.8235424237851,1.0699537183563668,524.4812693592073,449.92169581998814,0.13323436148472934
44007440302,44,007,440302,426.3489927376666,602.042845763079,2.077102789752303,267.4455429235917,607.8098162325244,76.18617934118336,20.53008515224061,44.48059111318192,12.552477478676172,3.100540697763176,445.15946723879904,453.39388228207804,35.14703560468732,43.60088662073523,23.989139598587663,2.061989302887025,590.2494883311409,339.0565555480907,3.8528682449272984,475.9576538137898,515.0051808192056,1.0536648817414298,522.1130943352615,480.970626872325,0.030226973730556633
44007440303,44,007,440303,613.2992821017226,778.0260609981377,2.0615935693668033,451.62813751131665,776.5179182478122,67.73638257885102,23.515530611639168,44.140314204329606,22.347241583524116,3.089561222995278,636.1550786539414,603.1229095796436,42.87018906694958,49.353615167238665,30.793496105860534,0.07267666877129855,821.4484105172218,418.8927617623895,15.782536029507321,671.6656525264096,685.3870016952487,3.0203810363072496,688.9503629157866,665.3055985379883,0.9997031734226571
44007440304,44,007,440304,364.38045223671634,388.40089631507954,1.8434809221080828,233.40950907250053,406.7354971173274,56.304028338751614,5.626460713384615,37.80462677367726,14.731787815372895,1.8501148573388655,358.10494179711094,301.3973105299958,26.772023990266206,30.48342633951923,20.292257404021647,0.9262791603985516,436.8673336952969,213.65807682743744,8.268431953419311,393.9917185156264,332.01586197281614,1.8389422227635728,400.6722442966543,328.1445487228804,1.8312606695896538
44007440305,44,007,440305,379.85203195044824,506.38237359901643,2.029108578637368,260.518817953733,517.9764824176044,48.30932107868778,17.49011334358889,24.62391023360768,13.377434441242476,4.070372878816699,391.4671058318729,401.7770865567956,26.742819759969304,22.84009042179647,23.655047345039723,3.0529060339707605,523.1828313589965,267.0725487500845,6.3386282987489455,432.908176911374,434.50750953872847,2.035017075923943,445.52731400841975,426.92308211535476,1.0235515795415782
44007440306,44,007,440306,405.097953807528,547.3236276624712,0.9808667162409878,326.62861650824897,525.7445599051695,51.00506924453136,19.617334324819755,20.598201041060744,13.73213402737383,2.9426001487229634,431.58135514603464,404.117087091287,27.46426805474766,30.406868203470623,26.48340133850667,2.9426001487229634,577.7304958659419,257.9679463713798,13.73213402737383,445.31348917340847,472.77775722815613,0.9808667162409878,473.75862394439713,447.27522260589046,0.9808667162409878
