GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26163163574,26,163,163574,577.0880896295826,19.070476480247407,3.1938322133451145,0.2643166545615198,2.070484441216405
26163163575,26,163,163575,705,10,1,6,0
26163163576,26,163,163576,147.79675605790626,8.109893336875,2.04395733475,0.010989333687500014,0.005494666843750007
26163163577,26,163,163577,106,16,1,1,0
26163163578,26,163,163578,353,83,4,5,0
26163163579,26,163,163579,140,33,3,6,0
26163163580,26,163,163580,693.4362272240086,62.62808145766345,9.809217577706324,12.82743837084673,1.5091103965702035
26163163581,26,163,163581,821,19,1,7,0
26163163582,26,163,163582,474,7.000000000000001,3,5,1
26163163583,26,163,163583,406,5,4,1,4
26163163584,26,163,163584,433,11,0,5,1
26163163585,26,163,163585,351,10,1,1,1
26163163586,26,163,163586,586,15,2,4,1
26163163587,26,163,163587,586,32,6,3,2
26163163588,26,163,163588,401,52,9,6,0
26163163589,26,163,163589,520,64,1,6,1
26163163590,26,163,163590,456,25,5,0,0
26163163591,26,163,163591,241,21,3,8,3
26163163592,26,163,163592,651,36,4,2,4
26163163593,26,163,163593,581.7121090617482,77.88211708099439,5.7690457097032875,11.538091419406575,2.8845228548516437
26163163594,26,163,163594,741,33,8,6,2
26163163595,26,163,163595,642,13,1,0,1
26163163596,26,163,163596,821,21,1,7,0
26163163597,26,163,163597,571,29,4,0,1
26163163598,26,163,163598,699.2252964426877,7.683794466403162,1.7075098814229248,2.561264822134387,0.8537549407114624
26163163599,26,163,163599,521,9,4,4,0
26163163600,26,163,163600,419.2203886218033,18.344020409859205,3.966752696248659,3.4775410400901103,0.9872665534804753
26163163601,26,163,163601,656.1370169086848,73.34462122544211,7.9291482405883364,7.9291482405883364,3.9645741202941682
26163163602,26,163,163602,622,6,5,0,1
26163163603,26,163,163603,620.5069715047555,9.00981835647473,6.144726819363465,1.0622593068035944,3.062259306803594
26163163604,26,163,163604,304,6,0,3,0
26163163605,26,163,163605,381,4,0,6,0
26163163606,26,163,163606,408,7,1,0,1
