GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20USSRTUB,G20USSDJON,G20USSOWRI,G20SSCRSHA,G20SSCOWRI,G20SSCRMEN,G20SSCOWR2,G20SACRTHO,G20SACOWRI,G20SACRFRI,G20SACOWR2,G20SCCRWIN,G20SCCOWRI,G20SCCRKEL,G20SCCOWR2,G20PSCRCAV,G20PSCDCAS,G20PSCOWRI
01103000307,01,103,000307,293.16643356643357,194.18741258741258,10.36923076923077,0.9426573426573427,283.7398601398601,209.26993006993007,0,333.7006993006993,6.5986013986013985,333.7006993006993,6.5986013986013985,334.64335664335664,6.5986013986013985,328.04475524475527,5.655944055944056,329.9300699300699,5.655944055944056,327.1020979020979,6.5986013986013985,284.6825174825175,192.3020979020979,0.9426573426573427
01103000308,01,103,000308,1274,953,37,0,1224,1032,0,1384,34,1372,37,1377,33,1362,37,1362,35,1362,38,1236,957,4
01103000309,01,103,000309,588.0265694273763,223.75857558096303,16.971155296833874,1.5118212586603825,572.6814537173002,254.34130028725863,0.87316868982838,619.400885532897,13.979213418061573,614.4091805939654,14.22652061810026,617.6384207749087,13.34056084922957,607.8544900802042,13.327769770187261,612.721620528002,12.454601080358882,614.4423757495741,11.568641311488193,578.1421518825624,236.13792470412827,0.025582158084617907
01103000401,01,103,000401,906.5473707321046,154.58481574973078,10.451460815338505,3.683835864088014,878.9186026671839,189.9258807545691,4.136299519244359,918.6545282861764,4.366464885255028,912.8232069750222,4.373580833350465,915.6970974767737,3.5933018898769,906.8129980011158,5.029645468141363,912.3139568936757,4.279174102104145,908.7465226106506,4.15979133260772,884.1071008418894,166.25979014348317,0.08017483505544554
01103000402,01,103,000402,1223.7574481430104,494.3789279961829,35.560378992907225,5.125057122173713,1156.732535576771,597.5314006598758,0.10500695410292073,1338.1260990287976,24.512068344987366,1334.1142591725052,20.521229879515435,1335.1644722659246,19.51301956773716,1321.3015445908757,18.4838078651383,1317.3317075162242,18.504809255958882,1315.2942855018473,17.45459616253944,1221.2369941397599,488.35066751633383,2.0164206235565505
01103000403,01,103,000403,1155.126939141405,322.3860184864173,22.76040650117523,8.919700453831306,1116.5669459532514,382.6508050737645,3.0144937416161635,1232.7360035523461,8.905418057175476,1231.7327592381023,8.905418057175476,1231.7375200369877,10.854777099039419,1223.854389489597,9.880097578107447,1222.8606667731237,7.916456139587677,1220.8922645357188,9.861054382566342,1127.5407430244227,332.3137240533775,0.9889619175878
01103000501,01,103,000501,3346.2793977272145,496.01955508351506,50.8278985796063,21.8920341209404,3263.1043030331507,613.98273723652,16.53575097364506,3400.3413465323306,20.717849923386353,3392.8029525045545,20.783318540532004,3395.3545582397674,18.572844941119882,3381.2610966971474,20.101360879856674,3381.1528402828453,18.700351937498215,3377.9044615623916,15.885216553799232,3304.1827391355564,527.456770065517,1.8858921043199013
01103000601,01,103,000601,476.2512178575216,92.16903174018849,4.740120220933901,0.9735302962211143,466.8150360629908,105.4167471563794,0.944334630769867,490.30180259879285,4.665008035409948,489.3519382365734,0.9786175028655694,488.45489158704925,3.741552529538136,486.5236667996181,1.8992861996338053,487.4109815606585,1.8983572632659464,490.1345465085909,0.9739728210262754,471.40692144588513,99.66231121255367,0.0018578727357176034
01103000701,01,103,000701,979.2222281386651,215.99683750555585,14.22440908577451,4.140001526351625,952.2137548260015,257.40036514100774,1.6978967485836014,1005.4799292792019,6.4820942899167795,1001.6860898533922,6.168484822461158,1004.9150123152137,6.423465496037525,993.5278465720766,6.246887189325063,990.705163001251,6.109348862562032,985.5672012974727,6.099715659079642,948.7724153378878,231.24225647753624,0.06876916338151555
01103000801,01,103,000801,931.4740470379129,175.30630077283408,13.628297518050358,3.784419402253797,881.9244079377578,229.95264897030927,6.672668250921806,928.9852725650662,5.85972152563212,925.100984568857,5.85972152563212,927.0431285669616,4.93026144072789,919.391065934158,5.85972152563212,926.0637341850797,5.826431994313679,922.2460252515075,5.843076759972899,885.4618026471354,197.39960764897782,0.016644765659220323
01103000901,01,103,000901,1486.721648174748,223.83206766756737,21.08392453176805,0.019598236158745713,1415.202388272134,315.4774460399309,2.7754270052620362,1505.8948601415184,10.080207691513634,1500.3930017213913,10.080207691513634,1503.1439309314549,10.989018163135357,1498.5361843058304,10.080207691513634,1501.3116113110923,8.252787630190813,1499.4645930136107,9.166497660852222,1453.5929082370321,242.2189581387084,0.9137100306614104
01103001001,01,103,001001,613.7209920283436,58.68644818423383,5.968113374667848,0,598.800708591674,77.58547387068202,0.9946855624446412,610.7369353410097,4.973427812223206,609.7422497785651,3.978742249778565,609.7422497785651,1.9893711248892825,607.7528786536758,4.973427812223206,605.7635075287866,5.968113374667848,605.7635075287866,3.978742249778565,598.800708591674,66.64393268379096,0
01103001301,01,103,001301,1330.7406779661017,185.68474576271186,19.966101694915253,1.9966101694915255,1287.8135593220338,235.6,4.991525423728813,1335.7322033898304,3.993220338983051,1328.7440677966101,0,1325.7491525423727,1.9966101694915255,1323.7525423728814,4.991525423728813,1327.7457627118645,1.9966101694915255,1325.7491525423727,1.9966101694915255,1300.791525423729,190.67627118644066,4.991525423728813
01103001401,01,103,001401,1210.7000748186804,129.5927089616386,9.949780062503022,2.063160837044494,1179.3146861083146,162.89109048226524,1.193472490474279,1216.9849574521297,5.8954104203927145,1207.172817490758,4.9177940258544774,1211.1192590849002,4.845841993875797,1204.4980643818947,6.80107478295227,1208.5164580080157,4.665961913929094,1206.5972012349287,4.701937929918435,1175.0381964074425,146.90199593541215,0.03597601598934044
01103001501,01,103,001501,3964.00023415084,629.7929903327292,50.69817370076067,8.177694436276244,3863.608167607104,771.4040163802622,9.086795850825764,4038.8185238721767,33.38331012143195,4030.196812179284,31.310410460994923,4035.3970763709553,30.342949424994302,4015.9886391194273,31.43665796122855,4021.28885090207,32.249555543784986,4015.182454756772,28.29465332222008,3899.2775755756384,679.0796830434471,4.0223193670000335
01103001502,01,103,001502,2570.0977322259555,545.7509885124751,39.43557824200763,4.785694413427204,2511.7202972176397,630.1962047471866,6.683898507806038,2637.7805850310983,31.923130219452528,2627.139541624614,31.01421234974323,2632.085972747962,29.075824077884278,2606.018191521566,30.97402817226311,2612.7824583843326,24.290129664457073,2611.913724692103,25.199047534166372,2523.270258493833,555.6036665816904,0.9491020471894173
01103001601,01,103,001601,1118.2649938174438,324.8826728613193,21.83441756609232,4.735973670781804,1089.3959260471402,365.4324974312826,5.5849151006815205,1152.102979554968,16.154883513784643,1150.0579778378426,15.23905088187266,1153.806632500036,14.356663850966813,1143.3438936519474,13.405088030716575,1143.416554939228,12.486957811472472,1144.3208474006033,12.44544453786584,1088.7037951284624,337.3535475614669,1.0207646095946243
01103001701,01,103,001701,846.760462066975,138.42732311419198,17.229438811065535,1.221471065460595,827.2106952905268,178.8084048593244,0.2750283764047773,868.2345098619305,1.9221261439654198,864.693354857904,0.8199425111471814,866.5731560985228,0.986782212546051,861.925846701965,0.8988056729566083,864.9038608156891,1.8725884953524738,863.9594035064898,1.7937253335430472,825.918133087997,154.74171487659729,0.09907529722589167
01103001801,01,103,001801,1465.1801046518315,171.29891706438195,28.68136392386867,0.00522875816993464,1418.621907883388,237.62097636708643,5.363049853372434,1481.3633718590074,6.262120253771108,1471.5154275199816,5.363049853372434,1467.9505184674065,8.938416422287391,1466.1419201502692,6.256891495601173,1472.4144979203802,6.262120253771108,1473.303110804439,5.368278611542369,1432.0138462423092,185.6788147125908,0
01103001901,01,103,001901,653.8564988096776,69.15939172008699,8.539166460431728,4.024894199651481,639.6782310809558,90.10395189944204,3.474926795722286,636.4306443947534,4.624096198195791,635.5863953563922,2.543385844763859,636.3040070170981,4.83822128388367,632.0959096858878,2.617872648282921,631.6328761853034,2.620984423239356,631.6886923390838,2.5340505198945538,635.9075570321734,79.50054577430086,1.0124470998257407
01103002001,01,103,002001,534,61,7,1,515,86,1,526,4,521,4,525,2,516,2,516,4,516,2,517,67,2
01103002101,01,103,002101,895.9170508389262,108.4484622999663,13.277964755709268,3.971994244146035,846.3332145684763,167.0702023275502,4.988239610075309,876.3497987504434,9.998539858623548,873.0995000669499,8.09846438100229,879.0878038131809,7.0557359642255575,871.0546574344825,5.085920071926003,876.0829181624339,4.102630248753572,873.1039224793244,4.0896852649348014,859.2745583214978,125.79847409451196,3.959049260327265
01103002201,01,103,002201,1030.9544491525423,141.15995762711864,10.708686440677965,0,996.8813559322034,176.20656779661016,0.9735169491525424,1028.0338983050847,0.9735169491525424,1018.2987288135594,3.8940677966101696,1020.2457627118644,1.9470338983050848,1017.3252118644068,1.9470338983050848,1020.2457627118644,1.9470338983050848,1020.2457627118644,1.9470338983050848,996.8813559322034,156.7362288135593,0
01103002301,01,103,002301,461.0545032429962,41.26663457704912,5.0330134095704855,2.0016949152542374,456.99281873255734,54.34802065404475,1.0042372881355932,458.0484135087566,1.0079796182307925,454.0413338584362,2.002294893861159,452.03649659169366,2.0028423621848166,452.03594912337,1.0053847350661727,451.0370440600173,2.0039898091153963,451.0342016978325,2.0039898091153963,449.0118678102239,44.28578867528224,0.00423728813559322
01103002401,01,103,002401,339.91029721875566,54.55626601144794,8.348684646893407,0.08398950131233596,339.36329938095906,61.66906807470149,0.9251263744549699,353.8384869950599,1.9335683890495365,351.97255130837726,1.9282539514941777,352.93435799593306,1.918501116681314,345.5398836406285,1.9335683890495365,349.03263914781087,1.9371307460091878,347.1335273092188,1.927377911196324,338.35692500549436,59.349203025174724,8.760402978537013e-4
01103002501,01,103,002501,805.0751577739529,94.89099254159495,13.983935742971887,0,783.1004016064257,128.85197934595524,0,796.0854847963282,3.9954102122776822,795.0866322432588,1.9977051061388411,793.0889271371199,0.9988525530694206,794.0877796901893,0.9988525530694206,792.0900745840505,1.9977051061388411,791.091222030981,1.9977051061388411,790.0923694779117,107.87607573149742,0
01103002701,01,103,002701,259,37,2,0,248,49,1,255,1,254,1,257,1,254,0,256,0,255,0,260,33,0
01103002801,01,103,002801,455.27667478152915,54.262455990611336,3.962012097934428,0.9759399176874906,446.4090731275198,68.0129934790129,0.02912621359223301,457.419493128231,1.0568460665548045,457.3936031605935,1.0503735746454193,455.50968449026703,1.9971872787406768,456.39824576717785,2.0004235246953694,456.4144269969513,2.003659770650062,456.39500952122313,1.9907147868312918,447.4756279319386,62.01819539683618,0.012944983818770227
01103003010,01,103,003010,2233.2736272495868,1127.2604095328481,44.98485217742539,11.804724429798643,2139.1959291186113,1249.3927266798555,9.3576236240708,2358.9604618597245,47.91569987866195,2347.1433898846735,48.698410611883915,2352.0259564379317,50.67617008688291,2325.5488372578534,47.505419889634275,2326.5418327484517,45.630745059752016,2326.8998579278664,42.64039270550173,2161.6103151279594,1149.7971424951465,7.754352912793485
01103003011,01,103,003011,86.29036276831486,1107.0323311286472,2.868962447660809,0,77.67538612224847,1095.5257396345535,0.95578231292517,157.33848920244836,18.240733459102973,150.60757825520977,20.162002896922584,152.5579621289372,19.194900263142845,149.64856492451403,18.240733459102973,147.76773024345678,21.106464888993184,145.88528005351424,20.142593272984048,83.4133110175701,1054.3818188953528,1.91156462585034
01103003012,01,103,003012,19.173170940105425,203.367189803128,0.12388972187972827,0.0033826638477801266,18.277804171762217,200.99882747825836,0,40.14647115524478,5.286406158822718,37.50326807583342,5.917080164167571,40.02596409721283,5.1692817646385505,37.25887129592174,5.293171486518278,39.26463504229269,5.176047092334111,41.15665705832725,4.662497481173426,18.525583615521672,197.97718990551226,0
01103003014,01,103,003014,1845.8237165085927,470.5640877464299,31.04834127378544,4.5516400655680105,1783.274837410179,564.1668304238168,1.8044914134742405,1908.2986754247265,13.574097132939213,1902.8420284998274,11.729194187582562,1903.6689734479876,12.631439894319684,1891.03201124848,12.631439894319684,1888.4855396795015,12.632820470616629,1888.4841591032045,11.730574763879508,1805.00265455415,493.45318670399575,1.8044914134742405
01103003015,01,103,003015,1248.498236858031,884.073140532993,31.336326163655198,3.799622838433717,1184.2103178985165,975.9418039875377,1.8857168580906447,1383.1548598835404,45.15065131220069,1382.1679602846864,45.118499178059224,1377.4289939900673,45.12246218994826,1369.8623484863706,37.61129885269797,1369.947363892157,35.73350801838539,1371.8251547264697,33.85175417218379,1228.4819670109255,885.3049201302823,3.763507692403218
01105000001,01,105,000001,313.9578125812082,1077.9934301526807,9.17383460610482,2.1864596932646125,302.26409846180024,1097.8739231985849,0,349.4968644226484,13.394414269817263,344.7516387988306,13.916135471850655,345.35691683823393,13.314130754869524,343.0176808557562,15.123418228235177,340.60841789199384,13.776889038722906,337.1507585395083,16.09932184269301,294.81917981206726,1065.1678508092257,0.6020047169811321
01105000002,01,105,000002,169.71926089604,924.8349637529516,6.8016389005052105,2.1906556141497715,161.6249301689546,937.6266957858994,0,214.8522291509691,5.471020629416017,208.23284791436447,4.587033467942405,210.32531026512373,4.48738724152731,207.66679671484695,6.765367940433568,205.73606974531359,7.8004547836530325,204.27865636908882,7.789464325975737,168.53431370258858,906.8667356660976,0.09964622641509434
01105000003,01,105,000003,49,1142,3,0,42,1154,0,134,10,127,10,122,13,118,10,124,9,121,10,51,1114,1
01105000004,01,105,000004,110.60731132075472,338.9121462264151,1.9852594339622642,0.5672169811320754,104.36792452830188,346.85318396226415,0,115.14504716981132,3.9705188679245285,113.44339622641509,4.254127358490566,113.72700471698113,3.9705188679245285,111.74174528301886,4.821344339622642,112.02535377358491,5.1049528301886795,110.89091981132076,4.821344339622642,101.53183962264151,332.9563679245283,0.2836084905660377
01105000006,01,105,000006,53.34881087202718,16.36466591166478,0.32729331823329555,0,51.712344280860705,16.691959229898075,0,51.3850509626274,0.32729331823329555,50.73046432616081,0,50.73046432616081,0,50.40317100792752,0,50.075877689694224,0,49.74858437146093,0,49.74858437146093,15.710079275198188,0
01105000007,01,105,000007,304.85075531299464,104.64267293609886,2.575469338799802,0.033159491754128134,297.74782770652456,113.1960578859091,0.005185185185185185,309.8195833853259,0.7784620378086585,306.6696072968375,0.18878319357092943,307.63964788492933,0.1775803633822502,304.167946471455,0.20600366876310272,302.636135807889,0.21720649895178196,302.9166356154742,0.20600366876310272,295.90708685341036,107.97679743602009,0.01638801537386443
01105000008,01,105,000008,83.3439386271116,24.316748732486325,0.12457288768810179,0.8978302804631562,76.25254845606086,30.759454398450103,0,76.8333608644893,0,75.69947120985155,0,76.65958793415876,0,76.69570157559957,0,78.31758920619535,0,75.68638480864993,0,79.51655813108438,23.28440472529748,0
01105000009,01,105,000009,104.07557149470469,73.73890516279523,0,0.17614652789071394,97.77727391601599,79.81755299963545,0,103.58349405231012,0.2025941230486685,102.22923345994171,0.2025941230486685,102.5719318702934,0.2025941230486685,104.02331610576854,0.07954545454545454,103.49455662140652,0.1590909090909091,102.79210418190334,0.07954545454545454,101.49808252160261,69.3934612383344,0.07954545454545454
01105000011,01,105,000011,108.79024818160995,97.48733369085629,0.053639814846301835,0.05345930665079601,102.4664496249616,103.00222047252662,0.010259505129752565,106.3566370641981,1.0253407464924398,103.7256019850086,1.0215239712096724,105.45891444946226,1.0010049609501674,103.5897829719531,0.17206567107438972,105.2970893652242,0.19240417313838903,101.85109500725369,0.16718166619038485,101.5526931518724,93.06414293681044,0.02727272727272727
01105000013,01,105,000013,50.50471698113207,62.28441252144082,0.024764150943396228,0.9002572898799314,46.854159519725556,65.95619639794168,0,47.881775300171526,0.9427101200686107,47.860548885077186,0.9462478559176672,47.864086620926244,0.9427101200686107,46.94614065180103,0.9533233276157804,46.056496569468266,1.8500428816466552,46.935527444253864,0.9533233276157804,46.81878216123499,61.31693825042881,0.8967195540308748
01107001100,01,107,001100,250,92,0,0,242,99,0,258,2,254,4,256,2,254,1,254,2,255,1,239,94,0
01107001200,01,107,001200,125,5,0,0,121,8,0,114,0,113,0,113,0,112,0,112,0,113,0,119,6,0
01107001300,01,107,001300,222,26,1,0,213,36,0,228,0,228,0,226,0,225,0,226,1,225,0,221,22,0
01107001400,01,107,001400,91,31,0,0,87,37,0,92,4,91,4,91,4,93,4,93,4,93,4,90,28.999999999999996,0
01107001500,01,107,001500,759.4160202966133,539.8362284136148,7.2102622833142,1.0394548298980513,729.6690251981577,570.6041516547165,0.07890965979610233,793.0739026321485,19.594223903865068,788.8845684914805,19.59687057347248,788.7794373498234,19.65990021562412,783.7241025022809,18.59951724307989,778.8451136615824,18.63103206415571,773.7714973410011,21.65990021562412,732.808317830498,543.6627742905912,0.18139413184579178
01107001800,01,107,001800,111.5774647887324,35.42253521126761,0.028169014084507043,0,111.47887323943662,36.50704225352113,0,116.67605633802818,0,115.67605633802816,0,116.67605633802818,0,115.63380281690141,0.014084507042253521,116.64788732394366,0,114.66197183098592,0,101.52112676056338,45.394366197183096,0
01107002100,01,107,002100,48.93939393939394,141.06060606060606,0,0,47.02020202020202,142.97979797979798,0,50.85858585858586,3.8383838383838382,48.93939393939394,4.797979797979798,47.97979797979798,4.797979797979798,49.898989898989896,4.797979797979798,49.898989898989896,4.797979797979798,47.97979797979798,4.797979797979798,47.97979797979798,138.1818181818182,0
01107002200,01,107,002200,464.4080493226835,1322.5890973012924,14.388680666729448,0.010810810810810811,453.7713979421296,1343.7842946842948,2.8766550522648084,539.3521590326468,13.60492532443752,537.3508782142928,15.565802102387469,544.9842570159643,13.64532936484156,534.5173299051348,16.52468711980907,529.7229048180268,15.560396696982064,537.3104741738888,12.686444347419958,449.0254850035338,1317.64102766054,1.9204727375459083
01107003100,01,107,003100,216,25,1,0,211,29,1,211,1,210,0,211,0,210,0,210,0,209,0,209,27,0
01107003200,01,107,003200,846,40,3,3,836,53,1,830,4,825,2,827,1,824,2,822,0,825,1,830,47,0
01107004100,01,107,004100,50.68920187793427,172.28413145539906,2.0651643192488263,0,43.78779342723005,178.29295774647886,0,58.057276995305166,0.18666666666666668,58.1506103286385,0.09333333333333334,58.1506103286385,0.09333333333333334,55.00619718309859,1.0792488262910798,55.99211267605634,0.09333333333333334,56.791361502347414,0.18666666666666668,46.55887323943662,170.1256338028169,0
01107004200,01,107,004200,619.1417663990304,492.10033328283595,6.307226177851841,0.9658385093167702,600.4152249659143,512.1683229813665,2.034116043023784,692.311392213301,15.931464929556128,687.4139069837903,15.999757612482957,684.7895621875474,17.863141948189668,683.448113922133,16.03390395394637,686.1748977427662,16.965596121799727,684.51639145584,17.828995606726252,604.1078472958643,487.100409028935,4.89748522951068
01107004300,01,107,004300,99.73333333333333,26.293333333333333,0.9066666666666667,0,99.73333333333333,27.2,0,104.26666666666667,1.8133333333333335,105.17333333333333,0.9066666666666667,105.17333333333333,0.9066666666666667,103.36,0.9066666666666667,103.36,0.9066666666666667,101.54666666666667,1.8133333333333335,97.92,24.48,0
01107004400,01,107,004400,29.999999999999996,21.999999999999996,0,0,29.999999999999996,21.999999999999996,0,35,1,35,1,35,1,35,1,35,1,34,1,28.999999999999996,21.999999999999996,0
