GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSRSHE,G16USSDCRU,G16USSOWRI,G16SSCRBOL,G16SSCOWRI,G16SSCRWIS,G16SSCOWR2,G16SSCRPAR,G16SSCOWR3,G16PSCRCAV,G16PSCOWRI
01003000038,01,003,000038,1684.2107298298802,519.0753679443229,49.49049829643496,10.914243839028964,19.393707520753708,1696.3762814986926,538.0801507677088,5.4275524873363334,1776.758118200962,31.077451636809442,1773.3172823092057,28.36367539314128,1767.9405195685167,29.09073504122929,1757.0770654761354,31.973578760257578
01003000039,01,003,000039,2246.510836802067,487.7355389694273,67.51808525907852,20.77479546433185,24.552031003301277,2266.8134778240274,526.4522032438639,6.610162193196498,2346.6075785847565,22.663413233816563,2348.4961963542414,20.30264102196067,2330.5543275441364,21.24694990670303,2312.140304291661,27.384957657528346
01003000040,01,003,000040,264.7188954442183,68.37280805873633,8.264301997631103,0.8690597390196052,2.4923521752904794,265.5865198452158,73.32593497283099,0.8259995983564791,279.52947469375073,4.098420555296103,276.3115965816511,4.091243865185582,273.83933913867,4.09411454122979,268.9479317595259,4.918678801564165
01003000041,01,003,000041,3855,564,91,12,41,3870,607,9,3867,35,3853,37,3841,39,3788,35
01003000042,01,003,000042,4119.194305681524,1674.8956018640542,200.1605027406815,29.72796412535434,83.70188575465652,4337.240040452171,1614.8766745872674,17.992977685039868,4535.83855109458,72.80803247328751,4536.57444431136,72.81554961201365,4490.525745967222,81.37393188469986,4430.353970203003,97.78737748110609
01003000043,01,003,000043,1857.5127599234738,366.19276164057146,70.34001146972052,10.62393422419855,29.479959442036876,1904.9783564568877,382.7574658210625,7.4622250603899865,1929.761444059217,19.261519542165573,1938.786246939109,17.694372532062857,1929.3239654006861,16.53271984628739,1896.3499095201219,25.161166783053364
01003000044,01,003,000044,2379.1334693063313,403.4431149323472,66.71898518890194,9.64349464362676,27.873012666512462,2405.3440137583875,429.4079348080139,7.256558167008687,2419.378386406632,23.290637187585258,2426.3629506257585,19.654731972290428,2413.3402924511383,23.03389550328379,2391.696871214429,26.911290139299116
01003000045,01,003,000045,2703.250210686866,553.5163026651853,106.64309526105363,16.514171096450458,48.1634527518493,2749.4016568998463,582.75098037911755,19.473243789238083,2785.495799206463,31.903143582944978,2778.7487694851507,31.819069762029052,2768.797896052596,34.58549037005933,2750.7460572984673,40.42120239951702
01003000046,01,003,000046,1461.313863620248,294.25519230308953,45.66103752800366,9.773874506423862,17.62676759582579,1511.6958796345466,264.22352055288104,8.7007388503701,1503.7806467625787,14.150900841296002,1505.7157087980436,15.987398547660842,1500.8287715448316,16.849324927071862,1484.4581876448167,16.02964040298939
01003000047,01,003,000047,3278.4925685113294,1019.3399808847904,99.43417773911884,21.792244377021735,35.38046091215107,3301.134288459138,1062.6642096307344,9.406366118387478,3452.525496018788,67.79335211009219,3445.2761709800475,62.84124484896681,3438.3680913070084,63.60542361978761,3415.0107772881374,69.32391413556239
